,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,150.0,150.0,150.0,150.0,100.0,,,,,,,
1,20180518.0,142.0,148.0,148.0,142.0,1500.0,145.7333333333333,,,,,,
2,20180517.0,148.0,147.8,150.0,147.8,1911.0,146.8666666666667,,,,,,
3,20180516.0,152.0,150.0,152.0,150.0,2640.0,149.4333333333333,147.44,,,,,
4,20180515.0,151.0,151.0,151.0,151.0,130.0,150.21666666666664,148.62666666666664,,,,,
5,20180514.0,152.0,152.0,152.0,152.0,11.0,151.10833333333335,149.75111111111113,,,,,
6,20180511.0,152.0,152.0,152.0,152.0,200.0,151.5541666666667,150.50074074074072,,,,,
7,20180510.0,149.0,153.0,153.0,149.0,710.0,150.2770833333333,150.00049382716048,,,,,
8,20180509.0,157.0,154.0,157.0,154.0,1200.0,153.63854166666664,152.33366255144034,149.82,,,,
9,20180508.0,160.0,148.0,160.0,148.0,2000.0,156.81927083333335,154.88910836762687,151.67090909090908,,,,
10,20180507.0,150.0,145.0,150.0,145.0,1000.0,153.40963541666667,153.25940557841793,151.36710743801652,,,,
11,20180504.0,150.0,144.0,150.0,144.0,12058.0,151.7048177083333,152.17293705227863,151.11854244928625,,,,
12,20180503.0,141.0,141.6,142.0,141.0,1400.0,146.35240885416667,148.44862470151907,149.27880745850695,149.94285714285712,,,
13,20180502.0,141.0,143.0,143.0,141.0,1600.0,143.67620442708338,145.96574980101275,147.7735697387784,148.75047619047615,,,
14,20180427.0,142.0,141.0,142.0,140.0,820.0,142.83810221354167,144.64383320067512,146.72382978627323,147.85041269841267,,,
15,20180426.0,139.0,141.0,141.0,138.0,4800.0,140.91905110677084,142.76255546711678,145.31949709785988,146.6703576719577,,,
16,20180424.0,141.0,141.0,141.0,141.0,610.0,140.95952555338542,142.17503697807783,144.5341339891581,145.91430998236328,,,
17,20180423.0,141.0,141.7,142.0,141.0,2200.0,140.97976277669272,141.7833579853852,143.89156417294754,145.2590686513815,,,
18,20180420.0,140.6,140.0,141.0,140.0,3420.0,140.78988138834637,141.3889053235901,143.2930979596844,144.63785949786399,147.19,,
19,20180419.0,140.0,142.0,142.0,140.0,8900.0,140.3949406941732,140.9259368823934,142.69435287610543,144.01947823148214,146.5052380952381,,
20,20180418.0,144.5,141.0,144.5,141.0,1000.0,142.44747034708658,142.11729125492894,143.0226523531771,144.08354780061782,146.31426303854875,,
21,20180417.0,144.0,144.0,145.0,140.0,2624.0,143.2237351735433,142.7448608366193,143.20035192532674,144.0724080938688,146.09385703487743,,
22,20180416.0,140.0,142.0,142.0,140.0,2600.0,141.61186758677167,141.82990722441286,142.61846975708548,143.52942034801967,145.51348969822243,,
23,20180413.0,140.0,139.8,140.0,139.8,532.0,140.80593379338583,141.21993814960854,142.14238434670634,143.0588309682837,144.98839544124883,,
24,20180411.0,139.0,139.0,139.1,139.0,2300.0,139.90296689669293,140.47995876640567,141.57104173821423,142.51765350584589,144.41807206589183,,
25,20180410.0,139.5,139.0,139.5,139.0,1400.0,139.70148344834647,140.15330584427048,141.1944886949026,142.11529970506643,143.9496842500926,,
26,20180409.0,140.0,140.0,140.0,140.0,400.0,139.85074172417325,140.10220389618033,140.97730893219304,141.83325974439092,143.5735238453219,,
27,20180406.0,138.7,138.7,138.7,138.7,500.0,139.27537086208662,139.63480259745356,140.5632527627034,141.41549177847213,143.109378717196,,
28,20180405.0,138.0,138.0,138.0,138.0,100.0,138.6376854310433,139.08986839830237,140.09720680584823,140.96009287467584,142.62277122032015,,
29,20180404.0,138.0,138.0,138.0,137.0,2500.0,138.31884271552167,138.7265789322016,139.7158964775122,140.56541382471906,142.18250729457537,,
30,20180403.0,139.0,139.0,140.0,139.0,2802.0,138.6594213577608,138.81771928813438,139.58573348160087,140.35669198142318,141.87941136175868,,
31,20180402.0,137.1,137.1,137.1,137.1,100.0,137.8797106788804,138.24514619208958,139.1337819394916,139.9224663839001,141.42422932730548,,
