,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,12.0,12.0,12.0,12.0,2.0,,,,,,,
1,20180517.0,12.0,12.0,12.0,12.0,900.0,11.666666666666666,,,,,,
2,20180515.0,11.5,11.5,11.5,11.4,1800.0,11.58333333333333,,,,,,
3,20180514.0,11.0,11.0,11.0,11.0,3100.0,11.291666666666666,11.5,,,,,
4,20180510.0,10.9,10.9,10.9,10.9,100.0,11.095833333333331,11.3,,,,,
5,20180509.0,10.4,10.4,10.4,10.4,530.0,10.747916666666665,11.0,,,,,
6,20180504.0,11.8,11.8,11.8,11.8,3.0,11.273958333333331,11.26666666666667,,,,,
7,20180503.0,11.8,11.8,11.8,11.8,4300.0,11.536979166666665,11.444444444444445,,,,,
8,20180502.0,11.8,11.8,11.8,11.5,10400.0,11.66848958333333,11.562962962962965,11.420000000000002,,,,
9,20180427.0,11.5,12.0,12.0,11.5,7000.0,11.584244791666666,11.541975308641977,11.434545454545454,,,,
10,20180426.0,11.2,11.3,11.3,11.2,3500.0,11.392122395833331,11.427983539094647,11.391900826446282,,,,
11,20180424.0,11.7,11.8,11.8,11.7,1700.0,11.546061197916668,11.518655692729764,11.447918858001502,,,,
12,20180423.0,11.6,11.9,11.9,11.6,8900.0,11.573030598958333,11.545770461819844,11.475569974728502,11.44285714285714,,,
13,20180420.0,11.9,11.8,11.9,11.8,12400.0,11.736515299479164,11.663846974546564,11.552739070232409,11.503809523809522,,,
14,20180419.0,11.6,11.6,11.6,11.6,12000.0,11.668257649739584,11.64256464969771,11.561331966553793,11.51663492063492,,,
15,20180418.0,11.7,11.8,11.8,11.7,1600.0,11.68412882486979,11.661709766465137,11.58654433627128,11.541083597883597,,,
16,20180417.0,11.9,11.9,11.9,11.9,2100.0,11.792064412434897,11.741139844310092,11.64353627513105,11.588939118165783,,,
17,20180416.0,11.9,11.9,11.9,11.9,1000.0,11.84603220621745,11.79409322954006,11.69016604328904,11.630413902410346,,,
18,20180413.0,12.0,12.0,12.4,12.0,4800.0,11.923016103108724,11.862728819693375,11.74649948996376,11.679692048755632,11.559999999999997,,
19,20180412.0,12.2,12.4,12.5,12.2,5200.0,12.06150805155436,11.97515254646225,11.82895412815217,11.74906644225488,11.620952380952382,,
20,20180411.0,12.0,12.4,12.4,12.0,11600.0,12.030754025777181,11.983435030974832,11.860053377579042,11.782524249954232,11.65705215419501,,
21,20180410.0,11.7,12.0,12.0,11.7,1400.0,11.865377012888592,11.88895668731656,11.830952763473762,11.771521016627,11.661142425224057,,
22,20180409.0,12.0,12.8,13.0,12.0,1300.0,11.932688506444295,11.925971124877703,11.861688624660353,11.801984881076732,11.693414575202718,,
23,20180406.0,13.0,13.9,13.9,13.0,317.0,12.466344253222147,12.283980749918467,12.068654329267561,11.9617202302665,11.817851282326268,,
