,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180510.0,11.5,11.5,11.5,11.5,100.0,,,,,,,
1,20180509.0,13.5,13.5,13.5,13.5,100.0,11.833333333333332,,,,,,
2,20180508.0,10.2,13.5,13.5,10.2,200.0,11.016666666666664,,,,,,
3,20180507.0,11.0,12.7,12.7,11.0,200.0,11.008333333333331,11.34,,,,,
4,20180504.0,11.2,11.2,11.2,11.2,122.0,11.104166666666666,11.293333333333331,,,,,
5,20180503.0,13.1,13.1,13.1,13.1,100.0,12.10208333333333,11.895555555555555,,,,,
6,20180502.0,11.5,11.5,11.5,11.5,100.0,11.801041666666666,11.763703703703703,,,,,
7,20180418.0,10.1,10.1,10.1,10.1,100.0,10.95052083333333,11.209135802469135,,,,,
8,20180416.0,9.2,12.2,12.2,9.2,500.0,10.075260416666664,10.539423868312754,11.18,,,,
9,20180413.0,10.7,10.7,10.7,10.7,100.0,10.38763020833333,10.592949245541837,11.092727272727274,,,,
10,20180409.0,9.4,9.4,9.4,9.4,100.0,9.893815104166666,10.195299497027891,10.78495867768595,,,,
11,20180406.0,8.199999999999998,8.199999999999998,8.199999999999998,8.199999999999998,202.0,9.046907552083331,9.530199664685261,10.314966190833958,,,,
12,20180405.0,7.8,7.8,7.8,7.8,100.0,8.423453776041665,8.953466443123506,9.85769961068233,10.564285714285715,,,
13,20180404.0,7.4,7.4,7.4,7.4,100.0,7.911726888020834,8.43564429541567,9.410845136012815,10.142380952380954,,,
14,20180403.0,7.3,7.2,7.3,7.2,3624.0,7.605863444010418,8.05709619694378,9.027055111283213,9.763396825396825,,,
15,20180402.0,6.9,6.9,6.9,6.9,100.0,7.252931722005208,7.671397464629186,8.640317818322627,9.381610582010586,,,
16,20180307.0,6.0,6.0,6.0,6.0,100.0,6.626465861002603,7.114264976419457,8.160260033173062,8.93072917107584,,,
17,20180105.0,7.5,7.5,7.5,7.5,3700.0,7.063232930501302,7.242843317612973,8.040212754414322,8.739965281599058,,,
18,20171124.0,9.6,9.6,9.6,9.6,100.0,8.331616465250649,8.028562211741981,8.3238104354299,8.854636577385852,9.63,,
19,20171019.0,8.5,8.5,8.5,8.5,100.0,8.415808232625325,8.18570814116132,8.355844901715372,8.807351700401071,9.522380952380953,,
20,20171013.0,8.5,8.5,8.5,8.5,100.0,8.457904116312662,8.290472094107548,8.382054919585304,8.766371473680929,9.42501133786848,,
