,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,31.0,31.5,31.5,31.0,5101.0,,,,,,,
1,20180518.0,31.5,30.0,31.5,30.0,200.0,31.1,,,,,,
2,20180517.0,31.0,31.0,31.4,30.9,5712.0,31.05,,,,,,
3,20180516.0,31.0,30.5,31.0,30.5,44400.0,31.025,31.06,,,,,
4,20180514.0,31.0,31.0,31.0,31.0,100.0,31.0125,31.04,,,,,
5,20180511.0,31.0,31.0,31.0,31.0,1000.0,31.00625,31.026666666666667,,,,,
6,20180510.0,31.0,30.6,31.0,30.6,1400.0,31.003125,31.01777777777778,,,,,
7,20180509.0,31.0,30.8,31.0,30.5,41840.0,31.0015625,31.011851851851848,,,,,
8,20180508.0,31.5,31.0,31.5,31.0,1210.0,31.25078125,31.174567901234568,31.08,,,,
9,20180507.0,31.4,32.3,32.3,31.4,1230.0,31.325390625,31.249711934156377,31.138181818181817,,,,
10,20180504.0,31.5,32.0,32.0,31.5,231.0,31.4126953125,31.33314128943758,31.20396694214876,,,,
11,20180503.0,31.7,30.6,31.7,30.6,820.0,31.556347656249997,31.455427526291718,31.294154770848987,,,,
12,20180502.0,33.0,35.0,35.0,33.0,227.0,32.278173828125,31.970285017527814,31.60430844887644,31.314285714285717,,,
13,20180427.0,31.4,31.4,31.5,30.5,1502.0,31.839086914062495,31.78019001168521,31.567161458171643,31.325714285714284,,,
14,20180426.0,31.0,31.5,31.5,30.5,65584.0,31.419543457031246,31.520126674456808,31.464041193049525,31.282285714285717,,,
15,20180424.0,31.0,31.5,31.5,30.8,9200.0,31.209771728515623,31.34675111630454,31.379670067040518,31.244647619047615,,,
16,20180423.0,30.6,31.5,31.5,30.6,7829.0,30.90488586425781,31.09783407753636,31.237911873033152,31.1586946031746,,,
17,20180420.0,31.0,30.7,31.0,30.7,1458.0,30.952442932128903,31.065222718357568,31.194655168845305,31.137535322751322,,,
18,20180419.0,31.0,31.4,31.4,30.5,16556.0,30.976221466064448,31.043481812238376,31.15926331996434,31.11919727971781,31.22,,
19,20180418.0,31.2,31.5,31.5,31.2,421.0,31.088110733032224,31.095654541492248,31.166669989061727,31.129970975755445,31.218095238095238,,
20,20180417.0,31.0,31.4,31.4,31.0,3000.0,31.04405536651611,31.063769694328165,31.136366354686874,31.112641512321375,31.197324263038546,,
21,20180416.0,31.4,31.1,31.5,30.0,22699.0,31.222027683258055,31.175846462885445,31.1842997447438,31.1509559773452,31.216626714177735,,
22,20180413.0,31.5,31.4,31.5,31.0,3720.0,31.36101384162903,31.283897641923634,31.241699791154023,31.197495180365838,31.243614646160808,,
23,20180412.0,31.4,31.1,31.5,31.0,36200.0,31.380506920814515,31.32259842794908,31.270481647307832,31.224495822983723,31.258508489383583,,
24,20180411.0,31.5,31.0,31.5,31.0,103423.0,31.440253460407252,31.381732285299385,31.31221225688823,31.261229713252558,31.28150768087086,,
25,20180410.0,31.5,32.0,32.0,31.3,59224.0,31.470126730203628,31.421154856866252,31.346355482908557,31.293065751485557,31.302316473168876,,
26,20180409.0,31.5,31.5,31.5,31.0,17700.0,31.485063365101812,31.447436571244168,31.374290849652454,31.320656984620808,31.321143475724217,,
27,20180406.0,31.7,31.5,31.7,31.5,41164.0,31.592531682550906,31.531624380829445,31.433510695170188,31.37123605333804,31.35722504946477,,
28,20180405.0,31.5,30.7,31.5,30.5,81519.0,31.54626584127545,31.521082920552967,31.445599659684696,31.388404579559634,31.37082266380146,,
29,20180404.0,31.0,31.5,31.5,30.9,5100.0,31.273132920637728,31.347388613701977,31.364581539742023,31.336617302285017,31.335506219629888,,
30,20180403.0,31.2,31.5,31.5,30.5,8715.0,31.236566460318862,31.29825907580132,31.334657623425294,31.318401661980346,31.322600865379425,,
31,20180402.0,31.5,31.5,31.5,31.0,700.0,31.36828323015943,31.365506050534208,31.364719873711604,31.3426147737163,31.339496021057574,,
32,20180330.0,31.4,31.5,31.5,30.8,3328.0,31.38414161507972,31.377004033689477,31.37113444212768,31.3502661372208,31.345258304766375,,
33,20180329.0,31.4,31.5,31.5,30.7,1656.0,31.392070807539852,31.384669355792987,31.37638272537719,31.356897318924684,31.35047179955053,,
34,20180328.0,31.5,31.5,31.5,31.0,440.0,31.446035403769926,31.42311290386199,31.398858593490427,31.3759776764014,31.36471258054572,,
35,20180327.0,31.5,31.0,31.5,31.0,86460.0,31.473017701884967,31.448741935907993,31.417247940128526,31.392513986214542,31.377597096684216,,
36,20180326.0,30.7,31.0,31.0,30.7,600.0,31.086508850942476,31.199161290605325,31.28683922374153,31.3001787880526,31.313064039857146,,
37,20180323.0,31.0,31.3,31.3,30.5,12138.0,31.04325442547124,31.132774193736882,31.234686637606707,31.260154949645592,31.283248417013606,,
38,20180322.0,31.0,31.3,31.4,31.0,6350.0,31.021627212735616,31.088516129157927,31.192016339860025,31.225467623026184,31.25627237729803,,
39,20180321.0,31.4,31.3,31.4,31.2,2200.0,31.210813606367807,31.192344086105287,31.229831550794568,31.248738606622688,31.26996072231726,,
40,20180320.0,31.4,31.2,31.5,31.2,2800.0,31.305406803183903,31.26156272407019,31.260771268831924,31.26890679240633,31.2823454154299,,
41,20180319.0,31.4,32.0,32.0,30.3,28000.0,31.35270340159195,31.30770848271346,31.286085583589752,31.286385886752154,31.29355061396039,,
42,20180316.0,30.4,31.0,31.0,29.0,15196.0,30.876351700795976,31.005138988475643,31.124979113846155,31.168201101851867,31.208450555487975,,
43,20180315.0,30.5,30.6,31.0,30.5,6122.0,30.68817585039799,30.836759325650426,31.01134654769232,31.079107621604955,31.14097907401293,,
44,20180314.0,31.4,32.4,32.4,30.7,26692.0,31.044087925198994,31.02450621710028,31.082010811748255,31.121893272057626,31.165647733630745,,
45,20180313.0,32.7,32.5,32.8,32.0,12820.0,31.872043962599495,31.583004144733522,31.376190664157665,31.332307502449932,31.311776520904008,,
46,20180312.0,32.8,33.0,33.0,32.5,17630.0,32.33602198129975,31.988669429822348,31.63506508885627,31.527999835456615,31.45351209034172,,
47,20180309.0,32.8,33.0,33.0,32.7,7900.0,32.568010990649874,32.259112953214895,31.846871436336954,31.69759985739573,31.5817490341187,,
48,20180308.0,33.3,33.0,33.3,33.0,5550.0,32.93400549532493,32.60607530214326,32.111076629730235,31.91125320974297,31.745391983250254,31.378000000000014,
49,20180307.0,33.0,33.5,33.5,33.0,6600.0,32.96700274766247,32.73738353476217,32.272699060688375,32.056419448443904,31.864878461035943,31.441607843137266,
50,20180306.0,33.5,33.0,33.5,33.0,34800.0,33.23350137383123,32.99158902317478,32.49584468601776,32.24889685531805,32.020604321889664,31.522329104190714,
51,20180305.0,33.1,33.0,33.4,32.6,66830.0,33.16675068691561,33.02772601544986,32.60569110674181,32.36237727460898,32.12340391028113,31.58419855108519,
52,20180302.0,32.5,32.5,32.5,32.2,3180.0,32.8333753434578,32.85181734363324,32.58647454187966,32.38072697132778,32.159270204540064,31.62011233339557,
53,20180301.0,32.5,32.5,32.6,32.4,15300.0,32.66668767172891,32.73454489575549,32.57075189790154,32.39663004181741,32.191720661250535,31.654617732085946,
