,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20170802.0,28.0,28.0,28.0,28.0,100.0,,,,,,,
1,20170626.0,20.0,20.0,20.0,20.0,100.0,21.666666666666668,,,,,,
2,20170601.0,23.5,23.5,23.5,23.5,100.0,22.583333333333332,,,,,,
3,20170103.0,18.0,18.0,18.0,18.0,100.0,20.291666666666668,21.3,,,,,
4,20161219.0,18.0,18.0,18.0,18.0,100.0,19.145833333333332,20.2,,,,,
5,20160919.0,18.0,18.0,18.0,18.0,100.0,18.572916666666668,19.46666666666666,,,,,
6,20160419.0,30.0,30.0,30.0,30.0,100.0,24.286458333333332,22.977777777777774,,,,,
7,20150616.0,35.9,35.9,35.9,35.9,100.0,30.093229166666667,27.285185185185185,,,,,
8,20150417.0,26.8,26.8,26.8,26.8,100.0,28.446614583333332,27.123456790123452,23.520000000000007,,,,
9,20140506.0,22.0,22.0,22.0,22.0,100.0,25.223307291666668,25.415637860082303,23.24363636363637,,,,
10,20140224.0,19.6,19.6,19.6,19.6,100.0,22.41165364583333,23.477091906721537,22.58115702479339,,,,
11,20131021.0,14.0,14.0,14.0,14.0,100.0,18.205826822916666,20.318061271147688,21.020946656649137,,,,
12,20130702.0,11.6,11.6,11.6,11.6,100.0,14.902913411458332,17.412040847431793,19.308047264531112,21.600000000000005,,,
13,20130129.0,9.5,9.5,9.5,9.5,100.0,12.201456705729168,14.774693898287863,17.52476594370727,19.98666666666667,,,
14,20121218.0,9.5,9.5,9.5,9.5,100.0,10.850728352864582,13.016462598858576,16.06571759030595,18.58844444444445,,,
15,20120611.0,10.5,10.5,10.5,10.5,1400.0,10.675364176432291,12.177641732572386,15.053768937523053,17.50998518518519,,,
16,20120409.0,11.0,11.0,11.0,11.0,1000.0,10.837682088216145,11.78509448838159,14.316720039791587,16.64198716049383,,,
17,20120227.0,10.0,10.0,10.0,10.0,5100.0,10.418841044108072,11.190062992254392,13.53186185073857,15.756388872427987,,,
18,20111212.0,10.0,10.0,10.0,10.0,600.0,10.209420522054035,10.793375328169597,12.889705150604286,14.988870356104256,18.145000000000003,,
19,20110401.0,10.0,10.0,10.0,10.0,100.0,10.104710261027016,10.528916885446396,12.364304214130781,14.323687641957022,17.369285714285716,,
