,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20130508.0,3.5,3.5,3.5,3.5,6000.0,,,,,,,
1,20130507.0,3.5,3.3,3.5,3.0,16300.0,3.5333333333333323,,,,,,
2,20130506.0,3.3,3.3,3.6,3.3,345500.0,3.416666666666666,,,,,,
3,20130425.0,3.6,3.5,3.6,3.5,647500.0,3.508333333333333,3.5,,,,,
4,20130422.0,3.3,3.5,3.5,3.3,10000.0,3.4041666666666672,3.4333333333333322,,,,,
5,20130416.0,3.5,3.5,3.5,3.5,45600.0,3.452083333333333,3.4555555555555553,,,,,
6,20130415.0,3.5,3.5,3.5,3.5,15000.0,3.476041666666666,3.4703703703703703,,,,,
7,20130408.0,3.5,3.2,3.5,3.2,34200.0,3.4880208333333327,3.480246913580247,,,,,
8,20130405.0,3.2,3.2,3.2,3.2,600.0,3.3440104166666673,3.3868312757201644,3.45,,,,
9,20130404.0,3.5,3.5,3.5,3.5,4000.0,3.4220052083333323,3.4245541838134423,3.459090909090909,,,,
10,20130403.0,3.5,3.5,3.5,3.5,16500.0,3.4610026041666666,3.449702789208962,3.466528925619835,,,,
11,20130402.0,3.5,3.5,3.5,3.5,10000.0,3.4805013020833333,3.466468526139308,3.4726145755071376,,,,
12,20130401.0,3.5,3.5,3.5,3.5,12000.0,3.4902506510416664,3.4776456840928716,3.4775937435967488,3.4642857142857144,,,
13,20130328.0,3.5,3.2,3.5,3.2,28400.0,3.4951253255208323,3.485097122728581,3.48166760839734,3.469047619047619,,,
14,20130327.0,3.2,3.2,3.2,3.2,100.0,3.3475626627604167,3.390064748485721,3.4304553159614595,3.4331746031746038,,,
15,20130326.0,3.5,3.5,3.5,3.5,20000.0,3.423781331380209,3.426709832323814,3.4430998039684666,3.4420846560846567,,,
16,20130325.0,3.2,3.2,3.2,3.2,100.0,3.3118906656901044,3.3511398882158754,3.3988998396105634,3.4098067019400355,,,
17,20130322.0,3.5,3.2,3.5,3.2,2200.0,3.405945332845052,3.4007599254772503,3.4172816869540976,3.4218324750146967,,,
18,20130321.0,3.5,3.5,3.5,3.5,27200.0,3.4529726664225255,3.433839950318167,3.432321380235171,3.432254811679404,3.445,,
19,20130320.0,3.5,3.5,3.5,3.5,10000.0,3.476486333211263,3.4558933002121113,3.444626583828776,3.441287503455484,3.4502380952380953,,
20,20130319.0,3.4,3.4,3.4,3.4,15200.0,3.4382431666056315,3.437262200141407,3.4365126594962714,3.435782502994752,3.4454535147392287,,
21,20130318.0,3.5,3.5,3.5,3.5,1000.0,3.4691215833028157,3.458174800094272,3.448055812315131,3.444344835928786,3.4506484180973978,,
22,20130314.0,3.5,3.4,3.5,3.4,110000.0,3.484560791651408,3.4721165333961803,3.4575002100760166,3.4517655244716146,3.4553485687547885,,
23,20130313.0,3.4,3.4,3.4,3.4,20000.0,3.442280395825704,3.448077688930788,3.447045626425832,3.4448634545420656,3.450077276492427,,
24,20130312.0,3.5,3.2,3.5,3.2,3400.0,3.471140197912852,3.4653851259538584,3.4566736943484084,3.452214993936457,3.4548318215883866,,
25,20130311.0,3.4,3.4,3.4,3.4,10000.0,3.4355700989564255,3.443590083969239,3.446369386285061,3.445252994744929,3.449609743341873,,
26,20130308.0,3.4,3.4,3.4,3.4,11000.0,3.4177850494782134,3.4290600559794933,3.437938588778686,3.4392192621122724,3.4448850058807428,,
27,20130307.0,3.4,3.4,3.4,3.4,200.0,3.4088925247391066,3.419373370652995,3.431040663546198,3.4339900271639694,3.44061024341591,,
28,20130306.0,3.3,3.3,3.3,3.3,100.0,3.3544462623695526,3.379582247101997,3.40721508835598,3.4161246902087736,3.427218791662014,,
29,20130304.0,3.5,3.5,3.5,3.5,23900.0,3.427223131184776,3.4197214980679975,3.4240850722912564,3.4273080648476038,3.4341503353132503,,
