,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,13.5,13.9,13.9,13.5,22910.0,,,,,,,
1,20180518.0,13.7,13.8,13.8,13.6,3200.0,13.56666666666667,,,,,,
2,20180517.0,13.9,13.8,13.9,13.8,21210.0,13.733333333333334,,,,,,
3,20180516.0,13.6,13.7,13.9,13.6,40700.0,13.66666666666667,13.64,,,,,
4,20180515.0,13.8,13.6,13.9,13.5,7100.0,13.733333333333334,13.69333333333333,,,,,
5,20180514.0,13.5,13.6,13.7,13.5,4408.0,13.61666666666667,13.628888888888888,,,,,
6,20180511.0,13.5,13.6,13.6,13.5,12900.0,13.55833333333333,13.585925925925924,,,,,
7,20180510.0,13.5,13.7,13.7,13.4,27700.0,13.529166666666665,13.557283950617283,,,,,
8,20180509.0,13.7,13.4,13.7,13.4,10110.0,13.61458333333333,13.60485596707819,13.62,,,,
9,20180508.0,13.6,13.4,13.6,13.4,500.0,13.607291666666665,13.60323731138546,13.616363636363635,,,,
10,20180507.0,13.6,13.6,13.6,13.2,21500.0,13.60364583333333,13.602158207590307,13.613388429752064,,,,
11,20180504.0,13.6,13.6,14.2,13.4,75000.0,13.601822916666666,13.601438805060203,13.610954169797143,,,,
12,20180503.0,13.5,13.2,13.5,13.1,95924.0,13.550911458333333,13.567625870040136,13.590780684379478,13.607142857142858,,,
13,20180502.0,12.9,13.2,13.2,12.9,24700.0,13.225455729166665,13.345083913360092,13.465184196310481,13.51285714285714,,,
14,20180427.0,13.0,12.7,13.2,12.7,18300.0,13.112727864583334,13.23005594224006,13.380605251526761,13.44447619047619,,,
15,20180426.0,13.1,13.1,13.1,13.0,23200.0,13.106363932291666,13.186703961493375,13.329586114885533,13.398546031746031,,,
16,20180424.0,13.7,13.7,13.7,13.7,800.0,13.403181966145834,13.357802640995583,13.39693409399725,13.438739894179891,,,
17,20180423.0,13.9,13.1,13.9,12.7,1238.0,13.651590983072916,13.538535093997057,13.488400622361391,13.500241241622575,,,
18,20180420.0,14.0,13.8,14.0,13.8,38900.0,13.825795491536457,13.692356729331369,13.581418691022954,13.566875742739564,13.554999999999996,,
19,20180419.0,13.6,13.8,13.8,13.6,16000.0,13.712897745768228,13.66157115288758,13.584797110836961,13.571292310374288,13.559285714285712,,
20,20180418.0,13.7,13.8,13.8,13.7,7800.0,13.706448872884112,13.674380768591721,13.605743090684788,13.588453335657714,13.572687074829929,,
21,20180417.0,13.9,14.1,14.1,13.9,56900.0,13.803224436442056,13.749587179061146,13.65924434692392,13.629992890903353,13.603859734369935,,
22,20180416.0,14.2,13.4,14.3,13.4,89500.0,14.001612218221027,13.899724786040764,13.757563556574114,13.70599383878291,13.660634997763276,,
23,20180413.0,13.4,13.3,13.5,13.3,74500.0,13.700806109110513,13.733149857360509,13.692552000833366,13.66519466027852,13.635812617023918,,
24,20180412.0,13.5,13.4,13.5,13.3,27700.0,13.60040305455526,13.655433238240338,13.657542546136392,13.643168705574716,13.622878082069258,,
25,20180411.0,13.4,13.3,13.4,13.3,110910.0,13.500201527277628,13.57028882549356,13.610716628657046,13.610746211498089,13.601651598062665,,
26,20180410.0,13.4,13.4,13.5,13.4,90900.0,13.450100763638815,13.513525883662371,13.572404514355764,13.582646716631677,13.582446683961455,,
27,20180409.0,13.2,13.0,13.6,13.0,72600.0,13.325050381819407,13.409017255774915,13.504694602654716,13.531627154414121,13.54602319025084,,
28,20180406.0,13.0,12.5,13.0,12.5,68200.0,13.162525190909705,13.272678170516608,13.41293194762659,13.460743533825566,13.494020981655524,,
29,20180405.0,12.6,12.5,12.6,12.5,26100.0,12.881262595454853,13.048452113677742,13.26512613896721,13.345977729315491,13.40887612625976,,
30,20180404.0,12.6,12.6,12.7,12.6,24000.0,12.740631297727424,12.89896807578516,13.144194113700445,13.246514032073426,13.331840304711209,,
31,20180403.0,12.5,12.5,12.6,12.5,107304.0,12.620315648863714,12.765978717190109,13.027067911209452,13.146978827796971,13.25261741854824,,
32,20180402.0,12.5,12.5,12.6,12.5,6700.0,12.560157824431856,12.677319144793405,12.931237381898645,13.060714984090705,13.18093956916269,,
33,20180330.0,12.6,12.6,12.6,12.5,44210.0,12.580078912215928,12.651546096528937,12.871012403371617,12.99928631954528,13.125611991147197,,
34,20180329.0,12.5,12.5,12.6,12.5,50714.0,12.540039456107964,12.601030731019293,12.803555602758594,12.932714810272577,13.066029896752225,,
35,20180328.0,12.5,12.5,12.5,12.5,56100.0,12.520019728053981,12.567353820679527,12.748363674984304,12.875019502236231,13.012122287537728,,
36,20180327.0,12.5,12.4,12.6,12.4,99400.0,12.51000986402699,12.544902547119683,12.703206643168976,12.825016901938069,12.96334873634366,,
37,20180326.0,12.5,12.4,12.5,12.3,38450.0,12.505004932013495,12.529935031413123,12.666259980774614,12.781681315012992,12.919220285263313,,
38,20180323.0,12.4,12.5,12.5,12.2,238580.0,12.452502466006749,12.486623354275418,12.617849075179233,12.730790473011261,12.869770734285852,,
