,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,47.5,50.0,51.0,47.5,110.0,,,,,,,
1,20180518.0,50.5,48.6,52.0,48.6,880.0,49.21666666666666,,,,,,
2,20180517.0,51.5,50.8,51.7,50.8,7920.0,50.35833333333332,,,,,,
3,20180516.0,51.0,48.3,53.3,48.3,180.0,50.67916666666666,50.03,,,,,
4,20180515.0,53.7,52.5,53.7,52.5,2010.0,52.18958333333332,51.25333333333334,,,,,
5,20180514.0,53.9,53.4,54.0,52.0,4250.0,53.04479166666666,52.135555555555555,,,,,
6,20180511.0,53.4,50.4,54.0,50.4,4690.0,53.22239583333334,52.55703703703704,,,,,
7,20180510.0,52.8,51.0,54.1,50.3,15490.0,53.01119791666666,52.63802469135802,,,,,
8,20180509.0,54.0,54.8,54.8,53.9,730.0,53.50559895833334,53.09201646090535,51.795,,,,
9,20180508.0,52.9,51.0,53.0,51.0,1070.0,53.20279947916667,53.028010973936894,51.995909090909095,,,,
10,20180507.0,50.9,51.0,55.6,50.9,41510.0,52.051399739583324,52.3186739826246,51.79665289256199,,,,
11,20180504.0,54.7,50.2,54.7,50.2,160.0,53.375699869791674,53.11244932174973,52.324534184823435,,,,
12,20180503.0,53.9,53.9,53.9,53.9,20.0,53.63784993489583,53.37496621449983,52.610982514855536,52.16785714285713,,,
13,20180502.0,53.9,52.0,54.0,52.0,2310.0,53.76892496744792,53.54997747633321,52.84534933033635,52.398809523809526,,,
14,20180427.0,53.8,58.7,58.7,53.8,6590.0,53.78446248372396,53.63331831755547,53.01892217936611,52.58563492063492,,,
15,20180426.0,57.7,58.5,58.5,54.3,950.0,55.74223124186198,54.988878878370315,53.87002723766318,53.267550264550266,,,
16,20180424.0,58.0,55.0,59.0,54.9,70.0,56.871115620930986,55.992585918913534,54.62093137626987,53.89854356261024,,,
17,20180423.0,58.9,60.0,60.0,56.1,1420.0,57.8855578104655,56.96172394594236,55.398943853311714,54.56540442092886,,,
18,20180420.0,59.8,59.9,59.9,57.0,910.0,58.84277890523274,57.907815963961575,56.19913587998231,55.26335049813836,53.6225,,
19,20180419.0,59.0,59.7,60.0,58.0,7260.0,58.921389452616374,58.271877309307726,56.70838390180371,55.7615704317199,54.13464285714286,,
20,20180418.0,58.9,57.5,60.5,57.5,13220.0,58.910694726308186,58.48125153953848,57.10685955602121,56.180027707490574,54.58848639455783,,
21,20180417.0,57.5,57.8,60.3,57.0,17760.0,58.20534736315409,58.15416769302565,57.17833963674463,56.35602401315849,54.86577340459993,,
22,20180416.0,56.4,53.5,57.2,53.3,19440.0,57.30267368157705,57.56944512868376,57.0368233391547,56.36188747807071,55.01189022320946,,
23,20180412.0,53.5,53.0,53.5,53.0,20.0,55.40133684078852,56.2129634191225,56.39376455021748,55.98030248099461,54.867900678141886,,
24,20180410.0,54.0,52.1,54.0,52.1,430.0,54.70066842039427,55.475308946081675,55.95853463199612,55.71626215019532,54.78524347069981,,
25,20180409.0,55.0,56.6,56.6,53.0,360.0,54.850334210197126,55.316872630721114,55.784255607996826,55.62076053016928,54.80569647349031,,
26,20180406.0,53.8,51.9,54.0,51.5,5470.0,54.32516710509856,54.81124842048074,55.42348186108832,55.37799245948005,54.70991585696743,,
27,20180405.0,52.0,52.5,52.5,52.0,30.0,53.162583552549286,53.87416561365383,54.80103061361771,54.9275934648827,54.451828632494326,,
28,20180404.0,51.9,51.3,51.9,51.2,990.0,52.531291776274635,53.21611040910256,54.273570502050845,54.52391433623168,54.20879733416153,,
29,20180403.0,51.2,51.5,52.8,51.2,2540.0,51.865645888137315,52.544073606068366,53.71473950167797,54.080725758067445,53.922245207098534,,
30,20180402.0,53.9,53.9,53.9,53.9,10.0,52.88282294406866,52.99604907071225,53.7484232286456,54.05662899032512,53.920126615946295,,
31,20180330.0,53.7,53.7,53.7,52.1,2780.0,53.291411472034326,53.23069938047483,53.73961900525551,54.00907845828176,53.89916217633236,,
