,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180507.0,34.6,34.6,34.6,34.6,5000.0,,,,,,,
1,20180503.0,34.6,34.6,34.6,34.6,23800.0,34.6,,,,,,
2,20180416.0,31.5,31.5,31.5,31.5,300.0,33.05,,,,,,
3,20180411.0,34.9,34.9,34.9,34.9,7700.0,33.974999999999994,34.040000000000006,,,,,
4,20180409.0,34.9,34.9,34.9,34.9,6300.0,34.4375,34.32666666666667,,,,,
5,20180405.0,34.9,34.9,34.9,34.9,1437.0,34.66875,34.51777777777778,,,,,
6,20180404.0,34.9,34.9,34.9,34.9,1190.0,34.784375,34.645185185185184,,,,,
7,20180403.0,34.9,34.9,34.9,34.9,1675.0,34.842187499999994,34.730123456790125,,,,,
8,20180330.0,34.9,34.9,34.9,34.9,3100.0,34.87109375,34.78674897119341,34.47,,,,
9,20180328.0,34.9,34.9,34.9,34.9,1145.0,34.885546875,34.82449931412895,34.54818181818182,,,,
10,20180327.0,34.9,34.9,34.9,34.9,1495.0,34.8927734375,34.8496662094193,34.61214876033057,,,,
11,20180326.0,34.9,34.9,34.9,34.9,757.0,34.896386718749994,34.86644413961287,34.66448534936138,,,,
12,20180322.0,34.9,34.9,34.9,34.9,8000.0,34.898193359375,34.87762942640857,34.70730619493204,34.592857142857135,,,
13,20180321.0,34.9,31.5,34.9,31.5,1087.0,34.8990966796875,34.88508628427238,34.742341432217124,34.633809523809525,,,
14,20180320.0,34.9,34.9,34.9,34.9,300.0,34.89954833984375,34.89005752284825,34.771006626359465,34.66930158730158,,,
15,20180316.0,34.9,34.9,34.9,34.9,21523.0,34.89977416992187,34.893371681898834,34.79445996702138,34.70006137566137,,,
16,20180315.0,34.9,34.9,34.9,34.9,17.0,34.89988708496094,34.89558112126589,34.81364906392658,34.72671985890652,,,
17,20180314.0,34.9,34.9,34.9,34.9,12087.0,34.89994354248047,34.89705408084393,34.82934923412175,34.74982387771898,,,
18,20180313.0,35.5,35.5,35.5,35.5,23.0,35.199971771240236,35.09803605389595,34.9512857370087,34.849847360689786,34.71499999999999,,
19,20180312.0,35.5,35.0,35.5,35.0,500.0,35.349985885620114,35.232024035930635,35.051051966643485,34.93653437926448,34.789761904761896,,
20,20180309.0,34.5,34.5,34.5,34.5,100.0,34.92499294281006,34.988016023953755,34.950860699981035,34.878329795362546,34.762165532879806,,
21,20180308.0,34.0,34.0,34.0,34.0,3.0,34.46249647140503,34.6586773493025,34.777976936348125,34.761219155980875,34.6895783392722,,
22,20180307.0,34.0,34.0,34.0,34.0,5727.0,34.23124823570252,34.439118232868324,34.63652658428482,34.659723268516764,34.623904211722476,,
23,20180302.0,35.0,35.0,35.0,35.0,100.0,34.615624117851254,34.62607882191222,34.7026126598694,34.70509349938119,34.659722858225095,,
24,20180226.0,35.0,35.0,35.0,35.0,49.0,34.80781205892563,34.75071921460814,34.756683085347696,34.744414366130364,34.6921302050608,,
25,20180221.0,35.0,31.6,35.0,31.6,2400.0,34.90390602946282,34.83381280973877,34.80092252437539,34.778492450646326,34.721451137912155,,
26,20180213.0,34.9,34.9,34.9,34.9,500.0,34.901953014731404,34.85587520649252,34.81893661085259,34.794693457226806,34.73845579144432,,
27,20180209.0,34.9,34.9,34.9,34.9,113086.0,34.9009765073657,34.87058347099501,34.8336754088794,34.80873432959657,34.75384095416392,,
28,20180208.0,34.9,34.9,34.9,34.9,4600.0,34.900488253682845,34.88038898066334,34.84573442544678,34.820903085650365,34.76776086329116,,
29,20180207.0,34.9,34.9,34.9,34.9,32648.0,34.90024412684143,34.88692598710889,34.85560089354736,34.831449340896974,34.780355066787244,,
30,20180206.0,34.9,34.9,34.9,34.9,34609.0,34.90012206342071,34.89128399140593,34.863673458356935,34.84058942877738,34.79174982233132,,
31,20180205.0,34.9,34.9,34.9,34.9,4700.0,34.90006103171035,34.894189327603954,34.87027828411022,34.84851083827372,34.802059363061666,,
32,20180202.0,34.9,34.9,34.9,34.9,42986.0,34.90003051585517,34.896126218402635,34.87568223245382,34.85537605983722,34.81138704277008,,
33,20180201.0,34.9,34.9,34.9,34.9,10200.0,34.90001525792759,34.89741747893509,34.880103644734945,34.861325918525594,34.81982637203007,,
34,20180131.0,34.9,34.9,35.0,34.9,34742.0,34.90000762896379,34.89827831929006,34.88372116387404,34.86648246272218,34.82746195564626,,
35,20180130.0,34.9,34.9,34.9,34.9,28251.0,34.900003814481884,34.898852212860035,34.88668095226058,34.87095146769256,34.834370340822794,,
36,20180129.0,34.9,34.9,34.9,34.9,8414.0,34.90000190724095,34.899234808573354,34.889102597304124,34.87482460533356,34.840620784553956,,
37,20180126.0,34.9,34.9,34.9,34.9,6900.0,34.90000095362048,34.89948987238223,34.89108394324882,34.8781813246224,34.846275947929776,,
38,20180125.0,34.9,34.9,35.0,34.9,10600.0,34.900000476810234,34.899659914921486,34.89270504447631,34.88109048133942,34.85139252431741,,
39,20180124.0,34.9,34.9,35.0,34.9,52100.0,34.90000023840511,34.899773276614326,34.89403140002607,34.883611750494154,34.85602180771576,,
40,20180123.0,34.9,34.9,34.9,34.9,1140.0,34.90000011920256,34.899848851076214,34.895116600021325,34.88579685042828,34.86021020698093,,
41,20180122.0,34.9,34.9,35.0,34.9,16115.0,34.90000005960128,34.89989923405081,34.89600449092654,34.8876906037045,34.86399971107799,,
42,20180119.0,34.9,34.9,35.0,34.9,6579.0,34.90000002980064,34.89993282270053,34.896730947121725,34.8893318565439,34.86742831002294,,
43,20180118.0,34.9,34.9,35.0,34.9,52474.0,34.900000014900314,34.89995521513369,34.89732532037232,34.89075427567137,34.87053037573504,,
44,20180117.0,34.9,34.9,35.0,34.9,65894.0,34.90000000745016,34.89997014342246,34.89781162575917,34.89198703891519,34.873337006617405,,
45,20180116.0,34.9,34.9,35.0,34.9,73208.0,34.90000000372508,34.89998009561497,34.898209511984774,34.89305543372649,34.87587633932051,,
46,20180115.0,34.9,35.0,35.5,34.9,49541.0,34.90000000186254,34.89998673040998,34.89853505526027,34.893981375896296,34.8781738308138,,
47,20180112.0,35.0,35.0,35.0,34.9,344509.0,34.95000000093127,34.93332448693999,34.91698322703113,34.90811719244345,34.889776323117246,,
48,20180111.0,34.9,34.9,35.0,34.5,21555.0,34.92500000046563,34.92221632462666,34.91389536757092,34.90703490011766,34.89075000662989,34.80200000000003,
49,20180110.0,34.0,34.5,34.5,33.6,28400.0,34.462500000232815,34.614810883084445,34.747732573467125,34.7860969134353,34.805916672665134,34.77054901960786,
50,20180109.0,34.0,34.5,34.5,34.0,5376.0,34.231250000116404,34.409873922056285,34.611781196473096,34.68128399164393,34.729162703839876,34.74033141099579,
51,20180108.0,35.0,35.0,35.0,35.0,6400.0,34.6156250000582,34.6065826147042,34.68236643347799,34.72377945942474,34.754956732045606,34.750514492917524,
52,20180105.0,35.4,36.0,36.5,35.0,12429.0,35.007812500029104,34.87105507646946,34.81284526375472,34.8139421981681,34.81638942423174,34.77598451280312,
53,20180104.0,36.0,38.0,38.0,35.5,24625.0,35.50390625001455,35.24737005097964,35.02869157943568,34.97208323841236,34.92911424097157,34.823985120144165,
54,20180103.0,35.5,35.5,35.5,35.0,19600.0,35.501953125007276,35.33158003398643,35.114384019538285,35.04247213995737,34.98348431325999,34.85049550758949,
55,20180102.0,35.5,34.5,35.5,34.0,16600.0,35.500976562503645,35.38772002265761,35.18449601598587,35.10347585462973,35.03267628342571,34.87596627199775,
56,20171229.0,35.8,34.1,35.8,34.1,1210.0,35.65048828125182,35.525146681771744,35.29640583126117,35.1963457406791,35.10575473262326,34.91220288878215,
57,20171228.0,35.5,34.1,37.9,32.0,2402.0,35.57524414062591,35.51676445451449,35.33342295285005,35.23683297525522,35.14330190094485,34.93525375588873,
58,20171227.0,34.9,35.1,35.2,34.1,2716.0,35.23762207031295,35.31117630300966,35.254618779604584,35.19192191188785,35.12013029133106,34.9338712556578,
59,20171226.0,35.0,35.0,35.0,35.0,10.0,35.118811035156476,35.2074508686731,35.208324456040124,35.16633232363614,35.108689311204294,34.93646453974964,
60,20171225.0,35.0,36.3,36.3,35.0,700.0,35.05940551757824,35.1383005791154,35.170447282214646,35.144154680484654,35.098337948232455,34.938956126426135,
61,20171222.0,35.0,34.0,35.0,34.0,4600.0,35.02970275878912,35.092200386076925,35.139456867266524,35.12493405642003,35.08897242935318,34.941350003821185,
62,20171221.0,35.0,35.0,35.0,34.3,2700.0,35.01485137939456,35.06146692405129,35.11410107321806,35.108276182230696,35.080498864652874,34.94365000367134,
63,20171220.0,35.5,35.3,36.4,35.3,8300.0,35.25742568969728,35.207644616034194,35.184264514451144,35.16050602459993,35.12045135373356,34.965467650586184,
64,20171219.0,35.3,37.1,37.1,35.0,13508.0,35.27871284484864,35.238429744022795,35.205307330005475,35.17910522131995,35.13755122480654,34.97858656624947,
65,20171218.0,37.5,38.0,38.0,37.0,4430.0,36.38935642242432,35.9922864960152,35.6225241790954,35.488557858477286,35.36254634625354,35.07746552443577,
66,20171215.0,38.6,41.0,42.0,38.6,1610.0,37.49467821121216,36.8615243306768,36.16388341925987,35.90341681068032,35.670875265657955,35.21560413132064,
67,20171214.0,40.0,38.1,40.0,38.1,125217.0,38.74733910560608,37.90768288711786,36.86135916121261,36.449627902589604,36.083172859404826,35.40322749871983,
68,20171213.0,36.4,36.0,36.4,32.0,52040.0,37.57366955280304,37.405121924745245,36.777475677355774,36.44301084891099,36.11334687279484,35.44231661641709,
69,20171212.0,33.1,36.0,36.3,33.0,8500.0,35.336834776401524,35.970081283163495,36.108843736018365,35.9972760690562,35.82636145633819,35.3504610628321,
70,20171211.0,33.0,31.5,33.0,30.5,11200.0,34.16841738820076,34.98005418877566,35.54359942037866,35.597639259848705,35.55718417478217,35.25828611919163,
71,20171208.0,31.5,31.5,31.5,31.5,8.0,32.83420869410038,33.820036125850436,34.80839952576436,35.051287358535546,35.17078568194577,35.110902349811575,
72,20171206.0,31.5,30.1,31.9,29.6,6345.0,32.16710434705019,33.04669075056697,34.20687233926175,34.577782377397476,34.821187045569985,34.969298336093466,
73,20171205.0,32.7,33.0,33.0,30.1,600.0,32.4335521735251,32.93112716704464,33.93289555030507,34.32741139374448,34.61916923170618,34.88030624448196,
74,20171204.0,33.0,33.0,33.0,33.0,900.0,32.71677608676255,32.95408477802976,33.76327817752233,34.15042320791188,34.46496263821035,34.80656874469835,
75,20171201.0,33.0,32.0,33.0,31.0,11400.0,32.858388043381275,32.96938985201984,33.62450032706373,33.99703344685696,34.325442386952226,34.73572291157293,
76,20171130.0,32.0,32.5,32.5,32.0,4014.0,32.429194021690634,32.64625990134656,33.32913663123396,33.730762320609365,34.10397168343297,34.628439660138696,
77,20171129.0,33.3,32.1,33.3,31.9,6100.0,32.864597010845316,32.86417326756437,33.32383906191869,33.67332734452812,34.027402951677445,34.576343987192075,
78,20171128.0,32.1,32.8,32.8,32.1,5001.0,32.48229850542266,32.60944884504292,33.101322868842566,33.4635503652577,33.8438407658034,34.47923245828259,
79,20171127.0,32.8,33.2,33.2,32.8,16100.0,32.64114925271133,32.67296589669528,33.04653689268937,33.375076983223344,33.74442735953641,34.4133802050166,
80,20171124.0,33.2,33.1,33.5,32.5,3300.0,32.92057462635566,32.84864393113019,33.07443927583676,33.351733385460236,33.69257713481865,34.365796667564965,
81,20171123.0,33.0,33.5,33.5,33.0,3100.0,32.96028731317783,32.899095954086796,33.06090486204826,33.304835600732204,33.62661740769307,34.31223601393497,
82,20171122.0,33.5,33.7,33.7,32.8,4600.0,33.230143656588915,33.09939730272453,33.140740341675844,33.330857520634574,33.614558606960394,34.280383621231636,
83,20171121.0,33.9,33.8,36.0,33.8,401.0,33.56507182829446,33.36626486848302,33.27878755228024,33.40674318454997,33.64174350153559,34.265466616477454,
84,20171120.0,33.8,33.6,33.8,33.6,2699.0,33.68253591414722,33.510843245655344,33.373553451865654,33.45917742660997,33.65681554900839,34.24721302367442,
85,20171117.0,33.6,33.6,33.6,33.6,200.0,33.64126795707361,33.54056216377023,33.414725551526445,33.47795376972864,33.65140454434093,34.22183212078523,
