,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180504.0,1.2,1.2,1.2,1.2,100.0,,,,,,,
1,20180302.0,1.1,1.1,1.1,1.1,100.0,1.2,,,,,,
2,20180223.0,1.0,1.0,1.0,1.0,100.0,1.1,,,,,,
3,20180209.0,0.9,0.9,0.9,0.9,100.0,1.0,1.1,,,,,
4,20180202.0,0.8,0.8,0.8,0.8,100.0,0.9,1.0,,,,,
5,20180126.0,0.7,0.7,0.7,0.7,1000.0,0.8,0.9,,,,,
6,20180119.0,0.6,0.6,0.6,0.6,100.0,0.7,0.8,,,,,
7,20180112.0,0.5,0.5,0.5,0.5,100.0,0.6,0.7000000000000001,,,,,
8,20171222.0,0.4,0.4,0.4,0.4,28500.0,0.5,0.6000000000000001,0.8499999999999999,,,,
9,20171215.0,0.5,0.5,0.5,0.5,600.0,0.5,0.5666666666666668,0.7863636363636364,,,,
10,20171208.0,0.6,0.6,0.6,0.6,600.0,0.55,0.5777777777777778,0.7524793388429752,,,,
11,20171201.0,0.7,0.7,0.8,0.7,1600.0,0.625,0.6185185185185185,0.7429376408715251,,,,
12,20171124.0,0.8,0.8,0.8,0.8,1700.0,0.7125,0.6790123456790124,0.7533126152585204,0.7928571428571428,,,
13,20171117.0,0.9,0.9,0.9,0.9,100.0,0.80625,0.7526748971193414,0.7799830488478804,0.807142857142857,,,
14,20171110.0,1.0,1.0,1.0,1.0,100.0,0.903125,0.835116598079561,0.8199861308755386,0.8328571428571429,,,
15,20171103.0,1.1,1.1,1.1,1.1,100.0,1.0015625,0.9234110653863742,0.8708977434436224,0.8684761904761906,,,
16,20171027.0,1.2,1.2,1.2,1.2,100.0,1.1007812499999998,1.0156073769242493,0.9307345173629638,0.9126793650793652,,,
17,20171020.0,1.3,1.3,1.3,1.3,100.0,1.2003906249999998,1.1104049179494995,0.9978736960242433,0.9643221164021164,,,
18,20171013.0,1.5,1.5,1.5,1.5,100.0,1.3501953125,1.2402699452996664,1.0891693876561985,1.0357458342151677,0.905,,
19,20171006.0,1.7,1.7,1.7,1.7,100.0,1.5250976562499996,1.3935132968664445,1.2002294989914355,1.1243130563198118,0.9807142857142856,,
20,20170929.0,2.0,2.0,2.0,2.0,100.0,1.762548828125,1.5956755312442963,1.3456423173566288,1.2410713154771702,1.0777891156462585,,
21,20170922.0,2.3,2.3,2.3,2.3,100.0,2.0312744140625,1.830450354162864,1.5191618960190598,1.3822618067468808,1.1941901522513767,,
22,20170915.0,2.7,2.7,2.7,2.7,100.0,2.3656372070312495,2.120300236108576,1.7338597331065035,1.5579602325139636,1.3376006139417218,,
23,20170908.0,3.1,3.1,3.1,3.1,100.0,2.732818603515625,2.446866824072384,1.9822488725416847,1.7635655348454349,1.5054481745187007,,
24,20170901.0,3.6,3.6,3.6,3.6,100.0,3.1664093017578128,2.831244549381589,2.2763854411704694,2.00842346353271,1.7049293007550153,,
25,20170825.0,4.2,4.2,4.2,4.2,100.0,3.683204650878906,3.287496366254393,2.6261335427758388,2.3006336683950153,1.9425550816354895,,
26,20170818.0,4.9,4.9,4.9,4.9,100.0,4.291602325439452,3.824997577502929,3.0395638077256866,2.6472158459423465,2.2242165024321094,,
27,20170811.0,5.7,5.7,5.7,5.7,100.0,4.995801162719728,4.449998385001953,3.5232794790482886,3.054253733150034,2.55524350220048,,
28,20170804.0,6.6,6.6,6.6,6.6,100.0,5.797900581359864,5.166665590001302,4.082683210130417,3.5270199020633624,2.940458406752815,,
29,20170609.0,7.7,7.7,7.7,7.7,200.0,6.748950290679932,6.0111103933342,4.740377171924887,4.0834172484549125,3.393748082300166,,
30,20170505.0,6.8,6.8,6.8,6.8,100.0,6.7744751453399665,6.274073595556133,5.114854049756726,4.445628281994259,3.718153026843008,,
31,20170123.0,4.9,4.9,4.9,4.9,300.0,5.837237572669984,5.81604906370409,5.075789677073685,4.506211177728358,3.830709881429388,,
32,20170116.0,4.1,5.3,5.3,4.1,1300.0,4.968618786334991,5.244032709136061,4.898373372151196,4.4520496873645765,3.8563565593884936,,
33,20170113.0,4.8,4.7,4.8,4.7,1000.0,4.884309393167495,5.096021806090707,4.880487304487343,4.498443062382632,3.946227363256256,,
34,20170112.0,4.2,4.2,4.2,4.2,100.0,4.542154696583747,4.797347870727138,4.756762340035098,4.458650654064948,3.97039618580328,,
35,20170111.0,3.7,3.7,3.7,3.7,1200.0,4.121077348291873,4.4315652471514255,4.56462373275599,4.357497233522955,3.944644168107729,,
36,20170110.0,3.3,3.3,3.3,3.3,900.0,3.710538674145936,4.054376831434284,4.3346921449821725,4.216497602386561,3.8832494854308015,,
37,20161118.0,2.4,2.4,2.4,2.4,100.0,3.0552693370729678,3.5029178876228557,3.982929936803597,3.9742979220683528,3.741987629675488,,
38,20161027.0,2.1,2.1,2.1,2.1,100.0,2.577634668536484,3.03527859174857,3.6405790392029433,3.724391532459239,3.585607855420679,,
39,20161021.0,2.0,2.0,2.0,2.0,100.0,2.2888173342682423,2.69018572783238,3.342291941166044,3.4944726614646737,3.4345975834758526,,
40,20161020.0,1.8,1.8,1.8,1.8,100.0,2.0444086671341206,2.3934571518882537,3.0618752245903997,3.268542973269384,3.2789216231448193,,
41,20160624.0,1.3,1.3,1.3,1.3,9900.0,1.6722043335670604,2.0289714345921688,2.7415342746648723,3.0060705768334666,3.0904528971310263,,
42,20160623.0,1.4,1.4,1.4,1.4,200.0,1.53610216678353,1.8193142897281127,2.4976189519985317,2.791927833255671,2.929457383118548,,
43,20160622.0,1.4,1.4,1.4,1.4,1200.0,1.468051083391765,1.6795428598187419,2.29805186981698,2.6063374554882484,2.783794775202496,,
44,20160606.0,1.4,1.4,1.4,1.4,1300.0,1.4340255416958825,1.5863619065458279,2.1347697116684383,2.4454924614231484,2.652004796611782,,
45,20160530.0,1.5,1.5,1.5,1.5,100.0,1.4670127708479412,1.557574604363885,2.019357036819631,2.3194267999000617,2.5422900540773266,,
46,20160505.0,1.7,1.7,1.7,1.7,1600.0,1.5835063854239706,1.6050497362425902,1.961292121034244,2.236836559913387,2.4620719536890094,,
47,20160427.0,1.7,1.7,1.7,1.7,100.0,1.6417531927119853,1.6366998241617268,1.9137844626643807,2.1652583519249355,2.389493672385295,,
48,20160421.0,1.5,1.5,1.5,1.5,100.0,1.570876596355993,1.5911332161078173,1.83855092399813,2.076557238334944,2.3047799893009806,2.292,
49,20160413.0,1.7,1.7,1.7,1.7,100.0,1.6354382981779962,1.6274221440718784,1.8133598469075607,2.0263496065569515,2.24718189508184,2.2687843137254906,
50,20160411.0,2.0,2.0,2.0,2.0,1500.0,1.817719149088998,1.7516147627145855,1.8472944201970956,2.022836325682692,2.223640762216903,2.2582437524029224,
51,20160408.0,2.1,1.7,2.1,1.7,1600.0,1.9588595745444988,1.8677431751430569,1.8932408892521688,2.0331248155916657,2.211865451529579,2.252038115053788,
52,20160407.0,1.7,2.0,2.0,1.7,200.0,1.8294297872722491,1.8118287834287048,1.8581061821154108,1.9887081735127767,2.1631163609077144,2.230389561522267,
53,20160406.0,2.0,2.0,2.0,2.0,100.0,1.914714893636125,1.8745525222858033,1.8839050580944268,1.9902137503777404,2.147581469392694,2.221354676756688,
54,20160405.0,2.3,2.3,2.3,2.3,100.0,2.107357446818062,2.0163683481905355,1.95955868389544,2.031518583660708,2.1620975199267227,2.224438807079955,
55,20160401.0,2.5,2.5,2.5,2.5,500.0,2.303678723409031,2.17757889879369,2.0578207413689964,2.0939827725059468,2.1942787085051303,2.2352451283709374,
56,20160331.0,2.3,2.3,2.3,2.3,800.0,2.3018393617045154,2.218385932529127,2.1018533338473606,2.1214517361718204,2.204347402933213,2.237784535101489,
57,20160330.0,2.0,2.0,2.0,2.0,100.0,2.1509196808522577,2.1455906216860847,2.0833345458751134,2.105258171348911,2.184885745511002,2.228459651372019,
58,20160329.0,1.8,1.8,1.8,1.8,700.0,1.9754598404261288,2.0303937477907232,2.03181917389782,2.064557081835723,2.1482299602242407,2.211657312102528,
59,20160323.0,1.6,1.6,1.7,1.6,2800.0,1.787729920213064,1.8869291651938156,1.9533065968254888,2.00261613759096,2.096017583060027,2.187670750843605,
60,20160322.0,1.8,1.8,1.8,1.8,300.0,1.7938649601065317,1.8579527767958768,1.9254326701299456,1.975600652578832,2.067825432292405,2.172467976300718,
61,20160321.0,1.6,1.6,1.6,1.6,200.0,1.696932480053266,1.771968517863918,1.8662630937426827,1.9255205655683203,2.0232706292169382,2.150018251739906,
62,20160318.0,1.4,1.4,1.4,1.4,500.0,1.5484662400266331,1.6479790119092783,1.781487985789468,1.855451156825878,1.963911521672468,2.120605771279517,
63,20160317.0,1.6,1.8,1.8,1.6,3100.0,1.5742331200133166,1.6319860079395188,1.7484901701913829,1.8213910025824276,1.929253281513185,2.1001898586803205,
64,20160316.0,1.6,1.6,1.6,1.6,5500.0,1.5871165600066586,1.6213240052930125,1.7214919574293133,1.791872202238104,1.8978958261309768,2.0805745701046217,
65,20160315.0,1.4,1.4,1.4,1.4,100.0,1.4935582800033291,1.5475493368620084,1.6630388742603472,1.7396225752730234,1.8504771760232648,2.0538853712769893,
66,20160311.0,1.5,1.5,1.5,1.5,1000.0,1.4967791400016641,1.5316995579080055,1.6333954425766477,1.7076728985699536,1.8170983973543828,2.0321643763249506,
67,20160308.0,1.6,1.6,1.6,1.6,5000.0,1.548389570000832,1.5544663719386704,1.6273235439263483,1.6933165120939595,1.7964223595111077,2.015216753723972,
68,20160304.0,1.4,1.4,1.4,1.4,1000.0,1.474194785000416,1.5029775812924469,1.5859919904851938,1.654207643814765,1.7586678490814787,1.9910906065191103,
69,20160303.0,1.4,1.4,1.4,1.4,4000.0,1.4370973925002082,1.4686517208616314,1.5521752649424312,1.6203132913061296,1.7245090063118143,1.9679105827340473,
70,20160229.0,1.6,1.6,1.6,1.6,100.0,1.518548696250104,1.5124344805744208,1.5608706713165341,1.6176048524653122,1.7126510057106892,1.9534827167444768,
71,20160225.0,1.4,1.4,1.4,1.4,100.0,1.4592743481250523,1.4749563203829474,1.5316214583498917,1.5885908721366042,1.6828747194525284,1.931777512166262,
