,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,24.4,24.1,24.5,24.1,31900.0,,,,,,,
1,20180518.0,24.5,24.9,24.9,23.7,20750.0,24.46666666666667,,,,,,
2,20180517.0,24.9,24.8,25.0,23.7,10700.0,24.68333333333333,,,,,,
3,20180516.0,25.0,24.9,26.0,24.8,4290.0,24.84166666666667,24.660000000000007,,,,,
4,20180515.0,25.0,25.5,25.5,24.8,5060.0,24.92083333333333,24.77333333333334,,,,,
5,20180514.0,25.0,25.05,25.2,24.4,9140.0,24.960416666666667,24.84888888888889,,,,,
6,20180511.0,26.25,26.0,26.3,26.0,2840.0,25.60520833333333,25.315925925925928,,,,,
7,20180510.0,26.4,26.3,26.4,26.0,25950.0,26.00260416666666,25.677283950617284,,,,,
8,20180509.0,26.7,25.3,27.6,25.3,15580.0,26.35130208333333,26.01818930041152,25.265,,,,
9,20180508.0,26.1,25.95,26.8,25.3,5160.0,26.225651041666662,26.04545953360768,25.416818181818183,,,,
10,20180507.0,25.95,25.15,26.0,24.6,9260.0,26.08782552083333,26.013639689071788,25.513760330578513,,,,
11,20180504.0,24.3,26.0,26.3,24.2,169300.0,25.193912760416666,25.442426459381192,25.29307663410969,,,,
12,20180503.0,26.0,25.8,26.0,25.0,30930.0,25.596956380208326,25.628284306254123,25.421608155180657,25.357142857142854,,,
13,20180502.0,25.6,26.35,26.35,25.4,26240.0,25.598478190104167,25.618856204169415,25.4540430360569,25.38952380952381,,,
14,20180427.0,26.35,26.5,26.6,25.0,12760.0,25.974239095052084,25.862570802779608,25.616944302228372,25.517587301587294,,,
15,20180426.0,24.9,25.95,25.95,24.55,2530.0,25.43711954752604,25.54171386851974,25.486590792732308,25.43524232804233,,,
16,20180424.0,24.55,26.3,26.3,24.55,81280.0,24.99355977376302,25.211142579013163,25.31630155769007,25.31721001763669,,,
17,20180423.0,26.35,26.15,26.8,26.0,5550.0,25.671779886881502,25.59076171934211,25.50424672901915,25.45491534861846,,,
18,20180420.0,26.15,26.5,26.5,25.3,4380.0,25.91088994344075,25.77717447956141,25.621656414652037,25.547593302136004,25.445,,
19,20180419.0,26.0,26.0,26.0,26.0,620.0,25.95544497172037,25.851449653040937,25.690446157442565,25.607914195184527,25.497857142857146,,
20,20180418.0,27.2,27.2,27.2,27.2,20.0,26.57772248586019,26.300966435360625,25.96491049245301,25.82019230249326,25.659965986394564,,
21,20180417.0,25.5,26.9,27.4,25.5,114220.0,26.038861242930082,26.033977623573755,25.880381312007007,25.77749999549416,25.64473113054745,,
