,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,38.75,38.75,38.75,38.75,20.0,,,,,,,
1,20180518.0,36.25,36.25,36.25,36.25,10.0,38.81666666666666,,,,,,
2,20180517.0,33.9,33.9,33.9,33.9,10.0,36.35833333333333,,,,,,
3,20180510.0,34.0,36.15,36.15,34.0,70.0,35.17916666666667,36.87,,,,,
4,20180509.0,33.8,33.8,33.8,33.8,400.0,34.48958333333332,35.846666666666664,,,,,
5,20180504.0,31.6,31.6,31.6,31.6,20.0,33.04479166666667,34.43111111111111,,,,,
6,20180427.0,33.4,38.4,38.4,33.4,20.0,33.22239583333334,34.087407407407404,,,,,
7,20180426.0,35.9,38.55,41.2,35.9,5440.0,34.56119791666668,34.6916049382716,,,,,
8,20180424.0,38.55,38.55,38.55,38.55,110.0,36.55559895833333,35.9777366255144,35.76,,,,
9,20180423.0,36.05,36.05,36.05,34.05,850.0,36.302799479166666,36.0018244170096,35.81272727272727,,,,
10,20180420.0,33.7,33.7,33.7,33.7,10.0,35.001399739583334,35.23454961133974,35.42859504132232,,,,
11,20180418.0,31.5,31.55,31.55,31.5,1500.0,33.25069986979167,33.98969974089316,34.71430503380917,,,,
12,20180411.0,31.0,31.0,31.0,31.0,20.0,32.12534993489584,32.99313316059544,34.03897684584386,34.989285714285714,,,
13,20180409.0,31.0,31.0,31.0,31.0,10.0,31.562674967447922,32.32875544039696,33.486435601144976,34.45738095238095,,,
14,20180329.0,30.0,30.0,30.0,30.0,30.0,30.781337483723963,31.55250362693131,32.852538219118614,33.86306349206349,,,
15,20180323.0,29.4,29.4,29.4,29.4,10.0,30.09066874186198,30.8350024179542,32.224803997460675,33.26798835978836,,,
16,20180320.0,30.1,30.1,33.25,30.1,30.0,30.095334370930996,30.590001611969466,31.838475997922373,32.84558991181657,,,
17,20180315.0,31.1,31.1,31.1,31.1,10.0,30.597667185465497,30.76000107464632,31.704207634663764,32.61284459024103,,,
18,20180228.0,32.5,32.5,32.5,32.5,10.0,31.54883359273275,31.340000716430875,31.848897155633992,32.59779864487556,33.6975,,
19,20180223.0,32.5,32.5,32.5,32.5,10.0,32.024416796366374,31.726667144287244,31.96727949097326,32.58475882555882,33.58345238095238,,
20,20180213.0,31.9,31.9,31.9,31.9,10.0,31.96220839818318,31.78444476285817,31.95504685625085,32.49345764881765,33.423123582766436,,
21,20180212.0,34.1,34.1,34.1,34.1,10.0,33.031104199091594,32.55629650857211,32.34503833693251,32.70766329564196,33.48758800345535,,
22,20180130.0,36.3,41.7,41.7,36.3,20.0,34.66555209954579,33.8041976723814,33.06412227567205,33.18664152288969,33.75543676503103,,
23,20180129.0,39.0,39.0,39.0,39.0,420.0,36.832776049772896,35.536131781587606,34.14337277100441,33.9617559865044,34.25491897788522,,
24,20180125.0,36.45,36.45,36.45,36.45,130.0,36.64138802488645,35.84075452105841,34.5627595399127,34.293521854970486,34.46397431332473,,
25,20180122.0,34.1,32.6,36.4,32.6,30.0,35.370694012443224,35.26050301403894,34.47862144174676,34.267718940974405,34.42931009300808,,
26,20180119.0,34.05,37.7,37.75,34.05,70.0,34.7103470062216,34.85700200935929,34.40069027052008,34.23868974884449,34.3931853222454,,
27,20180118.0,35.3,35.3,35.3,30.7,190.0,35.005173503110804,35.00466800623953,34.56420113042552,34.38019778233189,34.47954862488869,,
28,20180116.0,33.0,33.0,33.0,33.0,10.0,34.0025867515554,34.33644533749302,34.27980092489361,34.19617141135431,34.33863923204215,,
29,20180115.0,34.75,35.0,35.0,34.75,80.0,34.3762933757777,34.47429689166201,34.36529166582204,34.27001522317373,34.37781644803813,,
30,20180110.0,37.35,37.35,37.35,37.35,230.0,35.86314668788884,35.43286459444134,34.907965908399845,34.6806798600839,34.66088154822497,,
31,20180105.0,34.95,34.95,34.95,34.95,210.0,35.40657334394444,35.27190972962756,34.915608470508964,34.71658921207271,34.688416638870216,,
32,20180103.0,32.7,32.7,32.7,32.7,10.0,34.05328667197222,34.41460648641837,34.51277056678007,34.447710650463016,34.49904362564448,,
33,20180102.0,33.9,33.9,33.9,33.9,10.0,33.97664333598611,34.24307099094559,34.40135773645642,34.374682563734616,34.44199185177357,,
34,20171226.0,36.2,37.8,38.0,36.2,130.0,35.08832166799306,34.89538066063039,34.728383602555255,34.618058221903325,34.60942119922372,,
35,20171215.0,38.8,38.8,38.8,35.5,50.0,36.944160833996534,36.19692044042026,35.46867749299975,35.17565045898289,35.008523942154795,,
36,20171212.0,36.3,36.3,41.6,36.3,160.0,36.62208041699826,36.2312802936135,35.61982703972707,35.32556373111849,35.13152166194958,,
37,20171211.0,39.0,39.0,39.0,39.0,500.0,37.81104020849913,37.154186862409,36.23440394159488,35.815488566969364,35.49994817033533,,
38,20171207.0,38.5,38.5,38.5,35.3,150.0,38.15552010424956,37.602791241606006,36.64633049766854,36.17342342470678,35.785667392208154,,
39,20171206.0,36.0,37.9,38.0,33.3,60.0,37.07776005212479,37.068527494404,36.5288158617288,36.15030030141254,35.806080021521666,,
40,20171205.0,35.55,31.1,35.55,31.0,810.0,36.31388002606239,36.562351662936,36.350849341414474,36.070260261224206,35.781691448043404,,
41,20171204.0,33.25,37.55,37.55,33.25,210.0,34.7819400130312,35.45823444195734,35.78705855206639,35.69422555972765,35.54057797680118,,
42,20171201.0,35.1,35.1,38.9,35.1,170.0,34.9409700065156,35.33882296130489,35.66213881532705,35.614995485097296,35.49861816948678,,
43,20171130.0,36.4,36.3,41.7,36.3,50.0,35.670485003257795,35.69254864086992,35.79629539435849,35.71966275375099,35.58446405810709,,
44,20171129.0,39.0,44.4,44.4,38.7,1500.0,37.3352425016289,36.79503242724662,36.378787140838774,36.15704105325086,35.90975319543021,,
45,20171128.0,41.5,46.0,46.85,41.5,22800.0,39.41762125081445,38.363354951497755,37.30991675159535,36.86943557948408,36.44215765300829,,
46,20171127.0,43.8,41.95,43.8,38.1,1550.0,41.608810625407216,40.17556996766516,38.489931887668924,37.79351083555287,37.14290454319798,,
47,20171124.0,41.95,44.8,44.85,41.95,23010.0,41.77940531270362,40.767046645110106,39.11903518082003,38.34770939081248,37.600723158131515,,
48,20171123.0,41.95,40.0,41.95,36.55,6500.0,41.86470265635181,41.161364430073405,39.63375605703457,38.82801480537081,38.01494000021422,35.352,
49,20171122.0,39.25,39.25,39.25,39.25,150.0,40.557351328175905,40.52424295338227,39.56398222848282,38.88427949798805,38.132564762098575,35.504862745098045,
50,20171121.0,36.7,36.7,36.7,36.7,10.0,38.62867566408795,39.24949530225485,39.04325818694049,38.593042231589635,37.9961300228511,35.551730872741246,
51,20171120.0,34.3,34.2,34.3,34.2,25020.0,36.46433783204397,37.59966353483657,38.180847607496766,38.02063660071103,37.64411763972242,35.50264338753571,
52,20171117.0,32.1,32.1,32.1,32.1,200.0,34.28216891602199,35.76644235655771,37.07523895158826,37.23121838728289,37.11610643593934,35.36920639194608,
53,20171114.0,30.0,30.1,30.1,30.0,40.0,32.141084458010994,33.84429490437181,35.78883186948132,36.267055935645175,36.438382013468924,35.15864927853643,
54,20171109.0,29.6,29.6,29.6,29.6,10.0,30.870542229005498,32.42952993624788,34.663589711393804,35.3781151442258,35.787107535995695,34.940663032319314,
55,20171108.0,30.1,30.1,30.1,30.1,10.0,30.48527111450275,31.653019957498586,33.833846127504025,34.67436645832903,35.24547824685324,34.75083310948326,
56,20171107.0,30.3,30.3,30.3,30.3,10.0,30.392635557251374,31.202013304999053,33.19132864977601,34.09111759721849,34.77448031858151,34.57629063460156,
57,20171025.0,31.6,31.6,31.6,31.6,10.0,30.99631777862569,31.33467553666604,32.90199616799856,33.758968584256024,34.472148859668984,34.45957335481326,
58,20171023.0,33.0,33.0,33.0,33.0,500.0,31.998158889312844,31.889783691110686,32.91981504654428,33.65777277302189,34.331944206367176,34.402335184036275,
59,20171020.0,33.0,33.0,33.0,33.0,500.0,32.499079444656424,32.2598557940738,32.934394128990775,33.57006973661897,34.20509237718935,34.347341647407404,
60,20171019.0,33.0,34.3,34.3,33.0,2120.0,32.74953972232821,32.50657052938253,32.94632246917426,33.4940604384031,34.090321674599885,34.29450472005809,
61,20171018.0,34.3,34.3,34.3,34.3,10.0,33.5247698611641,33.10438035292169,33.19244565659713,33.60151904661601,34.11029103892371,34.29472022123228,
62,20171012.0,36.6,41.8,41.8,36.6,260.0,35.062384930582056,34.26958690194779,33.81200099176129,34.001316507067216,34.34740617807383,34.3851233498114,
63,20171011.0,39.1,39.1,40.5,39.1,70.0,37.08119246529102,35.87972460129853,34.773455356895596,34.68114097279159,34.80003416111442,34.57002047334821,
64,20171010.0,39.1,39.1,40.5,39.1,70.0,38.09059623264551,36.953149734199016,35.56009983746004,35.27032217641938,35.209554717198756,34.74766672929535,
65,20171006.0,40.05,42.85,42.85,40.05,450.0,39.07029811632275,37.98543315613268,36.37644532155821,35.90761255289679,35.67054950603697,34.9556013673622,
66,20171005.0,40.05,40.05,40.05,37.5,3520.0,39.56014905816137,38.673622104088444,37.04436435400217,36.459930879177215,36.08764002927155,35.155381705897014,
67,20171004.0,37.45,37.45,37.45,37.45,1200.0,38.505074529080694,38.26574806939231,37.11811628963814,36.591940095286915,36.217388597912354,35.24536673703831,
68,20171003.0,35.0,35.0,35.0,35.0,10000.0,36.75253726454034,37.177165379594875,36.733004236976655,36.379681415915336,36.10144682668261,35.23574451205641,
69,20171002.0,34.75,34.75,34.75,34.75,600.0,35.75126863227017,36.368110253063236,36.37245801207182,36.162390560459954,35.97273760509378,35.21669570766205,
70,20170928.0,34.75,34.75,34.75,34.75,10.0,35.250634316135084,35.828740168708826,36.077465646240576,35.974071819065294,35.85628640460866,35.19839391520471,
71,20170831.0,32.5,32.5,32.5,32.5,10.0,33.875317158067546,34.71916011247255,35.42701734692411,35.51086224318992,35.536640080360215,35.092574545981,
