,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,98.4,99.8,99.8,94.1,280.0,,,,,,,
1,20180518.0,99.8,98.9,100.0,92.1,310.0,99.33333333333333,,,,,,
2,20180517.0,94.9,95.0,99.2,91.7,1040.0,97.11666666666667,,,,,,
3,20180516.0,98.6,98.6,100.0,98.6,1290.0,97.85833333333332,98.3,,,,,
4,20180515.0,96.0,96.8,96.8,95.7,170.0,96.92916666666667,97.53333333333333,,,,,
5,20180514.0,94.3,98.7,98.7,94.3,200.0,95.61458333333336,96.45555555555556,,,,,
6,20180511.0,96.0,98.0,98.8,94.0,60.0,95.80729166666667,96.30370370370369,,,,,
7,20180510.0,95.0,96.9,100.0,95.0,260.0,95.40364583333336,95.86913580246913,,,,,
8,20180509.0,95.0,96.9,96.9,90.0,250.0,95.2018229166667,95.57942386831276,96.78,,,,
9,20180508.0,95.0,95.0,97.0,95.0,410.0,95.10091145833333,95.38628257887517,96.45636363636365,,,,
10,20180507.0,95.0,97.0,97.0,94.0,710.0,95.05045572916671,95.2575217192501,96.19157024793388,,,,
11,20180504.0,97.0,97.0,97.0,93.1,140.0,96.02522786458334,95.8383478128334,96.33855747558226,,,,
12,20180503.0,97.0,94.5,97.0,94.5,90.0,96.51261393229169,96.2255652085556,96.45881975274912,96.55714285714286,,,
13,20180502.0,95.0,95.0,95.0,95.0,30.0,95.75630696614584,95.8170434723704,96.19357979770385,96.34952380952382,,,
14,20180427.0,100.0,97.0,100.0,97.0,180.0,97.87815348307292,97.21136231491361,96.88565619812131,96.83625396825396,,,
15,20180424.0,97.2,95.0,97.2,95.0,190.0,97.53907674153646,97.20757487660909,96.94280961664474,96.88475343915343,,,
16,20180423.0,97.5,96.1,97.5,96.0,1280.0,97.51953837076825,97.30504991773938,97.04411695907295,96.96678631393297,,,
17,20180420.0,96.2,98.0,103.0,96.2,330.0,96.85976918538411,96.93669994515957,96.89064114833242,96.86454813874192,,,
18,20180419.0,97.0,96.1,97.0,96.1,20.0,96.92988459269206,96.95779996343971,96.91052457590833,96.88260838690964,96.73500000000003,,
19,20180418.0,98.0,96.9,98.0,96.9,640.0,97.46494229634605,97.30519997562651,97.10861101665229,97.03159393532168,96.85547619047618,,
20,20180417.0,104.0,96.9,104.0,96.9,230.0,100.732471148173,99.536799983751,98.3615908318064,97.96071474394546,97.53590702947847,,
21,20180416.0,104.0,97.9,104.3,97.9,150.0,102.36623557408653,101.02453332250066,99.38675613511434,98.76595277808607,98.15153493143288,,
22,20180413.0,97.5,97.5,98.7,95.0,3850.0,99.93311778704323,99.84968888166709,99.04370956509355,98.59715907434125,98.0894839855821,,
23,20180412.0,97.5,98.0,98.9,97.5,50.0,98.71655889352164,99.06645925444472,98.7630350987129,98.45087119776242,98.03334265362194,,
24,20180411.0,98.0,98.2,98.2,98.0,30.0,98.35827944676082,98.71097283629648,98.62430144440145,98.39075503806077,98.03016716280078,,
25,20180410.0,98.5,99.0,99.0,98.4,210.0,98.4291397233804,98.64064855753101,98.60170118178301,98.40532103298601,98.07491314729597,,
26,20180409.0,99.0,99.9,100.4,99.0,180.0,98.71456986169021,98.76043237168734,98.67411914873156,98.4846115619212,98.16301665707728,,
27,20180406.0,99.1,99.0,99.1,99.0,50.0,98.90728493084508,98.8736215811249,98.75155203078035,98.56666335366505,98.25225316592706,,
28,20180405.0,99.1,99.1,99.1,99.1,10.0,99.00364246542254,98.94908105408324,98.81490620700211,98.63777490650969,98.33299095964831,,
29,20180404.0,99.1,96.5,99.3,95.9,420.0,99.05182123271128,98.99938736938881,98.86674144209265,98.69940491897508,98.40603943968178,,
30,20180403.0,99.5,97.6,99.9,96.6,530.0,99.27591061635566,99.1662582462592,98.98187936171216,98.80615092977841,98.51022615971208,,
31,20180402.0,99.9,98.6,99.9,98.5,16540.0,99.5879553081778,99.41083883083948,99.1488103868554,98.9519974724746,98.64258557307284,,
32,20180330.0,98.5,100.0,100.0,95.9,420.0,99.04397765408888,99.1072258872263,99.03084486197261,98.89173114281131,98.62900599468499,,
33,20180329.0,100.3,100.9,100.9,98.0,750.0,99.67198882704446,99.50481725815088,99.26160034161394,99.07950032376984,98.78814828090545,,
34,20180328.0,97.8,101.9,101.9,97.8,80.0,98.73599441352225,98.93654483876723,98.99585482495687,98.9089002806005,98.6940389208192,,
35,20180327.0,97.9,97.8,97.9,97.6,3150.0,98.3179972067611,98.5910298925115,98.79660849314652,98.77438024318712,98.61841616645548,,
36,20180326.0,97.9,100.5,100.5,97.9,70.0,98.10899860338056,98.36068659500766,98.63358876711987,98.65779621076216,98.54999557917401,,
37,20180323.0,97.9,98.8,98.8,97.9,350.0,98.00449930169026,98.20712439667176,98.50020899127989,98.55675671599388,98.48809123830029,,
38,20180322.0,100.5,100.5,100.5,100.5,250.0,99.25224965084512,98.97141626444784,98.86380735650174,98.815855820528,98.67970159655741,,
39,20180321.0,100.5,101.9,101.9,96.0,2900.0,99.87612482542258,99.48094417629856,99.16129692804688,99.04040837779091,98.85306334926622,,
40,20180320.0,100.9,96.2,100.9,96.2,810.0,100.38806241271128,99.95396278419904,99.47742475931108,99.2883539274188,99.04800969695515,,
41,20180319.0,99.9,99.9,99.9,97.1,1210.0,100.14403120635566,99.93597518946605,99.55425662125452,99.36990673709631,99.12915163057846,,
42,20180316.0,101.0,100.0,101.0,100.0,410.0,100.57201560317779,100.29065012631068,99.81711905375371,99.58725250548345,99.30732766576146,,
43,20180315.0,101.5,95.0,101.9,95.0,330.0,101.0360078015889,100.69376675087379,100.12309740761667,99.84228550475234,99.51615360235559,,
44,20180314.0,101.9,97.3,101.9,97.3,230.0,101.46800390079443,101.09584450058254,100.4461706062318,100.11664743745203,99.74318659260744,,
45,20180313.0,100.4,100.8,100.8,97.1,880.0,100.93400195039725,100.86389633372168,100.43777595055329,100.1544277791251,99.80574025045439,,
46,20180312.0,100.8,101.0,101.0,100.8,13010.0,100.8670009751986,100.84259755581442,100.50363486863452,100.24050407524177,99.900431655173,,
47,20180309.0,101.4,101.0,101.4,97.0,270.0,101.13350048759929,101.02839837054296,100.6666103470646,100.3951035318762,100.04324768801366,,
48,20180308.0,101.7,98.0,101.7,95.0,1410.0,101.41675024379965,101.25226558036196,100.85449937487105,100.56908972762605,100.20103362248857,98.57399999999997,
49,20180307.0,101.8,98.4,101.9,98.4,110.0,101.60837512189983,101.4348437202413,101.02640857943993,100.73321109727588,100.35331613463248,98.70050980392153,
50,20180305.0,102.0,102.8,102.8,98.0,1140.0,101.80418756094991,101.62322914682753,101.20342520135993,100.90211628430576,100.5101431694294,98.82990157631679,
51,20180302.0,102.0,101.0,102.9,100.0,220.0,101.90209378047496,101.74881943121837,101.34825698293086,101.04850077973168,100.6520342961504,98.95421916155927,
52,20180301.0,100.0,100.0,101.9,100.0,290.0,100.95104689023746,101.16587962081226,101.1031193496707,100.90870067576745,100.58993579175512,98.99523017483145,
53,20180228.0,101.9,102.9,102.9,100.0,140.0,101.42552344511873,101.41058641387484,101.24800674063967,101.04087391899843,100.71470381158797,99.10914271699492,
54,20180227.0,100.0,100.0,100.0,99.9,220.0,100.71276172255936,100.94039094258322,101.02109642415972,100.90209072979866,100.64663678191293,99.14407829672061,
55,20180226.0,103.9,98.1,103.9,98.1,730.0,102.30638086127968,101.92692729505549,101.54453343794887,101.30181196582551,100.95648089792121,99.33058503018255,
56,20180223.0,101.0,100.9,101.0,100.9,20.0,101.65319043063985,101.61795153003699,101.4455273583218,101.26157037038209,100.96062557430965,99.39605228390089,
57,20180222.0,100.9,103.3,103.5,98.0,5880.0,101.27659521531993,101.37863435335801,101.34634056589965,101.21336098766449,100.9548517100897,99.45503062570867,
58,20180221.0,103.9,101.2,104.0,98.9,5150.0,102.58829760765997,102.21908956890532,101.81064228119062,101.57157952264257,101.2353420234145,99.62934315019072,
59,20180213.0,101.2,101.4,101.4,101.2,170.0,101.89414880382995,101.87939304593688,101.69961641188324,101.5220355862902,101.23197611642264,99.69093753645772,
60,20180212.0,99.8,98.0,103.5,98.0,160.0,100.84707440191501,101.18626203062462,101.35423160972263,101.29243084145153,101.09559743866808,99.69521449581232,
61,20180209.0,98.0,96.0,98.4,96.0,310.0,99.42353720095747,100.12417468708303,100.74437131704579,100.85344006259133,100.80077863498542,99.62873549597657,
62,20180208.0,100.0,101.9,101.9,100.0,310.0,99.71176860047875,100.08278312472204,100.60903107758291,100.73964805424579,100.72451400308206,99.6432948882912,
63,20180207.0,100.9,93.3,102.3,93.3,490.0,100.30588430023936,100.3551887498147,100.6619345180224,100.76102831367969,100.74122695516947,99.69257744169153,
64,20180206.0,98.8,90.3,99.4,90.3,10700.0,99.55294215011966,99.83679249987648,100.32340096929103,100.49955787185574,100.55634819753428,99.65757440476244,
65,20180205.0,97.0,99.0,99.0,96.0,310.0,98.27647107505985,98.89119499991763,99.71914624760177,100.0329501556083,100.21764836919769,99.5533558006541,
66,20180202.0,99.0,98.0,99.7,97.5,680.0,98.63823553752992,98.92746333327841,99.58839238440143,99.89522346819386,100.10168185784552,99.53165557317752,
67,20180201.0,97.0,101.0,102.8,97.0,890.0,97.81911776876495,98.28497555551895,99.11777558723752,99.50919367243469,99.80628358566976,99.43237496246464,
68,20180131.0,100.0,100.0,100.0,100.0,140.0,98.90955888438248,98.85665037034596,99.2781800259216,99.57463451611005,99.82473276798693,99.45463476785824,
69,20180130.0,101.9,102.0,102.0,100.0,6330.0,100.40477944219123,99.8711002468973,99.75487456666313,99.88468324729536,100.0223772662739,99.55053144362849,
70,20180129.0,102.0,97.1,102.0,97.0,8520.0,101.2023897210956,100.58073349793153,100.16307919090622,100.16672548098931,100.21072228853352,99.64658903407442,
71,20180126.0,99.0,99.0,99.0,99.0,280.0,100.10119486054782,100.05382233195436,99.9516102471051,100.01116208352408,100.09541540391129,99.6212326013656,
72,20180125.0,103.0,103.0,104.4,98.0,540.0,101.55059743027392,101.03588155463623,100.5058629294496,100.40967380572089,100.37204250830067,99.75373328366503,
73,20180122.0,103.0,100.0,104.1,100.0,120.0,102.27529871513696,101.69058770309081,100.9593423968224,100.75505063162477,100.62232417417682,99.88103786077616,
74,20180119.0,104.4,103.0,104.4,103.0,200.0,103.33764935756848,102.5937251353939,101.58491650649103,101.24104388074144,100.98210282425522,100.05825206231437,
75,20180118.0,102.9,97.6,104.5,97.6,5140.0,103.11882467878425,102.69581675692926,101.82402259621996,101.46223802997592,101.16475969813568,100.16969315790989,
76,20180117.0,103.0,98.2,103.0,98.0,2150.0,103.05941233939213,102.79721117128616,102.03783666963453,101.66727295931248,101.33954448878944,100.28068558308989,
77,20180116.0,104.0,98.1,104.0,98.1,710.0,103.52970616969603,103.19814078085744,102.39459363879187,101.97830323140415,101.5929212041428,100.42654105041969,
78,20180115.0,104.0,103.5,104.0,102.5,3430.0,103.76485308484801,103.46542718723829,102.6864857044661,102.24786280055027,101.82216680374825,100.56667669550129,
79,20180112.0,103.5,103.0,103.5,103.0,27690.0,103.632426542424,103.47695145815887,102.83439739456317,102.41481442714355,101.98196044148652,100.6817089819522,
80,20180111.0,103.0,103.0,103.0,103.0,10220.0,103.316213271212,103.31796763877256,102.86450695918803,102.49283917019109,102.07891658991635,100.77262235520897,
81,20180110.0,103.0,101.0,103.0,100.0,21370.0,103.158106635606,103.21197842584839,102.88914205751749,102.5604606141656,102.16663881944817,100.85997049814195,
82,20180108.0,102.5,102.5,103.0,102.5,15240.0,102.829053317803,102.97465228389893,102.81838895615068,102.55239919894352,102.19838750331023,100.92428538056775,
83,20180105.0,102.5,102.0,102.5,102.0,4370.0,102.66452665890151,102.81643485593261,102.76050005503235,102.5454126390844,102.22711250299496,100.98607811074157,
84,20180104.0,102.5,102.0,103.0,102.0,4690.0,102.58226332945075,102.71095657062175,102.71313640866285,102.5393576205398,102.253101788424,101.04544759659484,
85,20180103.0,102.0,102.5,102.5,97.1,1630.0,102.29113166472537,102.47397104708115,102.58347524345139,102.46744327113448,102.22899685619315,101.08288102417936,
86,20180102.0,102.5,102.0,102.5,102.0,6430.0,102.39556583236269,102.48264736472076,102.56829792646023,102.47178416831656,102.25480667941287,101.1384543173488,
87,20171229.0,101.0,100.0,102.0,99.0,610.0,101.69778291618137,101.98843157648051,102.283152848922,102.27554627920767,102.13530128137354,101.13302473627628,
88,20171228.0,102.0,96.3,102.0,96.2,320.0,101.84889145809069,101.99228771765368,102.23167051275436,102.23880677531331,102.12241544505224,101.16702376622624,
89,20171227.0,102.0,102.0,102.0,100.0,1380.0,101.92444572904535,101.99485847843577,102.18954860134448,102.20696587193822,102.11075683123777,101.19968950088403,
90,20171226.0,102.9,100.0,102.9,100.0,600.0,102.41222286452269,102.29657231895719,102.31872158291822,102.29937042234643,102.18592284731037,101.26636834398663,
