,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,34.15,33.5,34.15,33.5,130.0,,,,,,,
1,20180518.0,33.5,33.6,33.6,33.5,170.0,33.416666666666664,,,,,,
2,20180517.0,34.9,35.0,35.0,33.0,6150.0,34.158333333333324,,,,,,
3,20180516.0,33.5,34.0,34.0,32.55,610.0,33.829166666666666,33.730000000000004,,,,,
4,20180515.0,34.0,33.1,34.0,33.0,4280.0,33.914583333333326,33.82,,,,,
5,20180514.0,33.0,32.9,33.0,31.5,10140.0,33.45729166666666,33.54666666666666,,,,,
6,20180511.0,31.5,31.5,32.2,31.5,6830.0,32.478645833333324,32.864444444444445,,,,,
7,20180510.0,30.5,31.9,31.9,30.0,11860.0,31.489322916666662,32.07629629629629,,,,,
8,20180509.0,30.0,29.5,31.7,29.5,5020.0,30.744661458333326,31.3841975308642,32.765,,,,
9,20180508.0,30.75,30.7,31.45,30.75,420.0,30.747330729166663,31.172798353909467,32.39863636363636,,,,
10,20180507.0,30.7,31.45,31.45,30.7,10350.0,30.72366536458333,31.01519890260631,32.089793388429754,,,,
11,20180504.0,31.45,31.3,31.45,31.3,620.0,31.08683268229166,31.16013260173754,31.973467317806158,,,,
12,20180503.0,30.0,29.8,31.8,29.8,24670.0,30.543416341145832,30.77342173449169,31.614655078205043,32.18214285714286,,,
13,20180502.0,32.0,31.8,32.5,32.0,10020.0,31.271708170572914,31.1822811563278,31.684717791258674,32.15785714285714,,,
14,20180427.0,31.8,31.0,31.8,31.0,880.0,31.53585408528646,31.388187437551867,31.705678192848,32.110142857142854,,,
15,20180426.0,31.0,33.0,33.0,31.0,20330.0,31.267927042643226,31.258791625034572,31.57737306687564,31.962123809523806,,,
16,20180424.0,31.9,33.5,33.5,31.9,11020.0,31.583963521321614,31.472527750023048,31.63603250926188,31.953840634920635,,,
17,20180423.0,31.9,31.9,33.0,31.9,1210.0,31.741981760660806,31.615018500015367,31.684026598486994,31.94666188359788,,,
18,20180420.0,34.1,34.15,34.15,31.8,19600.0,32.92099088033041,32.44334566667691,32.123294489671174,32.233773632451495,32.162499999999994,,
19,20180419.0,34.15,31.9,34.15,31.9,13410.0,33.53549544016521,33.012230444451276,32.49178640064005,32.489270481457964,32.35178571428571,,
