,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20151020.0,11.1,11.1,11.1,11.1,300.0,,,,,,,
1,20150706.0,13.0,13.0,13.0,13.0,500.0,10.7,,,,,,
2,20150525.0,12.2,12.2,12.2,12.2,300.0,11.45,,,,,,
3,20150417.0,14.2,14.2,14.2,14.2,3000.0,12.825,11.7,,,,,
4,20141114.0,11.9,11.9,11.9,11.9,100.0,12.3625,11.766666666666666,,,,,
5,20140926.0,13.2,13.2,13.2,13.2,34.0,12.78125,12.244444444444445,,,,,
6,20140925.0,13.2,13.2,13.2,13.2,42400.0,12.990625,12.56296296296296,,,,,
7,20140716.0,12.0,12.0,12.0,12.0,6000.0,12.4953125,12.375308641975309,,,,,
8,20131122.0,13.0,13.0,13.0,13.0,100.0,12.74765625,12.583539094650204,12.18,,,,
9,20130920.0,13.0,13.0,13.0,13.0,100.0,12.873828125,12.722359396433468,12.32909090909091,,,,
10,20130130.0,13.9,13.9,13.9,13.9,90500.0,13.386914062499999,13.114906264288978,12.614710743801652,,,,
11,20121214.0,13.9,13.9,13.9,13.9,25000.0,13.64345703125,13.376604176192652,12.84839969947408,,,,
12,20121102.0,23.1,23.1,23.1,23.1,25000.0,18.371728515624998,16.61773611746177,14.712327026842429,13.264285714285716,,,
13,20121017.0,23.1,23.1,23.1,23.1,600.0,20.735864257812498,18.778490744974516,16.23735847650744,14.575714285714287,,,
14,20120223.0,40.0,40.0,40.0,40.0,100.0,30.367932128906247,25.852327163316346,20.557838753506086,17.96561904761905,,,
15,20120221.0,37.0,37.0,37.0,37.0,100.0,33.683966064453124,29.568218108877563,23.547322616504978,20.50353650793651,,,
16,20120220.0,36.7,36.7,36.7,36.7,100.0,35.19198303222656,31.945478739251705,25.938718504413167,22.663064973544977,,,
17,20120216.0,33.4,33.4,33.4,33.4,100.0,34.295991516113276,32.43031915950113,27.295315139974406,24.094656310405647,,,
18,20120215.0,30.4,30.4,30.4,30.4,100.0,32.34799575805664,31.753546106334085,27.85980329634269,24.935368802351558,19.315,,
19,20120210.0,25.2,25.2,25.2,25.2,100.0,28.77399787902832,29.569030737556066,27.376202697007656,24.970652962038024,19.87547619047619,,
20,20111012.0,19.0,19.0,19.0,19.0,5300.0,23.886998939514157,26.046020491704038,25.853256752097177,24.174565900432953,19.792097505668927,,
21,20111004.0,19.3,19.3,19.3,19.3,4400.0,21.59349946975708,23.79734699446936,24.66175552444314,23.524623780375226,19.7452310765576,,
22,20110926.0,17.6,17.6,17.6,17.6,2200.0,19.596749734878543,21.731564662979572,23.37779997454439,22.734673942991858,19.540923354980688,,
23,20110921.0,16.0,16.0,16.0,16.0,5900.0,17.79837486743927,19.82104310865305,22.036381797354498,21.836717417259614,19.203692559268244,,
