,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,15.0,15.0,15.0,15.0,100.0,,,,,,,
1,20180517.0,15.0,15.0,15.0,15.0,700.0,15.0,,,,,,
2,20180516.0,15.0,15.0,15.0,15.0,200.0,15.0,,,,,,
3,20180515.0,16.5,16.5,16.5,16.5,100.0,15.75,15.3,,,,,
4,20180514.0,16.2,15.0,16.2,15.0,12363.0,15.975,15.6,,,,,
5,20180502.0,16.6,16.6,16.6,16.6,110.0,16.2875,15.933333333333332,,,,,
6,20180427.0,15.1,15.3,15.3,15.1,3200.0,15.69375,15.655555555555555,,,,,
7,20180426.0,16.7,16.7,16.7,16.7,100.0,16.196874999999995,16.003703703703707,,,,,
8,20180424.0,15.2,15.2,15.2,15.2,200.0,15.698437499999997,15.735802469135802,15.63,,,,
9,20180420.0,16.8,16.8,16.8,16.8,300.0,16.24921875,16.090534979423868,15.84272727272727,,,,
10,20180419.0,16.7,15.0,16.7,15.0,2425.0,16.474609375,16.29368998628258,15.99859504132231,,,,
11,20180417.0,15.5,15.5,15.7,15.3,1997.0,15.9873046875,16.02912665752172,15.90794139744553,,,,
12,20180416.0,16.7,16.6,16.7,16.6,1600.0,16.34365234375,16.252751105014475,16.05195205245543,15.857142857142854,,,
13,20180412.0,17.0,17.0,17.0,17.0,100.0,16.671826171875,16.50183407000965,16.224324406554445,16.00952380952381,,,
14,20180411.0,17.0,16.899999999999995,17.0,16.899999999999995,1500.0,16.8359130859375,16.667889380006436,16.365356332635454,16.1415873015873,,,
15,20180410.0,16.899999999999995,16.3,16.899999999999995,16.3,909.0,16.86795654296875,16.745259586670958,16.46256427215628,16.242708994708995,,,
16,20180409.0,17.2,17.2,17.2,17.2,1000.0,17.033978271484372,16.896839724447304,16.596643495400592,16.37034779541446,,,
17,20180406.0,18.3,16.7,18.3,16.7,2290.0,17.66698913574218,17.364559816298204,16.906344678055035,16.627634756025866,,,
18,20180405.0,18.3,18.3,18.3,18.3,98.0,17.98349456787109,17.676373210865467,17.159736554772294,16.85061678855575,16.335,,
19,20180404.0,18.3,18.3,18.3,18.3,6.0,18.141747283935544,17.884248807243647,17.36705718117733,17.043867883414983,16.522142857142853,,
20,20180403.0,18.3,18.3,18.3,18.3,502.0,18.22087364196777,18.022832538162437,17.536683148236,17.21135216562632,16.691462585034014,,
21,20180402.0,18.3,18.3,18.3,18.3,148.0,18.260436820983884,18.11522169210829,17.675468030374912,17.356505210209477,16.844656624554585,,
22,20180330.0,17.0,17.0,17.0,17.0,1000.0,17.63021841049194,17.74348112807219,17.552655661215837,17.308971182181548,16.859451231739857,,
23,20180328.0,18.3,18.3,18.3,18.3,30.0,17.96510920524597,17.928987418714797,17.68853645008568,17.441108357890673,16.99664635252654,,
24,20180326.0,18.3,18.3,18.3,18.3,100.0,18.13255460262299,18.0526582791432,17.799711640979197,17.55562724350525,17.120775271333535,,
25,20180323.0,18.0,18.4,18.4,18.0,8870.0,18.06627730131149,18.0351055194288,17.836127706255706,17.61487694437121,17.20451095977796,,
26,20180321.0,18.5,18.1,18.8,18.0,8220.0,18.283138650655747,18.190070346285868,17.95683175966376,17.732893351788388,17.327890868370535,,
27,20180320.0,19.7,19.3,19.8,19.3,18486.0,18.991569325327877,18.693380230857244,18.273771439724896,17.995174238216602,17.553806023763816,,
28,20180319.0,19.3,18.9,19.4,18.9,8838.0,19.14578466266393,18.89558682057149,18.460358450684,18.16915100645439,17.720110211976785,,
29,20180316.0,18.9,18.4,18.9,18.4,2120.0,19.022892331331967,18.897057880380995,18.54029327783237,18.266597538927137,17.832480667978995,,
30,20180315.0,18.6,19.0,19.0,17.899999999999995,700.0,18.811446165665984,18.798038586920665,18.551149045499205,18.31105120040352,17.90557774721909,,
31,20180313.0,19.2,19.2,19.2,19.2,30.0,19.005723082832993,18.932025724613776,18.669121946317535,18.42957770701638,18.02885605700775,,
32,20180312.0,19.2,19.5,19.5,19.2,1600.0,19.10286154141649,19.021350483075846,18.765645228805255,18.532300679414202,18.140393575387964,,
33,20180309.0,18.2,18.3,19.0,18.2,13200.0,18.65143077070824,18.74756698871723,18.66280064174976,18.48799392215897,18.146070377731967,,
34,20180308.0,18.5,19.6,19.6,18.5,2158.0,18.57571538535412,18.665044659144826,18.633200525067984,18.48959473253777,18.179777960805115,,
35,20180307.0,18.9,18.9,18.9,18.9,2000.0,18.73785769267706,18.74336310609655,18.681709520510168,18.544315434866075,18.24837053596653,,
36,20180306.0,19.6,19.6,19.6,19.6,8300.0,19.168928846338527,19.028908737397696,18.848671425871956,18.68507337688393,18.377097151588764,,
37,20180305.0,19.6,19.6,19.6,19.6,4000.0,19.384464423169263,19.219272491598463,18.985276621167966,18.807063593299404,18.493564089532686,,
38,20180302.0,19.6,22.5,23.5,19.6,6898.0,19.492232211584636,19.346181661065646,19.097044508228336,18.91278844752615,18.598938938148624,,
39,20180228.0,21.7,21.2,21.7,21.2,10100.0,20.59611610579232,20.130787774043764,19.570309143095912,19.284416654522662,18.89427808689637,,
40,20180222.0,23.5,23.5,23.5,23.5,600.0,22.04805805289616,21.253858516029172,20.284798389805747,19.84649443391964,19.33291826909672,,
41,20180221.0,23.5,22.5,23.5,22.5,300.0,22.77402902644808,22.00257234401945,20.86938050075016,20.333628509397023,19.72978319584941,,
42,20180209.0,22.0,21.0,22.0,21.0,300.0,22.387014513224038,22.001714896012967,21.074947682431947,20.555811374810755,19.945994320054233,,
43,20180207.0,20.4,20.0,21.0,20.0,1200.0,21.393507256612015,21.467809930675312,20.952229921989776,20.535036524835988,19.989232956239544,,
44,20180205.0,20.5,19.8,20.5,19.8,300.0,20.94675362830601,21.145206620450207,20.870006299809816,20.530364988191188,20.03787743659768,,
45,20180202.0,19.4,19.4,19.4,19.4,100.0,20.173376814153,20.563471080300136,20.60273242711712,20.379649656432363,19.97712720454076,,
46,20180201.0,18.9,19.5,19.5,18.0,2020.0,19.5366884070765,20.00898072020009,20.293144713095828,20.182363035574717,19.874543661251163,,
47,20180131.0,18.5,18.5,18.5,18.5,700.0,19.018344203538245,19.505987146800056,19.96711840162386,19.958047964164752,19.743634741132002,,
48,20180130.0,20.5,19.8,20.5,19.8,700.0,19.759172101769124,19.837324764533374,20.064005964964977,20.030308235609454,19.81566952769086,18.198000000000004,
49,20180126.0,19.4,17.6,19.4,17.6,3660.0,19.57958605088456,19.691549843022248,19.94327760769862,19.946267137528192,19.776081953625063,18.245137254901966,
50,20180125.0,18.6,18.9,19.0,18.1,20500.0,19.089793025442283,19.327699895348164,19.699045315389775,19.76676485252443,19.66407414851792,18.25905344098424,
51,20180124.0,18.8,18.7,19.5,18.7,400.0,18.944896512721147,19.15179993023211,19.535582530773453,19.63786287218784,19.581781372468594,18.28026703153388,
52,20180123.0,18.8,18.4,18.8,18.4,700.0,18.87244825636057,19.034533286821407,19.401840252451006,19.5261478225628,19.50732600366206,18.300648716571768,
53,20180122.0,18.0,18.1,18.1,18.0,3900.0,18.436224128180285,18.689688857880935,19.146960206550823,19.322661446221087,19.363771146170436,18.28885857082385,
54,20180118.0,18.1,18.1,18.1,18.1,78.0,18.268112064090143,18.493125905253958,18.956603805359762,19.15963992005828,19.243411989392296,18.281452352360166,
55,20180117.0,18.1,17.5,18.1,17.5,6200.0,18.18405603204507,18.36208393683597,18.80085765893072,19.01835459738384,19.134515609450176,18.274336573836244,
56,20180116.0,18.3,18.3,18.3,17.5,3000.0,18.242028016022534,18.341389291223983,18.709792630034222,18.922573984399328,19.05503793235968,18.275342982705407,
57,20180115.0,18.3,17.5,18.3,17.5,400.0,18.27101400801127,18.327592860815994,18.63528487911891,18.839564119812753,18.983129557849235,18.276309924560096,
58,20180112.0,18.0,17.5,18.0,17.5,5500.0,18.135507004005635,18.218395240543998,18.51977853746093,18.727622237171047,18.889498171387398,18.265474241244014,
59,20180110.0,18.4,18.0,18.4,18.0,200.0,18.267753502002815,18.278930160362663,18.49800062155894,18.68393927221491,18.842879297921932,18.270749761195237,
60,20180109.0,18.1,19.0,19.0,17.5,3700.0,18.183876751001407,18.21928677357511,18.425636872184583,18.606080702586254,18.77212888859604,18.264053692128755,
61,20180108.0,17.7,19.0,19.0,17.7,5000.0,17.941938375500705,18.046191182383406,18.29370289542375,18.485269942241416,18.67002137539641,18.241933939496256,
62,20180105.0,19.5,19.5,19.5,19.5,100.0,18.720969187750352,18.530794121588933,18.513029641710343,18.620567283275896,18.749066958691998,18.29126986343758,
63,20180104.0,18.5,18.5,18.5,18.5,1000.0,18.610484593875174,18.520529414392623,18.510660615944825,18.604491645505774,18.725346295959422,18.29945535898905,
64,20180103.0,18.8,18.0,19.0,17.7,5200.0,18.705242296937595,18.613686276261745,18.563267776682128,18.63055942610501,18.732456172534718,18.319084560597318,
65,20180102.0,18.0,18.0,18.0,18.0,10000.0,18.352621148468796,18.409124184174495,18.460855453649017,18.546484835957678,18.662698441817124,18.30657144057389,
66,20171228.0,19.2,19.4,19.4,18.0,18600.0,18.7763105742344,18.672749456116325,18.595245371167376,18.63362019116332,18.713870018786917,18.341607854669036,
67,20171227.0,18.0,20.6,20.9,18.0,364100.0,18.3881552871172,18.448499637410887,18.487018940046035,18.549137499008207,18.645882397950075,18.328211468211425,
68,20171226.0,19.0,18.2,19.0,18.0,71000.0,18.694077643558597,18.632333091607258,18.580288223674028,18.609252499140446,18.67960788385959,18.35455611651686,
69,20171225.0,18.2,18.8,18.8,18.2,23100.0,18.447038821779298,18.488222061071504,18.51114491027875,18.554685499255054,18.633930942539628,18.34849509233973,
70,20171222.0,18.8,18.0,18.9,18.0,46100.0,18.62351941088965,18.59214804071433,18.5636640175008,18.58739409935438,18.64974704325014,18.36620116714993,
71,20171221.0,18.0,18.2,18.8,18.0,80500.0,18.311759705444825,18.394765360476224,18.46117965068247,18.50907488610713,18.58786637246441,18.351840337065624,
72,20171220.0,18.0,18.0,18.4,18.0,7700.0,18.155879852722414,18.263176906984146,18.37732880510384,18.441198234626174,18.531879098896372,18.338042676788536,
73,20171214.0,18.0,18.1,18.1,17.5,12100.0,18.07793992636121,18.175451271322768,18.308723567812237,18.38237180334269,18.481223946620528,18.324786101228206,
74,20171212.0,18.1,18.1,18.1,18.1,40.0,18.088969963180602,18.15030084754851,18.27077382821001,18.344722229563665,18.444916904085243,18.31597096000357,
75,20171207.0,18.1,18.1,18.1,18.1,300.0,18.094484981590302,18.133533898365677,18.239724041262736,18.31209259895517,18.412067675124742,18.307501510591663,
76,20171204.0,18.1,18.2,18.2,18.1,4400.0,18.097242490795153,18.122355932243778,18.214319670124052,18.283813585761152,18.38234694416048,18.299364196450817,
77,20171201.0,18.5,18.5,18.5,18.5,100.0,18.298621245397573,18.24823728816252,18.26626154828332,18.312638440993,18.393551997097575,18.307232267178236,
78,20171130.0,17.8,17.0,17.8,17.0,1720.0,18.04931062269879,18.09882485877501,18.181486721322717,18.2442866488606,18.337023235469243,18.287340805720262,
79,20171129.0,16.2,16.5,16.5,16.2,700.0,17.124655311349393,17.46588323918334,17.821216408354946,17.971715095679183,18.1334972130436,18.20548430353516,
80,20171128.0,18.0,16.8,18.0,16.8,1200.0,17.562327655674693,17.64392215945556,17.853722515926773,17.975486416255293,18.120783192753727,18.197426095553382,
81,20171127.0,18.6,17.899999999999995,18.6,17.899999999999995,1400.0,18.08116382783735,17.962614772970372,17.989409331212816,18.05875489408792,18.166422888681947,18.213213307492474,
82,20171120.0,18.6,17.899999999999995,18.6,17.899999999999995,410.0,18.340581913918683,18.17507651531358,18.100425816446847,18.13092090820953,18.207715946902717,18.228381413081,
83,20171117.0,18.7,18.7,18.7,18.7,100.0,18.520290956959332,18.350051010209054,18.209439304365606,18.206798120448262,18.254600142435788,18.24687625962684,
84,20171116.0,18.5,18.0,18.6,18.0,300.0,18.510145478479668,18.400034006806035,18.26226852175368,18.245891704388495,18.2779715574419,18.256802680817945,
85,20171115.0,18.4,18.7,18.7,17.6,814.0,18.455072739239835,18.400022671204027,18.287310608707557,18.266439477136696,18.289593313876004,18.262418261962335,
86,20171114.0,17.6,17.8,17.8,17.6,1250.0,18.02753636961992,18.13334844746935,18.162345043488,18.177580880185136,18.223917760173528,18.23644107521872,
87,20171113.0,18.4,18.7,18.7,18.4,5100.0,18.213768184809958,18.222232298312896,18.20555503558109,18.20723676282712,18.240687497299856,18.242855150700336,
88,20171110.0,18.5,18.0,18.5,18.0,1500.0,18.356884092404975,18.3148215322086,18.259090483657253,18.246271861116835,18.265383926128443,18.252939262437575,
89,20171109.0,18.7,18.7,18.7,18.7,423.0,18.52844204620249,18.44321435480573,18.339255850265026,18.306768946301254,18.306775933163834,18.270471056067482,
90,20171108.0,18.3,18.0,18.3,18.0,15100.0,18.414221023101245,18.39547623653716,18.33211842294412,18.30586642012776,18.306130606195847,18.271629053868754,
91,20171107.0,18.5,18.0,18.7,18.0,10800.0,18.457110511550624,18.430317491024766,18.362642346045185,18.331750897444056,18.32459435798672,18.28058477724645,
92,20171106.0,18.0,18.6,18.6,17.5,16450.0,18.228555255775312,18.28687832734985,18.296707374036966,18.28751744445152,18.293680609607026,18.26958145264855,
93,20171103.0,18.0,18.0,18.0,17.6,700.0,18.114277627887656,18.19125221823323,18.24276057875752,18.249181785191315,18.265711027739695,18.259009630976056,
94,20171102.0,18.4,18.3,18.4,18.3,3800.0,18.257138813943826,18.260834812155487,18.27134956443797,18.269290880499135,18.27850045366925,18.264538665055422,
95,20171101.0,18.6,17.7,18.6,17.0,1000.0,18.428569406971917,18.373889874770324,18.331104189085615,18.31338542976592,18.309119458081703,18.27769401152384,
96,20171031.0,18.7,18.7,18.7,18.7,500.0,18.56428470348596,18.48259324984688,18.398176154706405,18.364934039130464,18.346346176359635,18.29425503067977,
97,20171030.0,18.7,18.0,18.7,18.0,2100.0,18.632142351742974,18.55506216656459,18.453053217487067,18.40960950057973,18.380027492896808,18.31016659810409,
98,20171027.0,18.7,17.6,18.7,17.6,200.0,18.666071175871487,18.603374777709725,18.49795263248941,18.44832823383577,18.41050106500188,18.325454182492162,
99,20171026.0,18.8,18.8,18.8,18.8,100.0,18.733035587935746,18.668916518473154,18.55287033567316,18.495217802657663,18.447596201668365,18.344063822394435,
100,20171025.0,18.8,18.8,18.8,18.8,50.0,18.76651779396787,18.71261101231544,18.597803001914404,18.535855428969978,18.48115846817614,18.36194367249661,
101,20171024.0,18.8,18.8,18.8,18.0,1200.0,18.783258896983934,18.74174067487696,18.63456609247542,18.571074705107314,18.51152432834984,18.379122352006554,
102,20171023.0,18.6,18.3,18.8,18.0,7200.0,18.69162944849197,18.694493783251303,18.628281348388978,18.574931411093004,18.51995058279272,18.387784220555314,
103,20171017.0,18.4,18.4,18.4,18.4,30.0,18.545814724245982,18.596329188834204,18.58677564868189,18.551607222947272,18.508526717764838,18.388263270729617,
104,20171016.0,18.4,18.0,18.4,18.0,5500.0,18.472907362122992,18.530886125889474,18.55281643983064,18.531392926554304,18.498190839882472,18.388723534622574,
105,20171013.0,18.4,18.4,18.4,18.4,2000.0,18.43645368106149,18.487257417259645,18.525031632588703,18.513873869680396,18.488839331322236,18.3891657489511,
106,20171012.0,18.7,18.7,18.7,18.7,100.0,18.56822684053075,18.55817161150643,18.55684406302712,18.538690687056338,18.508949871196307,18.4013553274236,
107,20171011.0,18.8,18.8,18.8,18.8,1000.0,18.684113420265376,18.638781074337626,18.601054233385828,18.573531928782163,18.53666893108237,18.416988451838368,
108,20171009.0,18.9,18.1,18.9,18.0,2100.0,18.792056710132687,18.725854049558414,18.655408009133858,18.617061004944546,18.57127189002691,18.435930081178043,
109,20171006.0,18.9,18.9,18.9,18.9,10000.0,18.84602835506634,18.783902699705607,18.699879280200427,18.654786204285266,18.602579329071965,18.454128901524,
110,20171005.0,18.9,18.0,18.9,18.0,8200.0,18.873014177533168,18.82260179980374,18.736264865618526,18.687481377047234,18.630905107255582,18.471614042640702,
111,20171004.0,18.9,18.0,18.9,18.0,21000.0,18.886507088766585,18.84840119986916,18.76603489005152,18.715817193440934,18.656533192278864,18.48841349194891,
112,20171003.0,18.4,18.0,18.5,18.0,530.0,18.64325354438329,18.698934133246105,18.699483091860337,18.67370823431548,18.63210145968088,18.48494629618621,
113,20171002.0,18.5,18.5,18.5,18.5,220.0,18.571626772191646,18.632622755497405,18.663213438794816,18.65054713640675,18.619520368282693,18.48553663751224,
114,20170929.0,18.5,18.1,18.5,18.1,200.0,18.535813386095825,18.588415170331604,18.63353826810485,18.63047418488585,18.608137476065295,18.48610382819804,
