,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180131.0,5.5,5.5,5.5,5.5,300.0,,,,,,,
1,20180111.0,6.4,7.0,7.0,6.4,14700.0,6.5,,,,,,
2,20180109.0,7.5,7.5,7.5,7.5,100.0,7.0,,,,,,
3,20180105.0,8.0,8.0,8.0,8.0,100.0,7.5,7.0,,,,,
4,20171206.0,9.4,9.4,9.4,9.4,500.0,8.449999999999998,7.8,,,,,
5,20171201.0,8.3,8.3,8.3,8.3,100.0,8.375,7.966666666666666,,,,,
6,20171121.0,9.7,9.7,9.7,9.7,100.0,9.0375,8.544444444444444,,,,,
7,20171117.0,8.599999999999998,8.599999999999998,8.599999999999998,8.599999999999998,100.0,8.818749999999998,8.562962962962963,,,,,
8,20171114.0,7.8,7.8,7.8,7.8,100.0,8.309374999999998,8.308641975308642,7.88,,,,
9,20171110.0,6.9,6.9,6.9,6.9,1000.0,7.6046875,7.8390946502057615,7.701818181818182,,,,
10,20171030.0,8.099999999999998,8.099999999999998,8.099999999999998,8.099999999999998,100.0,7.852343749999998,7.926063100137174,7.774214876033056,,,,
11,20171025.0,7.2,7.2,7.2,7.2,100.0,7.526171874999998,7.684042066758115,7.669812171299775,,,,
12,20171019.0,6.4,6.4,6.4,6.4,100.0,6.9630859375,7.25602804450541,7.438937231063451,7.671428571428571,,,
13,20171017.0,5.7,5.7,5.7,5.7,100.0,6.33154296875,6.737352029670273,7.122766825415551,7.408571428571428,,,
14,20171005.0,5.1,5.1,5.1,5.1,1000.0,5.715771484375,6.191568019780183,6.754991038976359,7.100761904761907,,,
15,20170831.0,6.0,6.0,6.0,6.0,200.0,5.8578857421874995,6.1277120131867875,6.617719940980658,6.953993650793652,,,
16,20170817.0,6.0,6.0,7.0,6.0,1100.0,5.928942871093749,6.085141342124524,6.505407224438722,6.826794497354497,,,
17,20170210.0,10.0,10.0,10.0,10.0,100.0,7.964471435546874,7.390094228083018,7.1407877290862265,7.249888564373897,,,
18,20170124.0,8.8,8.8,8.8,8.8,100.0,8.382235717773437,7.860062818722011,7.442462687434187,7.456570089124045,7.45,,
19,20170118.0,7.8,7.8,7.8,7.8,100.0,8.091117858886719,7.840041879148006,7.50746947153706,7.502360743907506,7.483333333333332,,
20,20170112.0,6.9,6.9,6.9,6.9,100.0,7.495558929443359,7.526694586098672,7.39702047671214,7.422045978053172,7.427777777777778,,
21,20161222.0,6.1,6.1,6.1,6.1,100.0,6.797779464721679,7.051129724065781,7.1611985718553886,7.245773180979414,7.3013227513227505,,
22,20161207.0,7.0,7.1,7.1,7.0,300.0,6.898889732360839,7.03408648271052,7.131889740608954,7.2130034235154925,7.272625346434869,,
23,20161110.0,6.3,6.3,6.3,6.3,200.0,6.599444866180419,6.789390988473681,6.9806370604982355,7.091269633713429,7.179994361060121,,
24,20161109.0,7.3,7.3,7.3,7.3,200.0,6.949722433090209,6.959593992315787,7.0387030494985545,7.119100349218304,7.1914234695305845,,
25,20161031.0,6.4,6.4,6.4,6.4,1900.0,6.6748612165451044,6.773062661543858,6.922575222317,7.023220302655865,7.116049805765767,,
26,20161028.0,5.6,5.6,5.6,5.6,600.0,6.137430608272552,6.382041774362572,6.682107000077545,6.833457595635083,6.971664109978552,,
27,20161027.0,4.9,4.9,4.9,4.9,500.0,5.518715304136276,5.8880278495750495,6.358087545517992,6.575663249550403,6.774362766171072,,
28,20161007.0,4.3,4.3,4.3,4.3,200.0,4.909357652068137,5.358685233050032,5.9838898099692654,6.2722414829436826,6.538709169392874,,
29,20161006.0,5.0,5.0,5.0,5.0,200.0,4.954678826034069,5.239123488700021,5.805000753611218,6.102609285217858,6.392165438974505,,
30,20161004.0,5.8,5.8,5.8,5.8,500.0,5.377339413017034,5.426082325800014,5.804091525681906,6.062261380522146,6.335768730500742,,
31,20161003.0,5.1,5.1,5.1,5.1,500.0,5.238669706508517,5.317388217200009,5.676074884648832,5.933959863119192,6.218076470453053,,
32,20160926.0,4.5,4.5,4.5,4.5,100.0,4.869334853254259,5.044925478133339,5.462243087439954,5.742765214703299,6.0544501399337145,,
33,20160901.0,4.0,4.0,4.0,4.0,3000.0,4.434667426627128,4.696616985422225,5.196380707905417,5.510396519409526,5.858788221844788,,
34,20160831.0,4.0,4.0,4.0,4.0,4000.0,4.217333713313565,4.464411323614818,4.978856942831705,5.30901031682159,5.681760772145285,,
35,20160822.0,4.3,4.3,4.3,4.3,1900.0,4.258666856656784,4.4096075490765445,4.8554284077713925,5.174475607912044,5.550164508131449,,
36,20160819.0,4.9,4.9,4.9,4.9,300.0,4.579333428328392,4.573071699384363,4.863532333631141,5.1378788601904395,5.488244078785597,,
37,20160812.0,4.3,4.3,4.3,4.3,600.0,4.439666714164195,4.482047799589576,4.76107190933457,5.026161678831714,5.375077976044112,,
38,20160808.0,4.2,4.2,4.2,4.2,400.0,4.319833357082097,4.3880318663930495,4.659058834910104,4.916006788320819,5.263165787849433,,
39,20160804.0,4.6,4.6,4.6,4.6,5400.0,4.459916678541049,4.458687910928701,4.648320864926448,4.873872549878042,5.200007141387583,,
40,20160803.0,5.2,5.2,5.2,5.2,200.0,4.829958339270524,4.705791940619132,4.748626162212547,4.917356209894304,5.200006461255434,,
41,20160802.0,4.5,4.6,4.6,4.5,2500.0,4.664979169635262,4.637194627079423,4.7034214054466315,4.86170871524173,5.133339179231105,,
42,20160801.0,5.2,5.2,5.2,5.2,200.0,4.932489584817631,4.824796418052948,4.7937084226381526,4.906814219876167,5.139687828828144,,
43,20160712.0,6.1,6.1,6.1,6.1,100.0,5.516244792408816,5.249864278701966,5.031215982158489,5.06590565722601,5.23114613084451,,
44,20160707.0,5.4,5.4,5.4,5.4,100.0,5.458122396204409,5.299909519134643,5.098267621766035,5.110451569595877,5.247227451716461,,
45,20160706.0,4.7,4.7,4.7,4.7,100.0,5.079061198102205,5.0999396794230965,5.025855326899485,5.05572469364976,5.195110551552989,,
46,20160705.0,4.1,4.1,4.1,4.1,500.0,4.589530599051101,4.76662645294873,4.857517994735941,4.928294734496458,5.090814308547942,,
47,20160701.0,4.6,4.6,4.6,4.6,100.0,4.594765299525551,4.71108430196582,4.810696541147587,4.884522103230264,5.044070088686233,,
48,20160630.0,4.1,4.1,4.1,4.1,100.0,4.347382649762775,4.50738953464388,4.681478988211663,4.779919156132896,4.954158651668496,6.124000000000002,
49,20160624.0,3.6,3.6,3.6,3.6,700.0,3.973691324881387,4.204926356429254,4.484846444900452,4.622596601981843,4.825191161033402,6.0250196078431415,
