,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,5.1,5.3,5.5,5.1,173900.0,,,,,,,
1,20180518.0,5.3,5.5,5.5,5.1,168826.0,5.0,,,,,,
2,20180517.0,5.4,5.0,5.4,4.8,189700.0,5.2,,,,,,
3,20180516.0,5.0,5.0,5.1,4.9,93540.0,5.1,5.08,,,,,
4,20180515.0,5.2,5.3,5.3,5.0,227907.0,5.15,5.12,,,,,
5,20180514.0,5.2,5.0,5.5,5.0,515971.0,5.175000000000001,5.146666666666666,,,,,
6,20180511.0,5.0,4.6,5.0,4.6,248720.0,5.0875,5.097777777777778,,,,,
7,20180510.0,4.6,4.6,4.7,4.6,92700.0,4.84375,4.931851851851852,,,,,
8,20180509.0,4.6,4.5,4.6,4.5,188910.0,4.721875,4.821234567901234,5.0,,,,
9,20180508.0,4.5,4.5,4.5,4.4,50070.0,4.6109375,4.7141563786008245,4.909090909090909,,,,
10,20180507.0,4.5,4.5,4.5,4.4,46500.0,4.55546875,4.642770919067216,4.834710743801652,,,,
11,20180504.0,4.5,4.5,4.5,4.4,21342.0,4.527734375,4.595180612711476,4.773854244928625,,,,
12,20180503.0,4.5,4.4,4.5,4.4,44610.0,4.5138671875,4.563453741807652,4.724062564032511,4.857142857142857,,,
13,20180502.0,4.5,4.4,4.5,4.4,74200.0,4.50693359375,4.542302494538434,4.683323916026599,4.809523809523808,,,
14,20180427.0,4.5,4.4,4.5,4.4,62970.0,4.503466796875,4.528201663025623,4.649992294930855,4.768253968253968,,,
15,20180426.0,4.4,4.5,4.5,4.4,118846.0,4.451733398437501,4.485467775350416,4.604539150397972,4.71915343915344,,,
16,20180424.0,4.5,4.4,4.5,4.4,14001.0,4.47586669921875,4.490311850233611,4.585532032143796,4.689932980599648,,,
17,20180423.0,4.5,4.6,4.6,4.4,122250.0,4.487933349609375,4.493541233489075,4.569980753572198,4.664608583186362,,,
18,20180420.0,4.6,4.5,4.6,4.4,79570.0,4.543966674804688,4.529027488992716,4.575438798377252,4.65599410542818,4.75,,
