,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180510.0,15.3,15.4,15.4,15.3,200.0,,,,,,,
1,20180503.0,18.0,18.0,18.0,18.0,100.0,15.466666666666665,,,,,,
2,20180129.0,16.2,16.2,16.2,16.2,700.0,15.83333333333333,,,,,,
3,20180124.0,16.2,16.2,16.2,16.2,500.0,16.016666666666662,15.76,,,,,
4,20180117.0,14.1,14.1,14.1,14.1,200.0,15.058333333333332,15.206666666666669,,,,,
5,20180104.0,16.5,16.5,16.5,16.5,500.0,15.779166666666665,15.63777777777778,,,,,
6,20171220.0,17.0,17.0,17.0,17.0,1500.0,16.389583333333334,16.091851851851853,,,,,
7,20171218.0,15.9,15.9,15.9,15.9,1000.0,16.144791666666666,16.0279012345679,,,,,
8,20171215.0,13.9,13.9,13.9,13.9,100.0,15.022395833333334,15.318600823045267,15.62,,,,
9,20171208.0,15.9,15.9,15.9,15.9,100.0,15.461197916666666,15.512400548696844,15.670909090909092,,,,
10,20171128.0,13.9,13.9,13.9,13.9,200.0,14.680598958333334,14.974933699131231,15.348925619834707,,,,
11,20171117.0,12.1,12.1,12.1,12.1,400.0,13.39029947916667,14.016622466087485,14.758211870773852,,,,
12,20171103.0,13.9,13.9,13.9,13.9,400.0,13.645149739583337,13.977748310724989,14.60217334881497,15.142857142857142,,,
13,20171018.0,13.9,13.9,13.9,13.9,700.0,13.772574869791667,13.951832207149993,14.47450546721225,14.977142857142855,,,
14,20170925.0,15.0,15.0,15.0,15.0,500.0,14.386287434895834,14.301221471433328,14.57004992771911,14.980190476190478,,,
15,20170831.0,15.0,14.5,15.0,14.5,2400.0,14.693143717447917,14.534147647622222,14.64822266813382,14.982831746031744,,,
16,20170829.0,14.5,14.5,14.5,14.5,1300.0,14.596571858723959,14.522765098414812,14.621273092109488,14.918454179894178,,,
17,20170825.0,13.5,13.5,13.5,13.5,600.0,14.048285929361981,14.18184339894321,14.417405257180489,14.729326955908288,,,
