,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,14.8,14.7,14.85,14.55,8250.0,,,,,,,
1,20180518.0,14.85,14.6,15.0,14.6,5310.0,14.716666666666665,,,,,,
2,20180517.0,14.6,14.55,14.6,14.55,1730.0,14.658333333333331,,,,,,
3,20180516.0,14.55,14.5,14.55,14.25,1730.0,14.60416666666667,14.66,,,,,
4,20180515.0,14.5,14.5,14.6,14.3,25810.0,14.55208333333333,14.60666666666667,,,,,
5,20180514.0,14.35,14.8,14.8,14.3,5300.0,14.451041666666665,14.52111111111111,,,,,
6,20180511.0,14.7,14.6,15.1,14.3,130.0,14.57552083333333,14.580740740740739,,,,,
7,20180510.0,14.3,14.3,14.6,14.2,11620.0,14.437760416666666,14.487160493827162,,,,,
8,20180509.0,14.6,14.2,14.6,14.15,11550.0,14.51888020833333,14.52477366255144,14.575,,,,
9,20180508.0,14.2,15.0,15.0,14.2,29450.0,14.359440104166664,14.416515775034291,14.50681818181818,,,,
10,20180507.0,15.0,14.15,15.15,14.15,11270.0,14.679720052083331,14.611010516689529,14.596487603305786,,,,
11,20180504.0,14.9,14.9,14.9,14.4,8180.0,14.789860026041664,14.707340344459682,14.651671675432004,,,,
12,20180503.0,14.95,15.15,15.15,14.4,6130.0,14.869930013020833,14.788226896306458,14.705913188989824,14.628571428571426,,,
13,20180502.0,15.15,15.1,15.2,14.0,11260.0,15.009965006510416,14.908817930870969,14.786656245537126,14.698095238095238,,,
14,20180427.0,14.9,15.3,15.3,13.7,9310.0,14.954982503255206,14.905878620580646,14.807264200894013,14.725015873015872,,,
15,20180426.0,14.4,14.1,14.9,13.6,39520.0,14.677491251627604,14.737252413720432,14.73321616436783,14.681680423280422,,,
16,20180424.0,14.15,14.35,15.1,14.15,52770.0,14.413745625813805,14.541501609146957,14.627176861755494,14.610789700176367,,,
17,20180423.0,15.2,15.35,16.3,15.2,106160.0,14.8068728129069,14.761001072764637,14.731326523254499,14.689351073486183,,,
18,20180420.0,16.3,16.1,16.3,16.0,47580.0,15.55343640645345,15.274000715176422,15.016539882662771,14.904104263688026,14.745,,
19,20180419.0,16.1,16.399999999999995,16.5,16.0,59970.0,15.826718203226724,15.54933381011762,15.213532631269539,15.063557028529623,14.874047619047616,,
20,20180418.0,16.5,16.7,16.8,16.399999999999995,43410.0,16.163359101613363,15.866222540078413,15.447435789220531,15.255082758059006,15.02890022675737,,
21,20180417.0,16.7,16.5,17.0,16.0,45210.0,16.43167955080668,16.144148360052274,15.675174736634979,15.447738390317804,15.188052586113807,,
22,20180416.0,16.5,16.7,17.2,16.2,58740.0,16.46583977540334,16.262765573368178,15.825142966337712,15.58803993827543,15.312999958864877,,
23,20180413.0,17.2,18.4,18.7,17.2,116770.0,16.83291988770167,16.57517704891212,16.075116972458126,15.802967946505373,15.492714248496794,,
24,20180412.0,18.0,17.6,18.25,17.0,78530.0,17.416459943850835,17.05011803260808,16.425095704738467,16.09590555363799,15.731503367687575,,
25,20180411.0,17.1,16.2,17.2,16.149999999999995,106590.0,17.258229971925413,17.066745355072054,16.547805576604198,16.229784813152925,15.861836380288759,,
26,20180410.0,16.149999999999995,17.0,17.0,16.149999999999995,333450.0,16.704114985962708,16.761163570048033,16.47547728994889,16.219146838065868,15.889280534546973,,
27,20180409.0,15.9,15.9,15.9,15.9,24190.0,16.302057492981355,16.47410904669869,16.37084505541273,16.17659392632375,15.890301436018689,,
28,20180406.0,14.9,14.9,14.9,14.9,69030.0,15.601028746490675,15.94940603113246,16.103418681701324,16.00638140281392,15.795987013540717,,
29,20180405.0,13.95,13.95,13.95,13.95,45540.0,14.775514373245338,15.282937354088308,15.711888012301081,15.73219721577206,15.620178726536839,,
