,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,13.0,13.0,13.0,13.0,100.0,,,,,,,
1,20180516.0,11.5,11.5,11.5,11.5,100.0,11.9,,,,,,
2,20180515.0,14.3,12.0,14.3,12.0,200.0,13.1,,,,,,
3,20180511.0,12.5,12.5,12.5,12.5,100.0,12.8,12.5,,,,,
4,20180424.0,12.0,12.0,12.0,12.0,100.0,12.4,12.333333333333332,,,,,
5,20180409.0,13.1,13.1,13.1,13.1,200.0,12.75,12.588888888888889,,,,,
6,20180405.0,13.2,12.5,13.2,12.5,600.0,12.975,12.792592592592593,,,,,
7,20180404.0,14.6,14.6,14.6,14.6,100.0,13.7875,13.39506172839506,,,,,
8,20180403.0,17.1,17.1,17.1,17.1,100.0,15.44375,14.630041152263376,13.25,,,,
9,20180402.0,14.0,18.5,18.5,14.0,500.0,14.721875,14.42002743484225,13.386363636363635,,,,
10,20180222.0,16.1,16.1,16.1,16.1,100.0,15.4109375,14.980018289894835,13.879752066115705,,,,
11,20180221.0,16.3,16.3,16.3,16.3,100.0,15.85546875,15.420012193263226,14.319797145003756,,,,
12,20180213.0,14.2,14.2,14.2,14.2,500.0,15.027734375,15.013341462175482,14.298015845912163,13.792857142857143,,,
13,20180212.0,15.0,15.0,15.0,15.0,100.0,15.0138671875,15.00889430811699,14.425649328473588,13.953809523809523,,,
14,20180209.0,13.1,13.1,13.1,13.1,300.0,14.05693359375,14.372596205411325,14.184622177842027,13.839968253968253,,,
15,20180208.0,15.4,15.4,15.4,15.4,100.0,14.728466796875002,14.715064136940883,14.405599963688932,14.047972486772485,,,
16,20180206.0,18.1,18.1,18.1,18.1,100.0,16.4142333984375,15.843376091293923,15.077309061200035,14.588242821869487,,,
17,20180125.0,21.2,21.2,21.2,21.2,100.0,18.807116699218753,17.62891739419595,16.190525595527298,15.469810445620224,,,
18,20180110.0,24.9,24.9,24.9,24.9,100.0,21.853558349609372,20.05261159613063,17.77406639634052,16.72716905287086,15.039999999999997,,
19,20180104.0,24.0,24.0,24.0,24.0,100.0,22.92677917480469,21.368407730753756,18.906054324278607,17.69687984582141,15.89333333333333,,
20,20171229.0,21.2,21.2,21.2,21.2,100.0,22.06338958740234,21.312271820502502,19.32313535622795,18.16396253304522,16.398730158730157,,
21,20171211.0,18.5,18.5,18.5,18.5,100.0,20.281694793701167,20.374847880335,19.17347438236832,18.208767528639193,16.59885109599395,,
22,20171205.0,16.6,16.6,16.6,16.6,100.0,18.440847396850586,19.11656525355667,18.705569949210446,17.994265191487298,16.598960515423098,,
23,20171204.0,21.0,17.899999999999995,21.0,17.899999999999995,200.0,19.720423698425286,19.744376835704447,19.122739049354,18.39502983262233,17.018107133001852,,
24,20171130.0,21.0,21.0,21.0,21.0,100.0,20.360211849212646,20.162917890469632,19.464059222198728,18.742359188272683,17.397335025096915,,
25,20171128.0,19.0,19.0,19.0,19.0,100.0,19.680105924606323,19.775278593646426,19.3796848181626,18.77671129650299,17.549969784611495,,
26,20171123.0,17.2,17.2,17.2,17.2,100.0,18.440052962303163,18.91685239576428,18.98337848758758,18.56648312363593,17.51663932893421,,
27,20171121.0,16.0,14.5,16.0,14.5,300.0,17.22002648115158,17.94456826384285,18.44094603529893,18.224285373817803,17.37219748808333,,
28,20171114.0,16.0,16.0,16.0,16.0,100.0,16.61001324057579,17.296378842561904,17.997137665244576,17.927713990642097,17.241512013027776,,
29,20171113.0,14.1,14.1,14.1,14.1,500.0,15.355006620287897,16.230919228374603,17.288567180654653,17.41735212522315,16.94232039273942,,
30,20171110.0,15.0,15.0,15.0,15.0,100.0,15.17750331014395,15.8206128189164,16.87246405689926,17.09503850852673,16.757337498192808,,
31,20171109.0,14.0,14.0,14.0,14.0,400.0,14.588751655071972,15.2137418792776,16.350197864735758,16.682366707389832,16.494733926936348,,
32,20171108.0,14.8,14.8,17.3,14.8,700.0,14.694375827535987,15.0758279195184,16.068343707511076,16.431384479737854,16.333330695799553,,
33,20171103.0,17.3,17.3,17.3,17.3,100.0,15.997187913767993,15.817218613012269,16.292281215236336,16.547199882439475,16.42539443905674,,
34,20171102.0,15.1,15.1,15.1,15.1,100.0,15.548593956883996,15.578145742008179,16.07550281246609,16.354239898114212,16.299166397241812,,
35,20171101.0,13.2,13.2,13.2,13.2,100.0,14.374296978442,14.785430494672118,15.552684119290438,15.93367457836565,16.004007692742594,,
36,20171031.0,11.5,11.5,11.5,11.5,100.0,12.937148489220997,13.69028699644808,14.815832461237632,15.342517967916896,15.57505457914806,,
37,20171030.0,10.0,10.0,10.0,10.0,100.0,11.4685742446105,12.460191330965385,13.940226559194423,14.630182238861309,15.044097000181578,,
