,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180205.0,7.8,7.8,7.8,7.8,1500.0,,,,,,,
1,20180131.0,8.099999999999998,8.099999999999998,8.099999999999998,8.099999999999998,6600.0,8.200000000000001,,,,,,
2,20171114.0,10.5,10.5,10.5,10.5,100.0,9.35,,,,,,
3,20171002.0,8.0,8.0,8.0,8.0,4000.0,8.675,8.620000000000001,,,,,
4,20170310.0,10.6,10.6,10.6,10.6,100.0,9.6375,9.28,,,,,
5,20170303.0,10.6,10.6,10.6,10.6,100.0,10.118749999999999,9.72,,,,,
6,20170223.0,10.7,10.7,10.7,10.7,100.0,10.409375,10.046666666666665,,,,,
7,20170213.0,10.7,10.7,10.7,10.7,200.0,10.5546875,10.264444444444447,,,,,
8,20170209.0,10.7,10.7,10.7,10.7,200.0,10.62734375,10.40962962962963,9.64,,,,
9,20170208.0,11.0,11.0,11.0,11.0,200.0,10.813671875,10.606419753086419,9.887272727272729,,,,
10,20170206.0,10.7,10.7,10.7,10.7,200.0,10.7568359375,10.63761316872428,10.035041322314049,,,,
