,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180328.0,24.9,24.9,24.9,24.9,100.0,,,,,,,
1,20180212.0,24.9,24.9,24.9,24.9,100.0,21.6,,,,,,
2,20171229.0,17.8,17.8,17.8,17.8,100.0,19.7,,,,,,
3,20171214.0,15.5,15.5,15.5,15.5,100.0,17.6,19.62,,,,,
4,20171121.0,13.5,13.5,13.5,13.5,100.0,15.55,17.58,,,,,
5,20171023.0,12.1,12.1,12.1,12.1,100.0,13.825,15.753333333333332,,,,,
6,20171009.0,10.6,10.6,10.6,10.6,100.0,12.212499999999997,14.035555555555554,,,,,
7,20171002.0,9.3,9.3,9.3,9.3,600.0,10.75625,12.457037037037034,,,,,
8,20170921.0,9.3,9.3,9.3,9.3,3400.0,10.028125,11.40469135802469,15.29,,,,
9,20170801.0,15.5,15.5,15.5,15.5,100.0,12.7640625,12.769794238683128,15.328181818181818,,,,
10,20170720.0,17.0,17.0,17.0,17.0,100.0,14.88203125,14.179862825788751,15.632148760330576,,,,
11,20170329.0,20.9,20.9,20.9,20.9,100.0,17.891015625,16.41990855052583,16.58993989481593,,,,
12,20161208.0,20.9,19.0,20.9,19.0,200.0,19.3955078125,17.913272367017218,17.373587186667578,16.22857142857143,,,
13,20161102.0,19.0,19.0,19.0,19.0,100.0,19.19775390625,18.275514911344814,17.669298607273472,16.598095238095237,,,
14,20161031.0,18.5,18.5,18.5,18.5,100.0,18.848876953125,18.350343274229875,17.820335224132837,16.851682539682542,,,
15,20161010.0,18.0,18.0,18.0,18.0,100.0,18.4244384765625,18.23356218281992,17.85300154701778,17.004791534391536,,,
16,20160923.0,17.7,15.9,17.7,15.9,200.0,18.062219238281248,18.055708121879942,17.825183083923637,17.097485996472667,,,
17,20160901.0,17.6,17.6,17.6,17.6,100.0,17.831109619140626,17.903805414586632,17.784240705028427,17.16448786360964,,,
18,20160801.0,17.0,17.0,17.0,17.0,100.0,17.41555480957031,17.602536943057753,17.641651485932353,17.142556148461686,16.750000000000004,,
19,20160722.0,17.6,17.6,17.6,17.6,100.0,17.50777740478516,17.601691295371836,17.634078488490108,17.203548662000127,16.830952380952382,,
20,20160720.0,17.6,17.6,17.6,17.6,100.0,17.55388870239258,17.60112753024789,17.627882399673723,17.25640884040011,16.904195011337873,,
21,20160713.0,17.5,17.5,17.5,17.5,100.0,17.526944351196292,17.567418353498592,17.6046310542785,17.288887661680093,16.96093834359141,,
22,20160704.0,16.0,16.0,16.0,16.0,100.0,16.763472175598142,17.044945568999058,17.31287995350059,17.11703597345608,16.869420406106514,,
23,20160701.0,16.2,16.2,16.2,16.2,100.0,16.481736087799067,16.763297045999373,17.110538143773212,16.9947645103286,16.80566608171542,,
24,20160623.0,16.2,16.2,16.2,16.2,100.0,16.340868043899533,16.57553136399958,16.944985753996264,16.888795908951455,16.747983597742518,,
25,20160617.0,17.899999999999995,17.899999999999995,17.899999999999995,17.899999999999995,1000.0,17.120434021949762,17.017020909333052,17.118624707815126,17.023623121091262,16.857699445576564,,
26,20160616.0,16.3,16.3,16.3,16.3,100.0,16.710217010974883,16.778013939555365,16.96978385184874,16.9271400382791,16.80458521266451,,
27,20160608.0,16.0,16.0,16.0,16.0,100.0,16.355108505487443,16.51867595970358,16.793459515148967,16.803521366508548,16.727958049553603,,
28,20160602.0,15.5,15.5,15.5,15.5,100.0,15.927554252743718,16.179117306469053,16.558285057849154,16.629718517640743,16.61100966388183,,
29,20160530.0,15.5,15.5,15.5,15.5,100.0,15.713777126371859,15.952744870979366,16.36586959278567,16.479089381955312,16.505199219702607,,
30,20160526.0,15.0,15.0,15.0,15.0,100.0,15.356888563185926,15.635163247319577,16.11752966682464,16.281877464361266,16.361846913064262,,
31,20160519.0,15.0,15.0,15.0,15.0,150.0,15.178444281592963,15.423442164879718,15.914342454674706,16.1109604691131,16.23214720705814,,
32,20160516.0,15.0,15.0,15.0,15.0,50.0,15.089222140796483,15.282294776586477,15.748098372006575,15.962832406564685,16.114799854004985,,
33,20160513.0,15.0,15.0,15.0,15.0,100.0,15.04461107039824,15.18819651772432,15.6120804861872,15.834454752356061,16.008628439337844,,
34,20160511.0,14.7,14.7,14.7,14.7,100.0,14.87230553519912,15.025464345149542,15.4462476705168,15.683194118708586,15.883997159400902,,
35,20160510.0,14.2,14.0,14.2,14.0,200.0,14.536152767599559,14.750309563433028,15.219657184968288,15.485434902880774,15.7236164775532,,
36,20160509.0,14.0,14.0,14.0,14.0,200.0,14.268076383799778,14.50020637562202,14.997901333155871,15.287376915830004,15.55946252731004,,
37,20160505.0,14.6,14.6,14.6,14.6,100.0,14.43403819189989,14.533470917081344,14.92555563621844,15.195726660386002,15.468085143756701,,
38,20160428.0,14.7,14.7,14.7,14.7,100.0,14.567019095949945,14.588980611387564,14.884545520542362,15.129629772334534,15.394934177684636,,
39,20160420.0,14.8,14.8,14.8,14.8,100.0,14.683509547974973,14.659320407591709,14.869173607716476,15.085679136023268,15.338273779809906,,
40,20160411.0,15.0,15.0,15.0,15.0,100.0,14.841754773987486,14.772880271727805,14.8929602244953,15.074255251220164,15.30605722935182,,
41,20160408.0,14.7,14.7,14.7,14.7,100.0,14.77087738699374,14.748586847818535,14.857876547314335,15.024354551057476,15.248337493223076,,
42,20160407.0,14.4,13.1,14.4,13.1,200.0,14.58543869349687,14.632391231879025,14.774626265984454,14.941107277583146,15.167543446249454,,
43,20160406.0,14.5,14.5,14.5,14.5,100.0,14.542719346748434,14.588260821252685,14.724694217623645,14.882292973905392,15.103967879939981,,
44,20160404.0,14.5,14.5,14.5,14.5,100.0,14.521359673374214,14.55884054750179,14.683840723510256,14.831320577384675,15.046447129469504,,
45,20160331.0,14.3,14.0,14.3,14.0,200.0,14.410679836687109,14.47256036500119,14.614051501053844,14.760477833733383,14.975356926662887,,
46,20160330.0,14.1,14.0,14.1,14.0,200.0,14.255339918343555,14.348373576667464,14.520587591771328,14.67241412256893,14.89198960031404,,
47,20160324.0,14.3,14.3,14.3,14.3,100.0,14.27766995917178,14.332249051111642,14.480480756903814,14.622758906226407,14.835609638379369,,
48,20160323.0,13.0,13.0,13.0,13.0,200.0,13.638834979585889,13.888166034074429,14.211302437466756,14.40639105206289,14.660789672819428,15.862,
49,20160321.0,14.3,14.3,14.3,14.3,100.0,13.969417489792944,14.025444022716284,14.227429267018255,14.392205578454503,14.626428751598532,15.800745098039217,
50,20160318.0,14.3,14.3,14.3,14.3,100.0,14.13470874489647,14.116962681810858,14.240623945742211,14.379911501327236,14.595340299065338,15.741892349096503,
51,20160310.0,14.4,14.4,14.4,14.4,100.0,14.267354372448235,14.211308454540573,14.26960141015272,14.382589967816937,14.576736461059113,15.689269119720166,
52,20160304.0,14.4,14.4,14.4,14.4,100.0,14.333677186224119,14.274205636360382,14.293310244670408,14.384911305441344,14.559904417148724,15.638709546397807,
53,20160226.0,14.4,14.4,14.4,14.4,100.0,14.36683859311206,14.316137090906922,14.31270838200306,14.386923131382499,14.54467542503932,15.59013270144103,
54,20160222.0,14.4,14.4,14.4,14.4,100.0,14.383419296556031,14.34409139393795,14.32857958527523,14.388666713864833,14.530896813130813,15.543460830796285,
55,20160215.0,14.4,14.4,14.4,14.4,100.0,14.391709648278017,14.362727595958633,14.341565115225187,14.390177818682854,14.5184304499755,15.49861922958859,
56,20160201.0,14.4,14.4,14.4,14.4,100.0,14.395854824139008,14.375151730639088,14.3521896397297,14.391487442858473,14.507151359501638,15.455536122545901,
57,20160122.0,14.4,14.4,14.4,14.4,100.0,14.397927412069505,14.383434487092723,14.360882432506116,14.392622450477342,14.496946468120532,15.414142549112727,
58,20160114.0,14.3,14.3,14.3,14.3,100.0,14.348963706034755,14.35562299139515,14.349812899323187,14.380272790413699,14.478189661632861,15.370450684441638,
59,20160107.0,14.3,14.3,14.3,14.3,200.0,14.324481853017375,14.337081994263432,14.340756008537156,14.369569751691873,14.461219217667827,15.32847222622824,
60,20151228.0,14.3,14.3,14.3,14.3,200.0,14.312240926508688,14.324721329508957,14.333345825166763,14.360293784799625,14.44586500646137,15.288139982062429,
61,20151224.0,14.3,14.3,14.3,14.3,100.0,14.306120463254343,14.316480886339306,14.327282947863715,14.352254613493008,14.431973101084097,15.249389394530567,
62,20151218.0,14.3,14.3,14.3,14.3,200.0,14.303060231627171,14.310987257559535,14.322322411888495,14.345287331693939,14.419404234314179,15.21215843788231,
63,20151215.0,14.3,14.3,14.3,14.3,100.0,14.301530115813586,14.307324838373022,14.318263791545135,14.339249020801413,14.408032402474737,15.17638751874967,
64,20151211.0,14.4,12.8,14.4,12.8,300.0,14.350765057906795,14.33821655891535,14.333124920355107,14.347349151361223,14.407267411762858,15.145940949386938,
65,20151210.0,14.2,12.9,14.2,12.9,400.0,14.275382528953395,14.292144372610233,14.308920389381452,14.327702597846395,14.387527658261632,15.108845225881568,
66,20151209.0,14.3,14.3,14.3,14.3,200.0,14.2876912644767,14.294762915073488,14.307298500403006,14.32400891813354,14.379191690808144,15.077125805258758,
67,20151207.0,14.3,12.9,14.3,12.9,600.0,14.293845632238348,14.296508610048994,14.305971500329731,14.32080772904907,14.371649625016893,15.046650283483908,
68,20151204.0,14.3,12.8,14.3,12.8,500.0,14.296922816119173,14.297672406699329,14.304885772997054,14.31803336517586,14.364825851205756,15.017369880210028,
69,20151203.0,14.2,13.0,14.2,13.0,300.0,14.248461408059587,14.265114937799552,14.285815632452135,14.302295583152413,14.349128151090923,14.985316159417478,
70,20151202.0,14.4,12.9,14.4,12.9,300.0,14.324230704029794,14.310076625199702,14.306576426551747,14.315322838732088,14.353973089082263,14.962362584538365,
71,20151130.0,14.3,12.9,14.3,12.9,300.0,14.312115352014896,14.306717750133137,14.30538071263325,14.313279793567812,14.348832794883952,14.936387581223133,
72,20151127.0,14.3,12.9,14.3,12.9,500.0,14.306057676007446,14.304478500088756,14.304402401245385,14.311509154425439,14.344182052514052,14.911431205488892,
73,20151123.0,14.3,14.0,14.3,14.0,300.0,14.303028838003724,14.30298566672584,14.303601964655314,14.309974600502047,14.339974237988905,14.887453511155996,
74,20151120.0,14.0,13.0,14.0,13.0,400.0,14.151514419001863,14.201990444483892,14.248401607445258,14.268644653768439,14.307595739132818,14.852651412679293,
75,20151119.0,14.4,14.3,14.4,12.9,400.0,14.27575720950093,14.267993629655932,14.27596495154612,14.286158699932649,14.316396144929692,14.834900376887942,
76,20151117.0,14.3,14.3,14.3,14.3,100.0,14.287878604750464,14.278662419770619,14.280334960355917,14.28800420660829,14.31483460731734,14.813923891519789,
77,20151110.0,14.4,12.8,14.4,12.8,300.0,14.343939302375231,14.319108279847079,14.302092240291204,14.302936979060522,14.32294559709664,14.797691582048422,
78,20151109.0,14.2,12.8,14.2,12.8,300.0,14.271969651187614,14.27940551989805,14.283530014783713,14.28921204851912,14.311236492611249,14.7742526964779,
79,20151104.0,14.2,14.2,14.2,14.2,100.0,14.235984825593809,14.252937013265367,14.268342739368494,14.27731710871657,14.300642540933985,14.75173298289053,
80,20151027.0,14.2,14.2,14.2,14.2,100.0,14.217992412796905,14.235291342176913,14.25591678675604,14.267008160887693,14.291057537035508,14.730096395326198,
81,20151020.0,14.4,14.3,14.4,14.3,300.0,14.30899620639845,14.290194228117942,14.282113734618578,14.284740406102669,14.301433009698794,14.71715143864674,
82,20151014.0,14.4,14.4,14.4,14.4,100.0,14.354498103199226,14.326796152078627,14.303547601051566,14.300108351955645,14.310820342108434,14.70471412732726,
83,20151008.0,14.4,14.2,14.4,14.2,300.0,14.377249051599613,14.351197434719086,14.32108440086037,14.313427238361559,14.31931364286001,14.69276455370658,
84,20151007.0,14.0,14.0,14.0,14.0,100.0,14.188624525799804,14.234131623146055,14.262705418885757,14.271636939913352,14.288902819730483,14.665597316306323,
85,20151005.0,14.2,14.2,14.2,14.2,100.0,14.194312262899901,14.222754415430703,14.251304433633802,14.262085347924906,14.280435884518058,14.647338598019802,
86,20151002.0,13.9,13.8,13.9,13.8,300.0,14.047156131449954,14.115169610287134,14.187430900245836,14.213807301534915,14.244203895516335,14.618031202019024,
87,20150929.0,13.9,12.6,13.9,12.6,700.0,13.973578065724976,14.043446406858092,14.135170736564778,14.171966327996929,14.211422572133829,14.589873115665338,
88,20150925.0,13.9,13.9,13.9,13.9,100.0,13.936789032862489,13.995630937905393,14.092412420825724,14.135704150930671,14.181763279549655,14.56281926799219,
89,20150918.0,14.3,14.3,14.4,14.3,400.0,14.118394516431245,14.097087291936926,14.130155617039229,14.157610264139917,14.193023919592546,14.552512630031709,
90,20150916.0,14.3,14.3,14.3,14.3,100.0,14.209197258215625,14.164724861291287,14.161036413941186,14.176595562254592,14.203212117726588,14.542610173952035,
91,20150914.0,14.2,14.2,14.2,14.2,100.0,14.20459862910781,14.176483240860856,14.168120702315516,14.179716153953981,14.202906201752628,14.529174480855875,
92,20150909.0,14.2,14.2,14.2,14.2,100.0,14.202299314553905,14.184322160573904,14.17391693825815,14.182420666760116,14.202629420633327,14.516265677685059,
93,20150903.0,14.2,14.2,14.2,14.2,100.0,14.20114965727695,14.189548107049268,14.178659313120304,14.184764577858768,14.202378999620631,14.503863102089564,
94,20150901.0,14.2,14.2,14.2,14.2,100.0,14.200574828638477,14.19303207136618,14.182539438007522,14.186795967477597,14.20215242822819,14.491946902007623,
95,20150828.0,14.2,14.2,14.2,14.2,100.0,14.200287414319236,14.195354714244122,14.185714085642516,14.188556505147249,14.2019474350636,14.480498003889677,
96,20150825.0,14.2,14.2,14.2,14.2,100.0,14.200143707159619,14.196903142829411,14.188311524616607,14.190082304460951,14.201761965057544,14.469498082168512,
97,20150820.0,13.5,12.3,13.5,12.3,600.0,13.850071853579806,13.964602095219606,14.063163974686313,14.098071330532822,14.134927492194922,14.431478549534452,
98,20150818.0,12.3,12.3,12.3,12.3,500.0,13.075035926789903,13.409734730146404,13.74258870656153,13.858328486461778,13.960172492938261,14.347891155435063,
99,20150811.0,12.3,12.3,12.3,12.3,400.0,12.687517963394953,13.039823153430934,13.48029985082307,13.650551354933542,13.80206082694414,14.267581698359178,
100,20150807.0,12.3,12.3,12.3,12.3,100.0,12.493758981697475,12.793215435620624,13.265699877946147,13.470477840942403,13.659007414854225,14.190421631756855,
101,20150805.0,12.3,12.2,12.3,12.2,200.0,12.39687949084874,12.628810290413751,13.09011808195594,13.314414128816747,13.529578137249059,14.116287450119332,
102,20150730.0,12.3,12.3,12.3,12.3,100.0,12.348439745424368,12.519206860275837,12.94646024887304,13.179158911641181,13.412475457511054,14.045060491291123,
103,20150723.0,12.3,12.3,12.3,12.3,100.0,12.324219872712185,12.446137906850558,12.828922021805214,13.061937723422357,13.306525413938576,13.976626746534608,
104,20150717.0,12.4,12.4,12.4,12.4,100.0,12.362109936356093,12.43075860456704,12.750936199658813,12.973679360299377,13.220189660230137,13.914798246670511,
105,20150713.0,12.4,12.4,12.4,10.3,600.0,12.381054968178045,12.420505736378026,12.687129617902665,12.897188778926129,13.142076359255839,13.855394393859902,
106,20150710.0,11.4,12.6,12.6,11.4,200.0,11.890527484089024,12.080337157585353,12.453106051011272,12.69756360840264,12.976164325040996,13.7591044176301,
107,20150706.0,12.6,12.6,12.6,12.6,100.0,12.24526374204451,12.2535581050569,12.479814041736494,12.684555127282291,12.940339151227567,13.71364934242892,
108,20150703.0,12.6,12.6,12.6,12.6,100.0,12.422631871022254,12.369038736704598,12.50166603414804,12.673281110311319,12.907925898729706,13.669976819196412,
109,20150630.0,12.7,12.7,12.7,12.7,100.0,12.561315935511127,12.479359157803064,12.537726755212033,12.676843628936476,12.888123432184017,13.631938512561259,
110,20150626.0,12.9,12.9,12.9,12.9,100.0,12.730657967755567,12.619572771868713,12.603594617900752,12.706597811744944,12.889254533880777,13.603235041480426,
111,20150622.0,13.0,13.0,13.0,13.0,100.0,12.865328983877781,12.746381847912474,12.67566832373698,12.74571810351229,12.899801721130228,13.579578765343939,
112,20150617.0,13.0,13.0,13.0,13.0,100.0,12.93266449193889,12.83092123194165,12.734637719421164,12.779622356377315,12.90934441435592,13.556850186310845,
113,20150616.0,12.8,12.8,12.8,12.8,100.0,12.866332245969444,12.820614154627767,12.746521770435502,12.782339375527009,12.898930660607736,13.527169786847672,
114,20150612.0,12.8,12.8,12.8,12.8,100.0,12.833166122984725,12.813742769751844,12.756245084901773,12.784694125456738,12.88950869293081,13.498653324618353,
115,20150609.0,13.0,13.0,13.0,13.0,100.0,12.91658306149236,12.875828513167894,12.800564160374174,12.813401575395844,12.900031674556447,13.479098292280376,
116,20150605.0,13.5,13.5,13.5,13.5,100.0,13.208291530746179,13.083885675445265,12.927734313033417,12.904948032009727,12.95717151507488,13.479917967092913,
