,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,14.0,14.0,14.0,14.0,3500.0,,,,,,,
1,20180518.0,14.0,14.0,14.0,14.0,500.0,14.0,,,,,,
2,20180517.0,14.0,14.2,14.2,14.0,6900.0,14.0,,,,,,
3,20180516.0,14.4,14.4,14.4,14.4,200.0,14.2,14.08,,,,,
4,20180417.0,14.4,14.4,14.4,14.4,100.0,14.3,14.186666666666671,,,,,
5,20180416.0,13.2,13.2,13.2,13.2,200.0,13.75,13.857777777777777,,,,,
6,20180413.0,12.0,12.0,12.0,12.0,16.0,12.875,13.23851851851852,,,,,
7,20180411.0,12.0,12.0,12.0,12.0,600.0,12.4375,12.82567901234568,,,,,
8,20180405.0,11.6,11.6,11.6,11.6,43.0,12.01875,12.417119341563785,13.360000000000003,,,,
9,20180404.0,11.6,11.6,11.6,11.6,100.0,11.809375,12.144746227709192,13.040000000000003,,,,
10,20180402.0,10.6,10.6,10.6,10.6,100.0,11.204687499999999,11.62983081847279,12.59636363636364,,,,
11,20180328.0,11.6,11.2,12.1,11.2,600.0,11.40234375,11.619887212315197,12.41520661157025,,,,
12,20180327.0,11.0,11.0,11.0,11.0,100.0,11.201171875,11.413258141543466,12.157896318557475,12.742857142857144,,,
13,20180326.0,12.0,12.0,12.0,12.0,100.0,11.600585937500002,11.608838761028975,12.129187897001572,12.643809523809523,,,
14,20180322.0,12.0,12.0,12.0,12.0,100.0,11.80029296875,11.739225840685982,12.105699188455834,12.557968253968255,,,
15,20180321.0,13.3,13.3,13.3,13.3,1200.0,12.550146484374999,12.259483893790659,12.322844790554774,12.656905820105822,,,
16,20180320.0,14.7,14.7,14.7,14.7,100.0,13.625073242187499,13.072989262527104,12.755054828635725,12.929318377425044,,,
17,20180319.0,13.5,13.5,13.5,13.5,100.0,13.56253662109375,13.215326175018065,12.890499405247407,13.00540926043504,,,
18,20180316.0,12.3,12.3,12.3,12.3,100.0,12.931268310546876,12.910217450012048,12.783135877020609,12.911354692377031,12.809999999999997,,
19,20180313.0,12.0,12.0,12.0,12.0,800.0,12.465634155273438,12.606811633341364,12.640747535744131,12.78984073339343,12.732857142857142,,
20,20180306.0,12.0,12.0,12.1,11.9,36508.0,12.23281707763672,12.404541088894243,12.524247983790653,12.684528635607638,12.663061224489795,,
21,20180228.0,11.5,11.5,11.5,11.5,180.0,11.866408538818359,12.103027392596163,12.338021077646896,12.52659148419329,12.5522934888241,,
22,20180227.0,12.6,12.0,12.6,12.0,2900.0,12.233204269409178,12.26868492839744,12.385653608983825,12.536379286300848,12.556836966078947,,
23,20180226.0,12.7,12.7,12.7,12.7,4000.0,12.466602134704589,12.412456618931625,12.442807498259494,12.558195381460736,12.570471540738096,,
24,20180223.0,12.6,12.6,12.6,12.6,100.0,12.533301067352294,12.474971079287752,12.471387953121404,12.563769330599303,12.573283774953513,,
25,20180222.0,12.6,12.6,12.6,12.6,12354.0,12.566650533676144,12.516647386191833,12.494771961644783,12.568600086519396,12.575828177338893,,
26,20180212.0,12.5,12.5,12.5,12.5,10090.0,12.533325266838071,12.511098257461223,12.495722514073007,12.559453408316813,12.56860644616376,,
27,20180202.0,12.2,12.2,12.2,12.2,100.0,12.366662633419036,12.407398838307481,12.441954784241553,12.511526287207905,12.533501070338641,,
28,20180130.0,12.9,13.0,13.0,12.9,721.0,12.63333131670952,12.57159922553832,12.525235732561267,12.563322782246848,12.568405730306386,,
29,20180129.0,13.6,13.6,13.6,13.6,50.0,13.11666565835476,12.914399483692215,12.720647417550127,12.701546411280605,12.666652803610543,,
30,20180119.0,13.6,13.6,13.6,13.6,100.0,13.358332829177378,13.142932989128145,12.880529705268286,12.821340223109857,12.755543012790493,,
31,20180118.0,13.1,13.1,13.1,13.1,160.0,13.229166414588688,13.128621992752095,12.920433395219504,12.858494860028541,12.788348440143778,,
32,20180116.0,13.5,13.5,13.5,13.5,1400.0,13.364583207294345,13.25241466183473,13.025809141543233,12.9440288786914,12.856124779177705,,
33,20180115.0,13.5,13.5,13.5,13.5,1600.0,13.43229160364717,13.334943107889817,13.112025661262644,13.018158361532548,12.917446228779827,,
34,20180112.0,13.5,13.5,13.5,13.5,1000.0,13.466145801823586,13.389962071926544,13.182566450123984,13.082403913328209,12.972927540324605,,
35,20180111.0,13.5,13.5,13.5,13.5,3300.0,13.483072900911791,13.426641381284364,13.240281641010531,13.138083391551111,13.023124917436547,,
36,20180109.0,13.5,13.5,13.5,13.5,39.0,13.491536450455895,13.451094254189575,13.287503160826798,13.186338939344298,13.068541591966403,,
37,20180105.0,13.5,13.5,13.5,13.5,1000.0,13.49576822522795,13.467396169459715,13.326138949767378,13.228160414098394,13.109632868921981,,
38,20180104.0,13.5,12.2,13.5,12.2,1700.0,13.497884112613974,13.478264112973145,13.357750049809674,13.264405692218606,13.146810690929412,,
39,20180103.0,13.1,13.1,13.1,13.1,123.0,13.29894205630699,13.35217607531543,13.31088640438973,13.242484933256124,13.142352529888516,,
40,20180102.0,13.8,13.8,13.8,13.8,23.0,13.549471028153494,13.501450716876954,13.399816149046144,13.316820275488643,13.204985622280084,,
41,20171229.0,13.8,13.8,13.8,13.8,200.0,13.67473551407675,13.600967144584637,13.472576849219575,13.381244238756823,13.261653658253412,,
42,20171228.0,13.5,13.5,13.5,13.5,2000.0,13.587367757038372,13.56731142972309,13.477562876634194,13.397078340255913,13.284353309848322,,
43,20171227.0,13.5,13.5,13.5,13.5,700.0,13.543683878519186,13.544874286482061,13.481642353609795,13.410801228221793,13.304891089862767,,
44,20171226.0,13.5,13.4,13.5,13.4,2500.0,13.521841939259593,13.52991619098804,13.484980107498927,13.42269439779222,13.323472890828219,,
45,20171225.0,13.1,13.1,13.1,13.1,1443.0,13.310920969629795,13.386610793992029,13.414983724317299,13.379668478086591,13.302189758368387,,
46,20171222.0,13.1,13.1,13.1,13.1,2100.0,13.205460484814896,13.291073862661353,13.357713956259607,13.342379347675044,13.282933590904733,,
47,20171220.0,13.1,13.0,13.1,13.0,1700.0,13.152730242407449,13.227382575107567,13.310856873303317,13.31006210131837,13.2655113441519,,
48,20171219.0,13.3,13.3,13.3,13.0,4600.0,13.226365121203726,13.251588383405043,13.308882896339076,13.308720487809257,13.268795978042194,12.968,
49,20171218.0,13.2,13.2,13.2,13.2,8900.0,13.21318256060186,13.234392255603362,13.289086006095609,13.294224422768023,13.262243980133418,12.977098039215688,
50,20171214.0,13.2,13.2,13.2,13.2,500.0,13.20659128030093,13.22292817040224,13.27288855044186,13.281661166398953,13.256315982025471,12.98583929257978,
51,20171129.0,13.2,13.2,13.2,13.2,100.0,13.203295640150465,13.215285446934825,13.25963608672516,13.270773010879092,13.250952555165904,12.994237751694298,
52,20171127.0,14.5,14.5,14.5,14.5,1000.0,13.851647820075234,13.643523631289884,13.485156798229678,13.434669942761879,13.369909454673913,13.053287251627856,
53,20171123.0,14.5,14.5,14.5,14.5,1000.0,14.175823910037616,13.929015754193257,13.669673744006097,13.57671395039363,13.477537125657348,13.110021084897353,
54,20171122.0,14.5,14.5,14.5,14.5,1000.0,14.337911955018807,14.119343836128836,13.820642154186809,13.699818757007812,13.574914542261409,13.1645300619602,
55,20171121.0,14.5,14.5,14.5,14.5,1100.0,14.418955977509405,14.24622922408589,13.94416176251648,13.80650958940677,13.663017919188894,13.216901432079409,
56,20171117.0,14.0,14.1,14.1,14.0,3000.0,14.209477988754704,14.164152816057262,13.954314169331663,13.832308310819203,13.695111450694712,13.247611179840998,
