,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20130516.0,0.9,0.9,0.9,0.9,200.0,,,,,,,
1,20130515.0,1.0,0.8,1.0,0.8,200.0,0.9333333333333332,,,,,,
2,20130514.0,0.9,1.0,1.0,0.9,1500.0,0.9166666666666664,,,,,,
3,20130510.0,1.0,1.0,1.0,1.0,500.0,0.9583333333333331,0.9399999999999998,,,,,
4,20130508.0,1.1,1.0,1.1,1.0,2700.0,1.0291666666666668,0.9933333333333332,,,,,
5,20130507.0,1.1,1.1,1.1,1.1,3000.0,1.0645833333333337,1.0288888888888887,,,,,
6,20130506.0,1.2,1.2,1.2,1.2,1000.0,1.1322916666666667,1.0859259259259262,,,,,
7,20130503.0,1.3,1.3,1.3,1.3,100.0,1.2161458333333337,1.157283950617284,,,,,
8,20130416.0,1.4,1.4,1.4,1.4,100.0,1.3080729166666667,1.2381893004115228,1.0799999999999998,,,,
9,20130411.0,1.3,1.3,1.3,1.3,100.0,1.3040364583333337,1.258792866941015,1.12,,,,
10,20130410.0,1.2,1.2,1.2,1.2,1000.0,1.2520182291666664,1.239195244627343,1.1345454545454543,,,,
11,20130409.0,1.2,1.2,1.2,1.2,3000.0,1.2260091145833334,1.2261301630848958,1.1464462809917355,,,,
12,20130408.0,1.2,1.2,1.2,1.2,300.0,1.213004557291667,1.217420108723264,1.15618332081142,1.1214285714285712,,,
13,20130404.0,1.3,1.3,1.3,1.3,100.0,1.2565022786458333,1.2449467391488425,1.1823318079366163,1.1452380952380952,,,
14,20130401.0,1.2,1.2,1.2,1.2,200.0,1.2282511393229163,1.2299644927658953,1.1855442064935953,1.1525396825396823,,,
15,20130326.0,1.2,1.2,1.2,1.2,200.0,1.214125569661458,1.2199763285105967,1.188172532585669,1.1588677248677248,,,
16,20130325.0,1.2,1.2,1.2,1.2,300.0,1.2070627848307287,1.2133175523403978,1.1903229812064564,1.1643520282186945,,,
17,20130320.0,1.3,1.3,1.3,1.3,1000.0,1.2535313924153646,1.2422117015602652,1.2102642573507374,1.182438424456202,,,
