,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,29.6,29.6,29.6,29.6,10013.0,,,,,,,
1,20180518.0,29.0,29.0,29.0,29.0,17000.0,29.533333333333324,,,,,,
2,20180517.0,28.4,29.0,29.0,28.4,3000.0,28.96666666666666,,,,,,
3,20180516.0,28.0,28.5,28.5,28.0,4500.0,28.48333333333333,29.0,,,,,
4,20180515.0,29.0,29.0,29.0,29.0,5600.0,28.741666666666667,29.0,,,,,
5,20180509.0,29.0,29.0,29.0,29.0,9500.0,28.87083333333333,29.0,,,,,
6,20180508.0,29.0,29.0,29.0,29.0,1200.0,28.93541666666667,29.0,,,,,
7,20180507.0,29.0,29.0,29.0,29.0,4200.0,28.96770833333333,29.0,,,,,
8,20180504.0,29.0,29.0,29.0,29.0,10300.0,28.983854166666667,29.0,29.0,,,,
9,20180503.0,29.0,29.0,29.0,29.0,7000.0,28.99192708333333,29.0,29.0,,,,
10,20180502.0,30.0,29.0,30.0,29.0,1300.0,29.49596354166667,29.333333333333325,29.181818181818183,,,,
11,20180427.0,30.0,30.0,30.0,30.0,10000.0,29.74798177083333,29.555555555555557,29.33057851239669,,,,
12,20180424.0,30.0,30.0,30.0,30.0,8000.0,29.873990885416667,29.703703703703706,29.452291510142754,29.214285714285715,,,
13,20180423.0,30.0,29.6,30.0,29.6,11220.0,29.936995442708334,29.802469135802472,29.551874871934977,29.319047619047616,,,
14,20180419.0,29.0,29.5,29.5,29.0,3500.0,29.46849772135417,29.534979423868315,29.451533986128613,29.276507936507937,,,
15,20180418.0,29.6,30.0,30.0,29.6,1000.0,29.53424886067708,29.556652949245542,29.478527806832506,29.319640211640206,,,
16,20180417.0,29.5,29.5,29.5,29.5,100.0,29.51712443033854,29.53776863283036,29.48243184195387,29.343688183421516,,,
17,20180416.0,30.0,30.0,30.0,30.0,2000.0,29.758562215169274,29.691845755220236,29.5765351434168,29.43119642563198,,,
18,20180413.0,30.0,30.0,30.0,30.0,100.0,29.879281107584635,29.79456383681349,29.653528753704652,29.507036902214388,29.355,,
19,20180411.0,29.5,29.5,29.5,29.5,3000.0,29.689640553792312,29.696375891208998,29.62561443484927,29.506098648585798,29.368809523809524,,
