,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180514.0,47.5,45.0,47.5,45.0,2700.0,,,,,,,
1,20180508.0,47.5,48.0,48.0,47.5,200.0,47.5,,,,,,
2,20180507.0,48.6,48.6,48.6,48.6,100.0,48.05,,,,,,
3,20180504.0,47.0,47.0,47.0,47.0,200.0,47.525,47.62,,,,,
4,20180503.0,49.9,49.9,49.9,49.9,100.0,48.7125,48.38,,,,,
5,20180502.0,47.0,47.0,47.0,47.0,1400.0,47.85625,47.92,,,,,
6,20180427.0,47.0,47.0,47.0,47.0,1915.0,47.428125,47.613333333333316,,,,,
7,20180426.0,49.8,49.8,49.8,49.8,100.0,48.6140625,48.34222222222221,,,,,
8,20180424.0,47.3,47.3,47.3,47.3,900.0,47.95703124999999,47.99481481481481,47.91,,,,
9,20180423.0,47.3,47.4,47.5,47.3,10700.0,47.628515625,47.7632098765432,47.79909090909091,,,,
10,20180420.0,47.3,46.9,47.5,46.8,6900.0,47.4642578125,47.608806584362135,47.708347107438016,,,,
11,20180418.0,46.8,46.8,47.0,46.8,1000.0,47.132128906249996,47.339204389574746,47.54319308790383,,,,
12,20180417.0,46.8,46.8,46.8,46.8,200.0,46.966064453125,47.15946959304984,47.408067071921316,47.66428571428569,,,
13,20180413.0,46.8,46.8,46.8,46.8,20.0,46.8830322265625,47.03964639536655,47.297509422481085,47.54904761904761,,,
14,20180410.0,46.8,46.8,46.8,46.8,1000.0,46.84151611328125,46.95976426357769,47.20705316384816,47.44917460317459,,,
15,20180409.0,47.7,47.7,47.7,47.7,9.0,47.27075805664063,47.20650950905181,47.29667986133031,47.48261798941798,,,
16,20180406.0,47.7,46.0,47.7,46.0,1700.0,47.48537902832032,47.371006339367874,47.37001079563389,47.51160225749558,,,
17,20180405.0,47.3,47.2,47.3,47.2,1550.0,47.392689514160146,47.34733755957857,47.35728156006409,47.48338862316284,,,
18,20180404.0,46.0,46.2,46.2,46.0,4300.0,46.69634475708008,46.89822503971905,47.11050309459789,47.28560347340781,47.47999999999999,,
19,20180402.0,48.2,48.2,48.2,48.2,100.0,47.44817237854004,47.332150026479376,47.30859344103464,47.40752301028676,47.54857142857142,,
20,20180330.0,45.2,45.2,45.2,45.2,2500.0,46.32408618927002,46.62143335098625,46.925212815391966,47.113186608915186,47.32489795918368,,
21,20180329.0,48.0,47.3,48.0,47.3,2250.0,47.16204309463501,47.080955567324175,47.12062866713889,47.23142839439317,47.389193391642365,,
22,20180328.0,47.3,47.3,47.3,47.3,29.0,47.2310215473175,47.1539703782161,47.15324163675001,47.24057127514073,47.38069878291452,,
23,20180327.0,47.3,49.5,49.5,47.3,5750.0,47.26551077365875,47.20264691881074,47.179924975522724,47.248495105121975,47.37301318454171,,
24,20180326.0,47.3,47.8,47.8,47.3,2039.0,47.28275538682938,47.23509794587383,47.20175679815495,47.25536242443904,47.36605954791868,,
25,20180323.0,47.3,47.3,47.3,47.3,200.0,47.29137769341469,47.256731963915875,47.21961919849042,47.2613141011805,47.359768162402624,,
26,20180322.0,47.3,47.3,47.3,47.3,181.0,47.29568884670734,47.27115464261058,47.23423388967399,47.26647222102311,47.35407595645952,,
27,20180321.0,47.5,47.1,47.5,47.1,700.0,47.39784442335367,47.34743642840705,47.28255500064234,47.29760925822002,47.36797348441576,,
28,20180320.0,47.1,47.1,47.1,47.1,300.0,47.24892221167684,47.26495761893804,47.24936318234374,47.27126135712401,47.34245220018567,,
29,20180319.0,48.2,48.2,48.2,48.2,29.0,47.72446110583841,47.57663841262536,47.42220624009942,47.39509317617415,47.42412341921562,,
30,20180316.0,48.2,48.0,48.7,48.0,1470.0,47.96223055291921,47.78442560841691,47.563623287354076,47.5024140860176,47.498016426909366,,
31,20180315.0,48.0,48.0,48.0,48.0,1238.0,47.981115276459605,47.856283738944605,47.642964507835146,47.568758874548585,47.545824386251326,,
32,20180314.0,47.0,47.0,47.0,47.0,1100.0,47.490557638229795,47.57085582596307,47.52606187004694,47.49292435794211,47.49384111137025,,
33,20180313.0,46.8,46.5,46.9,46.5,1952.0,47.14527881911489,47.31390388397537,47.394050620947496,47.40053444354983,47.42776100552547,,
34,20180312.0,46.0,46.5,46.5,46.0,1560.0,46.57263940955744,46.87593592265025,47.14058687168431,47.213796517743184,47.291783766904,,
35,20180309.0,48.5,48.5,48.5,48.5,150.0,47.536319704778734,47.41729061510016,47.38775289501444,47.38529031537742,47.40685197957981,,
36,20180308.0,47.0,46.7,47.0,46.0,500.0,47.26815985238936,47.2781937434001,47.31725236864818,47.33391827332711,47.368104172000784,,
37,20180307.0,47.0,47.0,47.0,47.0,610.0,47.13407992619467,47.18546249560006,47.259570119803044,47.289395836883486,47.333046631810234,,
38,20180306.0,47.0,47.0,47.0,47.0,3200.0,47.06703996309734,47.123641663733366,47.21237555256613,47.250809725299014,47.30132790497116,,
39,20180305.0,48.0,48.0,48.5,48.0,1600.0,47.533519981548665,47.415761109155596,47.3555799975541,47.35070176192582,47.36786810449773,,
40,20180302.0,50.0,50.0,50.0,50.0,81.0,48.76675999077434,48.27717407277039,47.836383634362456,47.70394152700238,47.6185473326408,,
41,20180301.0,50.0,46.1,50.0,46.1,500.0,49.383379995387166,48.851449381846926,48.22976842811474,48.0100826567354,47.84535234857977,,
42,20180228.0,50.8,50.8,50.8,50.8,1600.0,50.09168999769357,49.500966254564624,48.69708325936659,48.38207163583735,48.126747363000746,,
43,20180227.0,50.9,50.9,50.9,50.9,200.0,50.49584499884679,49.96731083637641,49.09761357584539,48.717795417725696,48.39086666176257,,
44,20180223.0,51.0,51.0,51.0,51.0,200.0,50.747922499423396,50.311540557584266,49.44350201660078,49.022089362028936,48.63935555111852,,
45,20180221.0,53.0,56.8,56.8,48.1,2381.0,51.8739612497117,51.20769370505617,50.09013801358246,49.55247744709175,49.05465502244056,,
46,20180213.0,52.0,49.9,52.8,49.9,1000.0,51.93698062485585,51.47179580337079,50.43738564747655,49.87881378747952,49.33516406792241,,
47,20180209.0,48.1,48.8,48.8,48.1,1101.0,50.01849031242793,50.347863868913855,50.01240643884445,49.64163861581559,49.217529394786936,,
48,20180208.0,49.1,49.5,49.5,49.1,700.0,49.559245156213954,49.93190924594258,49.84651435905456,49.569420133706835,49.20633611909295,47.97399999999999,
49,20180207.0,49.7,49.0,49.7,49.0,400.0,49.62962257810697,49.85460616396172,49.81987538468101,49.58683078254592,49.25335172679837,48.04168627450979,
50,20180206.0,49.0,48.0,49.0,48.0,11620.0,49.314811289053495,49.56973744264114,49.67080713292082,49.50858667820648,49.22922299091282,48.07926720492116,
51,20180205.0,48.0,48.0,48.0,48.0,700.0,48.65740564452675,49.04649162842743,49.367024017844315,49.30744178777895,49.1121541346354,48.076158687081126,
52,20180202.0,49.5,49.9,49.9,49.5,1700.0,49.07870282226337,49.19766108561829,49.391201469145344,49.33311621607508,49.14909183609869,48.13199560131324,
53,20180201.0,49.2,50.0,50.0,49.2,4620.0,49.13935141113168,49.19844072374552,49.35643756566437,49.31536738726506,49.15394023266072,48.17387812675193,
54,20180131.0,49.9,49.9,49.9,49.9,103.0,49.51967570556585,49.43229381583034,49.45526709917994,49.3933184022964,49.22499354383591,48.241569180604806,
55,20180130.0,49.9,49.5,49.9,49.0,2012.0,49.70983785278292,49.58819587722023,49.53612762660177,49.460875948656884,49.289279872994385,48.306605683326175,
56,20180129.0,49.0,48.0,49.0,48.0,2800.0,49.35491892639146,49.392130584813486,49.43864987631054,49.39942582216928,49.261729408899676,48.333797617313394,
57,20180126.0,49.0,51.0,51.0,48.0,4385.0,49.17745946319573,49.261420389875646,49.35889535334497,49.34616904588005,49.23680279852829,48.35992320094816,
58,20180125.0,49.0,49.0,49.0,49.0,200.0,49.088729731597866,49.174280259917104,49.2936416527368,49.300013173096055,49.214250151049406,48.385024251891366,
59,20180122.0,49.0,49.0,49.0,49.0,300.0,49.044364865798926,49.11618683994474,49.24025226133011,49.260011416683234,49.19384537475898,48.40914094789562,
60,20180119.0,48.5,48.5,48.5,48.5,200.0,48.77218243289946,48.910791226629826,49.10566094108827,49.15867656112547,49.12776486287717,48.41270404797815,
61,20180118.0,48.5,48.5,48.5,48.5,168.0,48.63609121644973,48.77386081775321,48.99554076998132,49.07085301964208,49.06797773307936,48.41612741864569,
62,20180117.0,48.5,48.5,48.5,48.5,256.0,48.56804560822486,48.682573878502154,48.905442448166525,48.994739283689796,49.01388461564322,48.4194165394831,
