,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180518.0,21.3,21.3,21.3,21.3,900.0,,,,,,,
1,20180516.0,23.0,27.0,27.0,23.0,200.0,20.83333333333333,,,,,,
2,20180509.0,23.5,23.5,23.5,23.5,100.0,22.16666666666666,,,,,,
3,20180504.0,23.6,25.5,25.5,23.6,1500.0,22.88333333333333,21.92,,,,,
4,20180502.0,24.0,24.0,24.0,24.0,50.0,23.44166666666666,22.61333333333333,,,,,
5,20180427.0,24.0,24.0,24.0,24.0,100.0,23.72083333333333,23.075555555555557,,,,,
6,20180424.0,23.9,23.1,23.9,23.1,371100.0,23.810416666666658,23.350370370370364,,,,,
7,20180423.0,23.9,22.9,23.9,22.1,203600.0,23.85520833333333,23.533580246913576,,,,,
8,20180420.0,21.9,22.0,22.0,19.0,103900.0,22.87760416666666,22.989053497942383,22.73,,,,
9,20180419.0,20.0,20.0,20.0,20.0,100.0,21.43880208333333,21.992702331961592,22.233636363636364,,,,
10,20180418.0,21.8,21.8,21.8,21.8,100.0,21.619401041666663,21.928468221307728,22.154793388429752,,,,
11,20180417.0,19.5,19.5,19.5,19.5,8.0,20.559700520833328,21.118978814205157,21.672103681442525,,,,
12,20180413.0,19.5,19.5,19.5,19.5,104.0,20.029850260416666,20.579319209470107,21.277175739362065,22.007142857142853,,,
13,20180410.0,19.5,19.5,19.5,19.5,100.0,19.764925130208326,20.219546139646734,20.954052877659873,21.672857142857147,,,
14,20180409.0,15.5,18.8,18.8,15.5,2304.0,17.632462565104166,18.646364093097823,19.962406899903527,20.84980952380953,,,
15,20180406.0,18.0,18.0,18.0,18.0,500.0,17.81623128255208,18.430909395398547,19.60560564537561,20.469834920634923,,,
16,20180405.0,19.0,19.5,19.5,19.0,700.0,18.408115641276037,18.620606263599033,19.495495528034596,20.27385693121693,,,
17,20180404.0,21.5,21.5,21.5,21.5,100.0,19.95405782063802,19.58040417573269,19.85995088657376,20.437342673721343,,,
18,20180403.0,19.7,19.7,19.7,19.7,100.0,19.827028910319008,19.620269450488454,19.830868907196717,20.33903031722516,21.065,,
19,20180402.0,17.2,17.2,17.2,17.2,500.0,18.513514455159502,18.813512966992302,19.352529105888216,19.920492941595143,20.69690476190476,,
20,20180330.0,18.5,18.5,18.5,18.5,100.0,18.50675722757975,18.709008644661537,19.197523813908543,19.73109388271579,20.487675736961446,,
21,20180329.0,18.0,18.0,18.0,18.0,1400.0,18.25337861378988,18.472672429774363,18.979792211379717,19.500281365020353,20.250754238203218,,
22,20180328.0,18.0,18.0,18.0,18.0,200.0,18.12668930689494,18.315114953182906,18.80164817294704,19.300243849684303,20.036396691707672,,
