,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180417.0,55.0,55.0,55.0,55.0,500.0,,,,,,,
1,20180413.0,52.0,52.0,52.0,52.0,2700.0,54.06666666666666,,,,,,
2,20180412.0,56.0,56.0,56.0,56.0,3400.0,55.03333333333332,,,,,,
3,20180405.0,51.0,51.0,51.0,51.0,100.0,53.016666666666666,53.84,,,,,
4,20180404.0,53.9,53.9,53.9,53.9,200.0,53.45833333333332,53.86,,,,,
5,20180403.0,49.0,49.0,49.0,49.0,100.0,51.229166666666664,52.24,,,,,
6,20180328.0,45.9,45.9,45.9,45.9,200.0,48.56458333333332,50.126666666666665,,,,,
7,20180327.0,50.9,50.9,50.9,50.9,102.0,49.73229166666666,50.38444444444445,,,,,
8,20180322.0,56.4,56.4,56.4,56.4,50.0,53.06614583333334,52.389629629629624,52.53,,,,
9,20180319.0,56.4,56.4,56.4,56.4,2.0,54.73307291666668,53.72641975308641,53.23363636363636,,,,
10,20180308.0,56.4,56.4,56.4,56.4,500.0,55.566536458333324,54.61761316872429,53.8093388429752,,,,
11,20180307.0,52.0,52.0,52.0,52.0,200.0,53.783268229166666,53.74507544581618,53.48036814425244,,,,
12,20180206.0,54.4,50.5,54.4,46.2,703.0,54.09163411458333,53.963383630544115,53.64757393620654,53.17857142857142,,,
13,20180205.0,50.6,50.6,50.6,50.6,100.0,52.345817057291676,52.84225575369607,53.09346958416898,52.8347619047619,,,
14,20180124.0,55.0,55.0,55.0,55.0,22400.0,53.672908528645834,53.56150383579738,53.44011147795644,53.123460317460314,,,
15,20180119.0,55.0,55.0,55.0,55.0,2.0,54.33645426432292,54.041002557198254,53.72372757287344,53.3736656084656,,,
16,20180118.0,55.0,55.0,55.0,55.0,550.0,54.668227132161455,54.36066837146551,53.95577710507828,53.59051019400353,,,
17,20180116.0,55.0,55.0,55.0,55.0,7901.0,54.83411356608073,54.57377891431034,54.14563581324586,53.77844216813639,,,
18,20180115.0,55.1,55.2,55.2,55.1,1900.0,54.967056783040356,54.74918594287356,54.319156574473894,53.95464987905153,53.509999999999984,,
19,20180110.0,55.0,55.0,55.0,55.0,2409.0,54.983528391520174,54.832790628582366,54.44294628820592,54.094029895178,53.65190476190475,,
20,20180109.0,55.0,55.0,55.0,55.0,100.0,54.99176419576009,54.888527085721584,54.54422878125938,54.21482590915427,53.780294784580484,,
21,20180108.0,55.0,55.0,55.0,55.0,300.0,54.99588209788004,54.925684723814385,54.627096275575845,54.319515787933696,53.89645718604901,,
22,20180104.0,55.0,50.6,55.0,50.6,246.0,54.99794104894002,54.95045648254292,54.694896952743875,54.41024701620922,54.0015565016634,,
23,20171229.0,55.0,55.0,55.0,55.0,40.0,54.99897052447,54.96697098836195,54.750370234063176,54.488880747381316,54.096646358647824,,
24,20171228.0,55.0,49.6,55.0,49.6,200.0,54.99948526223501,54.97798065890797,54.79575746423351,54.5570299810638,54.18268003877661,,
25,20171226.0,55.0,55.0,55.0,55.0,1800.0,54.9997426311175,54.98532043927199,54.8328924707365,54.6160926502553,54.26052003508359,,
