,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,14.5,14.7,14.7,14.4,275130.0,,,,,,,
1,20180518.0,14.7,14.6,14.8,14.3,219830.0,14.533333333333331,,,,,,
2,20180517.0,14.6,14.5,14.7,14.4,280480.0,14.566666666666666,,,,,,
3,20180516.0,14.5,14.6,14.6,14.3,289120.0,14.533333333333331,14.539999999999997,,,,,
4,20180515.0,14.6,14.5,14.6,14.4,116040.0,14.566666666666666,14.559999999999997,,,,,
5,20180514.0,14.5,14.3,14.5,14.0,169550.0,14.533333333333331,14.54,,,,,
6,20180511.0,14.3,14.0,14.3,13.7,212370.0,14.41666666666667,14.46,,,,,
7,20180510.0,14.0,14.0,14.1,14.0,40450.0,14.208333333333332,14.306666666666665,,,,,
8,20180509.0,14.0,14.0,14.1,14.0,91400.0,14.10416666666667,14.204444444444444,14.409999999999997,,,,
9,20180508.0,14.1,14.25,14.25,14.0,169490.0,14.10208333333333,14.169629629629629,14.353636363636362,,,,
10,20180507.0,14.2,13.9,14.2,13.9,193230.0,14.151041666666666,14.179753086419753,14.325702479338839,,,,
11,20180504.0,13.9,13.8,13.9,13.8,105920.0,14.02552083333333,14.086502057613169,14.24830202854996,,,,
12,20180503.0,13.8,13.6,13.8,13.5,218390.0,13.91276041666667,13.99100137174211,14.166792568813603,14.292857142857143,,,
13,20180502.0,13.6,13.8,14.2,13.6,205480.0,13.756380208333333,13.860667581161408,14.063739374483855,14.20047619047619,,,
14,20180427.0,13.85,13.85,13.95,13.8,246520.0,13.803190104166669,13.857111720774272,14.024877670032247,14.153746031746032,,,
15,20180426.0,13.85,13.6,13.9,13.6,105430.0,13.826595052083333,13.854741147182848,13.993081730026384,14.113246560846562,,,
16,20180424.0,13.85,13.7,13.85,13.6,231510.0,13.838297526041668,13.853160764788562,13.967066870021586,14.078147019400351,,,
17,20180423.0,13.7,14.5,14.6,13.7,210990.0,13.76914876302083,13.802107176525713,13.918509257290388,14.02772741681364,,,
18,20180420.0,14.5,14.45,14.7,14.4,140430.0,14.134574381510417,14.034738117683807,14.024234846873954,14.090697094571823,14.172499999999998,,
19,20180419.0,14.45,14.6,14.7,14.1,265430.0,14.292287190755207,14.173158745122537,14.101646692896873,14.138604148628911,14.198928571428567,,
20,20180418.0,14.6,14.9,14.9,14.6,106170.0,14.446143595377603,14.315439163415023,14.192256385097442,14.20012359547839,14.237125850340131,,
21,20180417.0,14.9,14.7,15.1,14.65,250810.0,14.673071797688802,14.510292775610017,14.320937042352451,14.293440449414605,14.300256721736307,,
22,20180416.0,14.7,14.7,14.85,14.5,177570.0,14.6865358988444,14.573528517073344,14.38985758010655,14.347648389492656,14.338327510142374,,
23,20180413.0,14.7,15.2,15.2,14.6,108230.0,14.693267949422202,14.615685678048896,14.44624711099627,14.39462860422697,14.372772509176432,,
24,20180412.0,15.2,15.1,15.3,14.75,234600.0,14.946633974711101,14.810457118699263,14.583293090815129,14.502011456996703,14.45155607973106,,
25,20180411.0,15.3,15.95,16.05,15.0,257510.0,15.123316987355553,14.973638079132838,14.713603437939648,14.608409929397146,14.532360262613818,,
26,20180410.0,15.8,15.95,16.05,15.75,296000.0,15.461658493677776,15.249092052755229,14.911130085586986,14.767288605477523,14.653087856650595,,
27,20180409.0,15.9,15.85,16.2,15.85,130710.0,15.680829246838886,15.466061368503485,15.09092461548026,14.918316791413853,14.771841394112442,,
28,20180406.0,15.7,15.7,15.85,15.6,321300.0,15.690414623419443,15.544040912335655,15.201665594483849,15.02254121922534,14.860237451816019,,
29,20180405.0,15.6,15.5,15.6,15.4,221720.0,15.645207311709722,15.562693941557104,15.274090031850426,15.099535723328627,14.93069102783354,,
30,20180404.0,15.5,15.6,15.7,15.4,182190.0,15.572603655854861,15.541795961038067,15.315164571513984,15.152930960218145,14.984910929944634,,
31,20180403.0,15.3,14.9,15.5,14.8,242520.0,15.43630182792743,15.461197307358713,15.31240737669326,15.172540165522394,15.014919412807046,,
32,20180402.0,14.95,14.9,15.0,14.8,201170.0,15.193150913963715,15.290798204905808,15.246515126385395,15.14286814345274,15.008736611587327,,
33,20180330.0,14.9,14.75,15.0,14.7,306580.0,15.046575456981856,15.160532136603871,15.183512376133503,15.11048572432571,14.998380743817107,,
34,20180329.0,14.8,14.9,15.0,14.75,344730.0,14.923287728490928,15.040354757735917,15.11378285320014,15.069087627748944,14.979487339644049,,
35,20180328.0,14.85,14.7,15.0,14.7,296550.0,14.886643864245466,14.976903171823942,15.06582233443648,15.039875944049085,14.967155212058898,,
36,20180327.0,14.8,15.1,15.2,14.8,180630.0,14.843321932122732,14.917935447882627,15.017491000902572,15.007892484842541,14.951235668053293,,
37,20180326.0,15.0,14.8,15.1,14.7,172510.0,14.921660966061369,14.94529029858842,15.014310818920288,15.006840153530202,14.955879890143455,,
38,20180323.0,14.65,14.6,14.9,14.6,135390.0,14.785830483030681,14.846860199058947,14.948072488207508,14.959261466392842,14.926748472034557,,
39,20180322.0,15.6,16.0,16.0,15.5,215660.0,15.19291524151534,15.09790679937263,15.066604763078868,15.044693270873795,14.990867665174118,,
40,20180321.0,16.0,16.3,16.7,16.0,339080.0,15.59645762075767,15.398604532915085,15.23631298797362,15.172067501423955,15.086975506586109,,
41,20180320.0,16.149999999999995,16.0,16.2,16.0,205550.0,15.873228810378832,15.649069688610055,15.402437899251142,15.302458501234096,15.188215934530291,,
42,20180319.0,16.1,15.6,16.1,15.5,297470.0,15.986614405189414,15.799379792406704,15.529267372114573,15.408797367736218,15.275052512194074,,
43,20180316.0,15.7,16.1,16.1,15.5,207910.0,15.843307202594707,15.766253194937805,15.56030966809374,15.44762438537139,15.315523701508921,,
44,20180315.0,16.0,16.5,16.6,15.85,522190.0,15.921653601297354,15.844168796625203,15.640253364803968,15.521274467321868,15.380711920412836,,
45,20180314.0,16.8,16.899999999999995,17.2,16.7,250220.0,16.360826800648674,16.162779197750137,15.851116389385062,15.691771205012286,15.51588221370685,,
46,20180313.0,16.95,16.95,17.0,16.8,224500.0,16.65541340032434,16.425186131833424,16.05091340949687,15.85953504434398,15.652464860020483,,
47,20180312.0,16.899999999999995,17.2,17.3,16.899999999999995,211160.0,16.77770670016217,16.583457421222278,16.20529278958835,15.998263705098115,15.771277730494724,,
48,20180309.0,17.0,17.2,17.2,16.899999999999995,197720.0,16.888853350081085,16.72230494748152,16.349785009663194,16.13182854441837,15.888298899019036,14.964999999999996,
49,20180308.0,17.1,17.6,17.6,17.0,204230.0,16.994426675040543,16.84820329832101,16.486187735178977,16.260918071829252,16.003699003874363,15.048725490196077,
50,20180307.0,17.1,17.5,17.5,17.05,232880.0,17.047213337520272,16.93213553221401,16.597789965146436,16.37279566225202,16.108108622552994,15.129167627835447,
51,20180306.0,17.5,17.1,17.6,17.1,207390.0,17.273606668760134,17.121423688142674,16.76182815330163,16.52308957395175,16.240669706119377,15.222141446351703,
52,20180305.0,17.2,16.899999999999995,17.6,16.899999999999995,269010.0,17.23680333438007,17.147615792095117,16.84149576179224,16.61334429742485,16.33203449601277,15.29970452688693,
53,20180302.0,17.0,16.2,17.0,16.2,203440.0,17.118401667190035,17.09841052806341,16.870314714193654,16.664898391101534,16.395650258297266,15.366382780734503,
54,20180301.0,16.8,17.0,17.399999999999995,16.8,158380.0,16.95920083359502,16.998940352042275,16.8575302207039,16.682911938954664,16.434159757507054,15.422603063842951,
55,20180228.0,17.5,18.5,18.5,17.5,288090.0,17.229600416797506,17.16596023469485,16.974342907848644,16.79185701376071,16.535668352030193,15.504069610358915,
56,20180227.0,18.55,18.7,18.8,18.5,297820.0,17.889800208398754,17.6273068231299,17.260826015512528,17.026276078592613,16.72750946136065,15.623517860933076,
57,20180226.0,18.7,18.5,19.0,18.4,340210.0,18.294900104199375,17.984871215419933,17.522494012692068,17.249439268113598,16.915365703135826,15.744164219327857,
58,20180223.0,18.2,18.1,18.3,17.899999999999995,266450.0,18.247450052099687,18.056580810279954,17.645676919475328,17.37618069903178,17.0377118266467,15.840471504844409,
59,20180222.0,18.0,17.649999999999995,18.1,17.6,220250.0,18.123725026049843,18.03772054018664,17.710099297752542,17.459356605827548,17.129358319347013,15.925158896811295,
60,20180221.0,17.899999999999995,16.899999999999995,17.899999999999995,16.899999999999995,243430.0,18.011862513024923,17.991813693457757,17.74462669816117,17.518109058383875,17.20275276512349,16.002603645955947,
61,20180213.0,17.1,17.2,17.2,16.6,228960.0,17.555931256512462,17.694542462305172,17.62742184395005,17.462361183932693,17.19296678749268,16.045638797094934,
62,20180212.0,17.399999999999995,17.2,17.45,16.6,224990.0,17.47796562825623,17.59636164153678,17.586072417777313,17.454046359408334,17.2126842363029,16.098751001130427,
63,20180209.0,17.399999999999995,17.3,17.45,17.1,304430.0,17.438982814128114,17.53090776102452,17.552241069090528,17.446840178153888,17.230523832845474,16.149780373635117,
64,20180208.0,17.399999999999995,17.3,17.55,17.2,321230.0,17.419491407064058,17.48727184068301,17.52456087471043,17.440594821066703,17.24666442019353,16.198808594276876,
65,20180207.0,17.0,16.399999999999995,17.0,16.0,404890.0,17.20974570353203,17.324847893788675,17.429186170217626,17.381848844924477,17.22317257065129,16.23022786508955,
66,20180206.0,15.9,16.7,16.7,15.65,213750.0,16.554872851766014,16.849898595859116,17.15115232108715,17.184268998934545,17.097156135351163,16.217277752733093,
67,20180205.0,16.8,17.1,17.1,16.8,204200.0,16.67743642588301,16.83326573057274,17.08730644452585,17.13303313240994,17.068855551032005,16.24012960556709,
68,20180202.0,17.0,16.899999999999995,17.1,16.8,752770.0,16.838718212941505,16.888843820381826,17.07143254552115,17.115295381421948,17.062297879505152,16.26992844456446,
69,20180201.0,16.899999999999995,17.05,17.1,16.8,654690.0,16.869359106470753,16.89256254692122,17.040262991790033,17.086589330565687,17.0468409385999,16.294637133012912,
70,20180131.0,17.0,17.1,17.2,16.899999999999995,230960.0,16.934679553235377,16.92837503128081,17.03294244782821,17.075044086490262,17.042379896828482,16.32229842191437,
71,20180130.0,17.0,17.0,17.1,16.899999999999995,281050.0,16.96733977661769,16.952250020853874,17.026952911859443,17.065038208291558,17.03834371617815,16.348874954388315,
72,20180129.0,17.0,17.2,17.399999999999995,17.0,370160.0,16.983669888308846,16.96816668056925,17.022052382430452,17.05636644718602,17.034691933684993,16.374409269902497,
73,20180126.0,17.399999999999995,17.3,17.55,16.899999999999995,337490.0,17.191834944154422,17.1121111203795,17.09077013107946,17.102184254227883,17.069483178095947,16.414628514220045,
74,20180125.0,17.2,17.25,17.3,17.0,229760.0,17.195917472077213,17.141407413586332,17.11063010724683,17.115226353664166,17.08191335161062,16.445427396015333,
75,20180122.0,17.149999999999995,17.05,17.2,17.0,212260.0,17.172958736038606,17.144271609057554,17.117788269565587,17.119862839842277,17.08839779431437,16.473057694210812,
76,20180119.0,17.0,16.6,17.5,16.6,202570.0,17.0864793680193,17.096181072705036,17.09637222055366,17.103881127863307,17.079978956760623,16.49372209835941,
77,20180118.0,16.6,16.399999999999995,17.0,16.399999999999995,209930.0,16.84323968400965,16.93078738180336,17.006122725907538,17.036696977481533,17.034266675164375,16.497889859208062,
78,20180117.0,16.399999999999995,17.8,17.8,16.399999999999995,638080.0,16.621619842004826,16.753858254535572,16.895918593924353,16.951804047150663,16.97386032514872,16.4940510411999,
79,20180116.0,17.6,17.3,17.75,17.2,554890.0,17.110809921002414,17.035905503023717,17.02393339502902,17.038230174197242,17.033492675134557,16.537421588603827,
80,20180115.0,17.55,17.1,17.6,17.1,442610.0,17.330404960501202,17.207270335349147,17.119581868660102,17.10646615097094,17.082683848931264,16.57713054591348,
81,20180112.0,17.5,17.3,17.6,16.6,624450.0,17.415202480250603,17.304846890232763,17.188748801630993,17.158937330841482,17.12242824427114,16.613321504897264,
82,20180111.0,17.5,17.2,17.55,16.95,464130.0,17.4576012401253,17.369897926821842,17.245339928607173,17.204412353395952,17.158387459102464,16.648093210587568,
83,20180110.0,17.25,16.899999999999995,17.3,16.8,219610.0,17.35380062006265,17.32993195121456,17.24618721431496,17.21049070627649,17.167112462997466,16.671697398407662,
84,20180109.0,17.1,17.1,17.2,16.85,202190.0,17.226900310031326,17.253287967476375,17.21960772080315,17.195758612106292,17.16072079985485,16.688493578862264,
85,20180108.0,17.2,17.05,17.2,16.85,232070.0,17.213450155015664,17.235525311650914,17.21604268065712,17.196324130492123,17.16446167605915,16.708552654201,
86,20180105.0,16.899999999999995,16.55,17.1,16.55,234760.0,17.056725077507835,17.12368354110061,17.158580375083098,17.156814246426503,17.139274849767805,16.71606039325194,
87,20180104.0,16.8,17.1,17.1,16.8,265770.0,16.928362538753916,17.01578902740041,17.09338394324981,17.109239013569635,17.10696295931373,16.719352142536177,
88,20180103.0,16.8,16.5,17.1,16.399999999999995,330440.0,16.864181269376957,16.943859351600274,17.040041408113478,17.068007145093684,17.07772839176004,16.72251480361319,
89,20180102.0,16.399999999999995,16.399999999999995,17.0,16.0,246050.0,16.632090634688478,16.76257290106685,16.92367024300194,16.978939525747858,17.013182830640034,16.70986716425581,
90,20171229.0,16.1,16.5,16.5,16.1,268860.0,16.366045317344238,16.5417152673779,16.77391201700159,16.861747588981476,16.92621303724575,16.68595080487323,
91,20171228.0,16.2,15.9,16.2,15.7,260870.0,16.283022658672117,16.42781017825193,16.669564377546756,16.773514577117275,16.85704989084139,16.666893910564475,
