,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,14.45,14.45,14.45,14.45,221350.0,,,,,,,
1,20180518.0,14.45,14.4,14.5,13.9,18510.0,14.433333333333332,,,,,,
2,20180517.0,14.5,14.45,14.6,14.4,9220.0,14.466666666666663,,,,,,
3,20180516.0,14.4,14.25,14.6,14.0,19490.0,14.433333333333332,14.44,,,,,
4,20180515.0,14.2,13.85,14.2,13.85,20310.0,14.316666666666666,14.36,,,,,
5,20180514.0,14.1,14.1,14.1,13.9,4160.0,14.20833333333333,14.27333333333333,,,,,
6,20180511.0,14.0,14.0,14.3,13.95,12360.0,14.104166666666666,14.182222222222224,,,,,
7,20180510.0,14.0,14.2,14.2,13.2,146780.0,14.05208333333333,14.12148148148148,,,,,
8,20180509.0,14.15,14.1,14.5,13.65,140.0,14.10104166666667,14.13098765432099,14.265,,,,
9,20180508.0,14.1,14.15,14.6,13.7,104130.0,14.100520833333334,14.120658436213994,14.235,,,,
10,20180507.0,14.15,14.4,14.8,14.05,189690.0,14.125260416666666,14.130438957475997,14.219545454545456,,,,
11,20180504.0,14.4,13.85,14.4,13.8,28240.0,14.262630208333334,14.22029263831733,14.252355371900828,,,,
12,20180503.0,13.7,13.9,13.95,13.5,43380.0,13.981315104166665,14.04686175887822,14.151927122464311,14.214285714285712,,,
13,20180502.0,13.7,13.6,13.9,13.5,39420.0,13.84065755208333,13.93124117258548,14.06975855474353,14.145714285714282,,,
14,20180427.0,13.8,13.5,13.85,13.4,21610.0,13.820328776041666,13.887494115056986,14.02071154479016,14.099619047619049,,,
15,20180426.0,13.55,13.85,13.95,13.55,66520.0,13.685164388020834,13.774996076704658,13.935127627555584,14.02633650793651,,,
16,20180424.0,13.8,13.8,14.1,13.4,236150.0,13.742582194010415,13.783330717803105,13.910558968000023,13.996158306878307,,,
17,20180423.0,13.4,13.4,13.7,13.3,411140.0,13.57129109700521,13.655553811868739,13.817730064727293,13.916670532627869,,,
18,20180420.0,13.65,13.4,13.65,13.35,33630.0,13.610645548502605,13.653702541245824,13.787233689322333,13.881114461610816,14.044999999999996,,
19,20180419.0,13.45,13.6,13.6,13.4,18260.0,13.5303227742513,13.585801694163882,13.72591847308191,13.823632533396042,13.98833333333333,,
20,20180418.0,13.8,13.8,13.8,13.6,21270.0,13.66516138712565,13.657201129442589,13.739387841612473,13.820481528943235,13.970396825396826,,
21,20180417.0,13.8,13.65,14.0,13.4,95310.0,13.732580693562824,13.704800752961726,13.750408234046569,13.817750658417472,13.95416855631141,,
22,20180416.0,13.4,13.65,14.15,13.35,326250.0,13.566290346781411,13.60320050197448,13.686697646038098,13.762050570628476,13.90139059856747,,
23,20180413.0,14.35,14.55,14.7,14.3,122250.0,13.958145173390704,13.852133667982992,13.807298074031172,13.840443827878012,13.944115303465805,,
24,20180412.0,14.7,14.95,15.1,14.65,73570.0,14.329072586695352,14.134755778655329,13.969607515116415,13.955051317494275,14.016104322183347,,
25,20180411.0,14.95,15.5,15.5,14.95,110660.0,14.639536293347676,14.406503852436884,14.147860694186159,14.087711141828374,14.105046767689695,,
26,20180410.0,15.4,15.6,15.6,15.0,107250.0,15.019768146673837,14.737669234957924,14.37552238615231,14.262682989584592,14.228375646957343,,
27,20180409.0,15.6,15.45,15.7,15.3,189250.0,15.30988407333692,15.02511282330528,14.598154679579165,14.440991924306644,14.35900653772331,,
28,20180406.0,15.35,15.1,15.6,15.1,74560.0,15.329942036668461,15.13340854887019,14.734853828746589,14.562193001065756,14.45338686746395,,
29,20180405.0,15.2,15.35,15.45,15.05,158300.0,15.264971018334228,15.15560569924679,14.819425859883571,14.647233934256988,14.524492880086429,,
30,20180404.0,15.5,15.8,15.9,15.45,240040.0,15.382485509167113,15.27040379949786,14.943166612632012,14.760936076356058,14.617398320078198,,
31,20180403.0,15.8,15.8,15.8,15.35,137430.0,15.591242754583556,15.446935866331907,15.098954501244375,14.899477932841917,14.730027051499322,,
32,20180402.0,15.8,15.15,16.1,15.15,390020.0,15.69562137729178,15.564623910887939,15.226417319199943,15.019547541796326,14.831929237070815,,
33,20180330.0,15.5,15.35,15.9,15.3,175060.0,15.597810688645888,15.543082607258624,15.276159624799952,15.083607869556818,14.895555024016451,,
34,20180329.0,15.6,15.7,16.2,15.4,80960.0,15.598905344322944,15.562055071505748,15.335039693018144,15.152460153615907,14.962645021729168,,
35,20180328.0,15.7,14.8,15.8,14.75,225120.0,15.649452672161472,15.608036714337166,15.401396112469389,15.22546546646712,15.03286930537401,,
36,20180327.0,14.9,14.65,14.9,14.55,96990.0,15.274726336080736,15.372024476224775,15.310233182929501,15.182070070938172,15.020215085814579,,
37,20180326.0,14.65,14.55,14.9,14.3,79270.0,14.962363168040367,15.131349650816516,15.190190786033229,15.111127394813085,14.98495650621319,,
38,20180323.0,14.5,14.4,14.6,14.1,118590.0,14.731181584020186,14.920899767211012,15.064701552209005,15.029643742171341,14.938770172288125,,
39,20180322.0,14.35,14.3,14.6,14.25,50700.0,14.540590792010093,14.73059984480734,14.934755815443731,14.939024576548492,14.8826968225464,,
40,20180321.0,14.0,14.0,14.45,13.95,88080.0,14.270295396005046,14.487066563204893,14.764800212635778,14.81382129967536,14.798630458494362,,
41,20180320.0,14.25,14.25,14.35,14.25,17190.0,14.260147698002525,14.40804437546993,14.671200173974727,14.738645126385313,14.746379938637757,,
42,20180319.0,14.3,13.9,14.5,13.85,63380.0,14.280073849001262,14.37202958364662,14.60370923325205,14.680159109533935,14.703867563529398,,
43,20180316.0,13.9,14.3,14.45,13.7,83860.0,14.09003692450063,14.214686389097746,14.475762099933497,14.576137894929412,14.627308747955167,,
44,20180315.0,14.0,14.5,14.5,14.0,59460.0,14.045018462250317,14.143124259398498,14.389259899945587,14.499319508938822,14.567565057673725,,
45,20180314.0,14.5,14.55,14.6,14.35,81730.0,14.272509231125156,14.262082839598996,14.409394463591843,14.499410241080314,14.561130290276227,,
46,20180313.0,14.5,14.4,14.5,14.25,43760.0,14.386254615562578,14.341388559732664,14.425868197484236,14.499488875602937,14.555308357868967,,
47,20180312.0,14.5,14.45,14.7,14.35,99270.0,14.443127307781287,14.394259039821776,14.439346707032557,14.499557025522547,14.550040895214782,,
48,20180309.0,14.4,13.85,14.7,13.8,205330.0,14.421563653890644,14.396172693214519,14.432192760299364,14.486282755452873,14.535751286146704,14.431,
49,20180308.0,13.75,13.95,13.95,13.6,60540.0,14.085781826945322,14.180781795476344,14.308157712972209,14.388111721392491,14.460917830323206,14.404294117647058,
50,20180307.0,13.9,13.95,14.15,13.75,45740.0,13.99289091347266,14.087187863650897,14.233947219704534,14.323030158540156,14.407497084578141,14.38451787773933,
51,20180306.0,14.0,13.55,14.0,13.55,13290.0,13.99644545673633,14.058125242433933,14.191411361576435,14.279959470734802,14.368687838427844,14.369438745278963,
52,20180305.0,14.0,14.0,14.2,13.6,76960.0,13.998222728368162,14.038750161622621,14.156609295835267,14.242631541303496,14.333574710958525,14.354950951346455,
53,20180302.0,14.0,14.0,14.1,13.9,50640.0,13.999111364184085,14.02583344108175,14.128134878410672,14.210280669129698,14.301805690867235,14.341031306195614,
54,20180301.0,14.0,14.0,14.05,14.0,31440.0,13.99955568209204,14.017222294054498,14.10483762779055,14.182243246579072,14.273062291737023,14.327657529482064,
55,20180228.0,14.1,13.95,14.1,13.75,31800.0,14.04977784104602,14.044814862702998,14.10395805910136,14.171277480368529,14.25658016871445,14.318729783227862,
56,20180227.0,14.0,14.45,14.45,13.1,124890.0,14.024888920523008,14.029876575135331,14.0850565938102,14.14844048298606,14.232143962170218,14.306230576042454,
57,20180226.0,14.0,15.0,15.0,13.9,192920.0,14.012444460261504,14.019917716756886,14.069591758571985,14.12864841858792,14.2100350133921,14.294221533844713,
58,20180223.0,14.8,14.7,15.0,14.25,7770.0,14.406222230130751,14.279945144504593,14.202393257013442,14.218161962776195,14.266222154973804,14.31405598349786,
59,20180222.0,14.7,14.45,14.8,14.4,36030.0,14.553111115065375,14.419963429669728,14.292867210283724,14.282407034406036,14.307534330690586,14.329191042968535,
60,20180221.0,14.35,14.45,14.6,14.3,10800.0,14.451555557532688,14.396642286446486,14.303254990232137,14.291419429818562,14.311578680148626,14.330007080499179,
61,20180213.0,14.5,14.0,14.5,13.7,50880.0,14.475777778766343,14.431094857630988,14.339026810189932,14.319230172509425,14.32952356775352,14.336673469499212,
62,20180212.0,13.8,13.5,14.1,13.5,54070.0,14.137888889383172,14.220729905087326,14.241021935609943,14.2499994828415,14.279092751776993,14.315627451087476,
63,20180209.0,14.0,13.4,14.0,13.4,18080.0,14.068944444691587,14.147153270058217,14.197199765499047,14.216666218462633,14.252512489702994,14.303249903986009,
64,20180208.0,14.0,13.8,14.0,13.75,77100.0,14.034472222345796,14.098102180038813,14.16134526268104,14.187777389334281,14.228463681159855,14.29135775088852,
65,20180207.0,14.0,13.95,14.1,13.95,85870.0,14.017236111172894,14.06540145335921,14.132009760375393,14.162740404089712,14.206705235335104,14.279931956736029,
66,20180206.0,13.8,13.5,14.4,13.3,137680.0,13.908618055586448,13.976934302239473,14.071644349398051,14.114375016877752,14.167971403398429,14.261111095687555,
67,20180205.0,14.3,14.5,14.9,14.3,52700.0,14.104309027793224,14.084622868159647,14.113163558598405,14.139125014627384,14.180545555455721,14.262636150758633,
