,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,47.0,47.3,48.1,46.5,1969320.0,,,,,,,
1,20180518.0,46.55,46.5,48.0,45.0,2496340.0,46.18333333333334,,,,,,
2,20180517.0,45.8,48.3,48.3,45.05,5122380.0,45.99166666666666,,,,,,
3,20180516.0,48.3,49.8,50.3,48.3,2225270.0,47.14583333333332,46.530000000000015,,,,,
4,20180515.0,50.2,50.0,51.0,49.0,3185030.0,48.672916666666666,47.75333333333334,,,,,
5,20180514.0,49.9,52.3,52.3,48.1,8485080.0,49.28645833333332,48.4688888888889,,,,,
6,20180511.0,51.7,49.6,52.0,48.9,2736580.0,50.493229166666666,49.54592592592593,,,,,
7,20180510.0,50.0,53.1,53.7,50.0,2582650.0,50.246614583333326,49.69728395061728,,,,,
8,20180509.0,53.1,54.1,55.2,53.1,1573720.0,51.67330729166665,50.83152263374485,48.755,,,,
9,20180508.0,54.5,55.7,56.0,54.5,2499960.0,53.08665364583334,52.054348422496574,49.79954545454546,,,,
10,20180507.0,55.9,53.0,55.9,52.7,1886800.0,54.49332682291667,53.33623228166438,50.90871900826448,,,,
11,20180504.0,52.4,52.5,53.5,51.9,2703750.0,53.44666341145834,53.02415485444292,51.17986100676184,,,,
12,20180503.0,51.7,50.5,52.0,48.6,3797020.0,52.57333170572917,52.58276990296195,51.274431732805134,50.14642857142857,,,
13,20180502.0,51.3,53.5,54.8,50.7,2956000.0,51.93666585286458,52.15517993530796,51.27908050865875,50.30023809523808,,,
14,20180427.0,53.5,51.6,54.9,49.7,4397700.0,52.71833292643229,52.60345329020531,51.68288405253897,50.72687301587301,,,
15,20180426.0,53.1,56.8,57.1,53.1,3415920.0,52.909166463216145,52.76896886013687,51.94054149753189,51.04328994708994,,,
16,20180424.0,57.0,55.0,57.9,53.6,3846780.0,54.954583231608076,54.179312573424575,52.8604430434352,51.83751795414463,,,
17,20180423.0,57.0,61.8,61.8,57.0,9490180.0,55.97729161580403,55.11954171561639,53.61308976281061,52.525848893592,,,
18,20180420.0,61.2,60.8,61.3,59.0,3532830.0,58.58864580790202,57.14636114374426,54.99252798775414,53.6824023744464,51.757499999999986,,
19,20180419.0,60.8,63.6,63.7,60.8,3691140.0,59.694322903951004,58.364240762496166,56.04843198998066,54.63141539118688,52.61869047619048,,
20,20180418.0,63.8,65.6,65.6,63.8,1759730.0,61.7471614519755,60.176160508330774,57.457807991802355,55.85389333902863,53.68357709750567,,
21,20180417.0,65.1,64.2,65.1,63.8,1811450.0,63.42358072598775,61.817440338887195,58.84729744783829,57.08670756049148,54.77085546917179,,
22,20180416.0,63.9,64.1,65.3,62.9,3097620.0,63.66179036299387,62.511626892591465,59.765970639140406,57.995146552425936,55.640297805441136,,
23,20180413.0,64.1,66.8,67.0,64.1,3338190.0,63.88089518149693,63.041084595060966,60.553975977478515,58.809127012102486,56.445983728732465,,
24,20180412.0,66.40000000000002,66.0,66.5,65.1,2562940.0,65.14044759074847,64.16072306337398,61.6168894361188,59.82124341048882,57.393985278376995,,
25,20180411.0,66.1,68.3,68.7,65.5,4707690.0,65.62022379537423,64.80714870891599,62.43200044773356,60.65841095575698,58.22312953757919,,
26,20180410.0,68.3,69.5,70.0,67.6,3293590.0,66.96011189768711,65.97143247261066,63.49890945723654,61.677289494989374,59.18283148638117,,
27,20180409.0,69.3,68.0,69.7,67.8,3604100.0,68.13005594884356,67.08095498174043,64.55365319228444,62.69365089565746,60.146371344821056,,
28,20180406.0,68.1,67.6,68.40000000000002,67.3,3503680.0,68.11502797442178,67.42063665449362,65.19844352096,63.41449744290313,60.90385978817143,,
29,20180405.0,67.5,68.2,68.2,66.8,3758200.0,67.80751398721088,67.44709110299574,65.61690833533089,63.95923111718272,61.53206361786939,,
30,20180404.0,68.1,68.5,69.0,67.8,2027300.0,67.95375699360544,67.66472740199715,66.06837954708892,64.51133363489167,62.15758136854849,,
31,20180403.0,68.3,68.0,68.90000000000002,67.7,3048890.0,68.12687849680272,67.87648493466477,66.47412872034549,65.01648915023947,62.74257361916293,,
32,20180402.0,68.0,64.5,68.3,64.3,9876900.0,68.06343924840135,67.91765662310985,66.75155986210085,65.41429059687421,63.24328089352837,,
33,20180330.0,64.5,65.2,65.40000000000002,64.40000000000002,2056050.0,66.28171962420068,66.7784377487399,66.34218534171889,65.29238518395765,63.362968427478044,,
34,20180329.0,65.2,64.90000000000002,65.90000000000002,64.90000000000002,3422420.0,65.74085981210034,66.25229183249327,66.13451527958817,65.28006715942996,63.53792381533728,,
35,20180328.0,64.90000000000002,64.1,65.1,64.1,1854780.0,65.32042990605018,65.80152788832885,65.91005795602669,65.22939153817265,63.66764535673372,,
36,20180327.0,64.90000000000002,65.0,66.0,64.6,3533080.0,65.11021495302509,65.50101859221924,65.72641105493094,65.18547266641629,63.785012465616234,,
37,20180326.0,64.3,63.3,64.90000000000002,63.3,2977790.0,64.70510747651255,65.1006790614795,65.46706359039804,65.06740964422744,63.83405889746231,,
38,20180323.0,63.7,63.2,64.5,63.1,4098250.0,64.20255373825628,64.63378604098634,65.14577930123477,64.88508835833046,63.82129138341828,,
39,20180322.0,65.2,65.2,66.0,64.1,3224470.0,64.70127686912815,64.82252402732422,65.15563761010118,64.92707657721974,63.95259696594987,,
40,20180321.0,65.0,66.0,66.5,64.8,2369060.0,64.85063843456409,64.88168268488282,65.12733986281006,64.93679970025711,64.0523496358594,,
41,20180320.0,65.40000000000002,63.7,66.3,63.6,6771930.0,65.12531921728204,65.05445512325521,65.17691443320824,64.99855974022283,64.18069728958709,,
42,20180319.0,63.4,64.90000000000002,65.3,63.3,3301910.0,64.26265960864102,64.50297008217014,64.85383908171583,64.78541844152645,64.10634516676927,,
43,20180316.0,64.3,63.9,64.90000000000002,63.0,4345170.0,64.28132980432049,64.43531338811343,64.75314106685839,64.72069598265627,64.12478848421982,,
44,20180315.0,63.8,63.9,64.5,63.2,2941630.0,64.04066490216024,64.22354225874228,64.57984269106596,64.59793651830209,64.09385624762746,,
45,20180314.0,64.5,64.5,65.1,63.5,2886240.0,64.27033245108011,64.31569483916152,64.56532583814487,64.58487831586181,64.13253660499628,,
46,20180313.0,64.2,62.8,64.2,61.6,4148500.0,64.23516622554007,64.27712989277435,64.49890295848216,64.53356120708024,64.13896169023472,,
47,20180312.0,62.9,63.9,64.0,61.8,7522580.0,63.56758311277004,63.8180865951829,64.20819332966721,64.31575304613621,64.0209653387838,,
48,20180309.0,63.9,66.0,66.0,63.0,8620060.0,63.733791556385015,63.84539106345527,64.15215817881864,64.26031930665138,64.00944483032819,59.861,
49,20180308.0,65.1,62.5,65.1,62.0,5430240.0,64.4168957781925,64.26359404230351,64.32449305539707,64.3722767324312,64.11330722743979,60.06645098039217,
50,20180307.0,62.0,63.4,63.5,60.9,5083980.0,63.20844788909624,63.509062694869,63.90185795441577,64.05597316810703,63.91203987244553,60.14227643214148,
51,20180306.0,61.8,60.1,61.8,59.3,4033390.0,62.50422394454812,62.93937512991267,63.51970196270382,63.75517674569277,63.7108932179269,60.20728519950848,
52,20180305.0,58.5,62.5,63.1,58.5,3519210.0,60.50211197227407,61.45958341994177,62.607028878575846,63.054486512933735,63.21461767336243,60.14033283874344,
53,20180302.0,61.9,58.5,62.0,58.3,5712090.0,61.201055986137035,61.60638894662785,62.478478173380246,62.90055497787592,63.08941599018506,60.20933939408683,
54,20180301.0,59.2,59.0,59.9,58.6,2350810.0,60.20052799306852,60.80425929775191,61.882391232765656,62.40714764749245,62.718995419691254,60.169757457063824,
55,20180228.0,59.6,58.9,60.4,58.4,3332900.0,59.90026399653426,60.4028395318346,61.46741100862644,62.03286129449345,62.421948236863514,60.14741402737504,
56,20180227.0,58.9,58.4,59.2,57.8,3264320.0,59.40013199826712,59.90189302122307,61.000609007057996,61.61514645522767,62.08652459525746,60.09849583022308,
57,20180226.0,57.9,59.0,59.3,57.8,4344350.0,58.65006599913355,59.234595347482035,60.43686191486564,61.119793594530634,61.68780796713769,60.01228030746923,
58,20180223.0,58.5,57.4,58.5,56.8,3038950.0,58.57503299956677,58.9897302316547,60.084705203071884,60.770487781926555,61.384207208362675,59.9529751973724,
59,20180222.0,57.1,58.0,58.7,56.5,4165830.0,57.8375164997834,58.35982015443647,59.54203152978609,60.28108941100302,60.976187474232894,59.84109381708329,
60,20180221.0,58.4,57.5,59.1,57.2,3471230.0,58.1187582498917,58.37321343629097,59.334389433461354,60.03027748953595,60.73083628621071,59.784580334060415,
61,20180213.0,56.5,56.9,56.9,55.5,2396320.0,57.30937912494585,57.748808957527324,58.81904590010473,59.55957382426449,60.327899497047795,59.65577326213647,
62,20180212.0,55.2,53.3,55.2,53.0,6359690.0,56.254689562472926,56.89920597168488,58.16103755463116,58.97829731436256,59.83952811637658,59.48103705577819,
63,20180209.0,52.5,49.0,52.9,49.0,3999330.0,54.377344781236445,55.43280398112326,57.131757999243675,58.11452433911421,59.14052543862642,59.20727089672806,
64,20180208.0,52.0,52.1,52.6,51.5,2316740.0,53.18867239061824,54.2885359874155,56.19871109029027,57.29925442723232,58.46047539685248,58.924632822346574,
65,20180207.0,52.4,52.0,52.8,51.4,5853500.0,52.79433619530912,53.65902399161033,55.50803634660112,56.64602050360134,57.88328726381891,58.66876486852905,
66,20180206.0,49.4,47.9,51.5,47.9,8073980.0,51.09716809765456,52.23934932774022,54.397484283582735,55.679884436454486,57.07535514345521,58.30528389329262,
67,20180205.0,51.5,53.6,54.1,50.8,4065630.0,51.29858404882728,51.992899551826824,53.87066895929496,55.122566511593895,56.54436893931661,58.03841001512428,
68,20180202.0,54.2,52.3,54.2,51.8,2864340.0,52.749292024413634,52.72859970121788,53.93054733033225,54.99955764338137,56.321095707000744,57.88788413217823,
69,20180201.0,52.2,53.5,53.5,51.8,2796590.0,52.47464601220682,52.55239980081192,53.61590236118093,54.62628329093052,55.928610401572094,57.664829852484964,
70,20180131.0,53.3,53.0,54.1,52.9,3541550.0,52.88732300610341,52.80159986720795,53.55846556823894,54.449445518806456,55.678266553803326,57.493660054348304,
71,20180130.0,52.9,51.6,52.9,50.8,5259520.0,52.893661503051696,52.83439991147196,53.43874455583186,54.24285278296559,55.41366973915539,57.313516522805216,
72,20180129.0,52.1,52.6,54.0,51.9,5001720.0,52.49683075152585,52.58959994098131,53.19533645477152,53.95713907857018,55.098082144950105,57.10906489445992,
73,20180126.0,52.0,52.5,53.4,51.8,5418010.0,52.24841537576293,52.39306662732087,52.97800255390396,53.696187201427485,54.803026702573916,56.90870940840266,
74,20180125.0,52.4,50.0,52.6,49.6,11483030.0,52.32420768788146,52.39537775154724,52.87291118046688,53.52336224123716,54.57416701661449,56.7318972747398,
75,20180122.0,49.25,48.2,49.6,48.2,3111950.0,50.78710384394073,51.346918501031496,52.21420005674564,52.95358060907221,54.06710349122263,56.43848953847551,
76,20180119.0,48.2,48.0,50.1,48.0,8250800.0,49.493551921970365,50.29794566735433,51.48434550097369,52.31976986119591,53.5083317301538,56.115411517358815,
77,20180118.0,48.0,46.8,48.0,46.5,3113930.0,48.746775960985175,49.531963778236225,50.85082813716029,51.74380054636979,52.98372870823441,55.797160085305535,
78,20180117.0,47.0,47.65,48.3,46.85,2524920.0,47.873387980492595,48.68797585215749,50.15067756676753,51.111293806853816,52.41384978364064,55.45217341529356,
79,20180116.0,47.5,47.8,47.95,46.6,4223700.0,47.6866939902463,48.29198390143832,49.6687361909916,50.62978796593998,51.94586408996058,55.14032347743889,
80,20180115.0,48.0,47.2,48.4,46.9,2849090.0,47.843346995123134,48.194655934292214,49.36532961081132,50.27914957048131,51.57006750996434,54.86031079204914,
81,20180112.0,47.1,49.0,49.0,46.8,6034390.0,47.47167349756158,47.82977062286148,48.95345149975471,49.8552629610838,51.144346794729636,54.55598487863545,
82,20180111.0,48.75,47.35,48.75,47.25,2838750.0,48.110836748780784,48.13651374857432,48.91646031798112,49.707894566272635,50.91631376666016,54.32829919712032,
83,20180110.0,48.0,48.05,48.55,47.4,4193390.0,48.05541837439039,48.09100916571621,48.74983116925728,49.4801752907696,50.6385695984068,54.08013060115483,
84,20180109.0,47.9,47.0,47.95,45.0,4813410.0,47.9777091871952,48.0273394438108,48.5953164112105,49.26948525200033,50.3777534461776,53.83777253836443,
85,20180108.0,46.45,44.4,46.5,44.0,2758530.0,47.21385459359761,47.50155962920721,48.20525888189951,48.89355388506694,50.00368168939877,53.5480559682325,
86,20180105.0,44.4,44.9,44.9,43.5,2611280.0,45.8069272967988,46.46770641947146,47.513393630645055,48.29441336705801,49.46999771897984,53.18930867536065,
