,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,14.6,14.6,14.6,14.5,24220.0,,,,,,,
1,20180518.0,14.6,14.5,14.6,14.5,9800.0,14.5,,,,,,
2,20180517.0,14.8,14.5,14.8,14.5,19710.0,14.65,,,,,,
3,20180516.0,14.6,14.5,14.6,14.5,10220.0,14.625,14.579999999999997,,,,,
4,20180515.0,14.5,14.4,14.6,14.4,19890.0,14.5625,14.553333333333331,,,,,
5,20180514.0,14.6,14.0,14.6,14.0,26160.0,14.58125,14.568888888888889,,,,,
6,20180511.0,14.5,14.4,14.6,13.6,28750.0,14.540625,14.545925925925927,,,,,
7,20180510.0,14.4,14.2,14.5,14.2,4170.0,14.4703125,14.497283950617284,,,,,
8,20180509.0,14.4,14.3,14.4,14.3,3270.0,14.43515625,14.464855967078188,14.529999999999998,,,,
9,20180508.0,14.5,13.45,14.8,13.45,55190.0,14.467578125,14.476570644718791,14.524545454545454,,,,
10,20180507.0,14.45,14.35,14.5,14.35,27940.0,14.4587890625,14.46771376314586,14.510991735537187,,,,
11,20180504.0,14.35,14.2,14.65,14.2,3360.0,14.40439453125,14.428475842097242,14.48172051089406,,,,
12,20180503.0,14.3,14.3,14.4,14.3,8490.0,14.352197265625001,14.38565056139816,14.44868041800423,14.492857142857138,,,
13,20180502.0,14.45,14.1,14.45,14.1,40720.0,14.401098632812497,14.407100374265442,14.448920342003463,14.487142857142855,,,
14,20180427.0,14.45,14.4,14.9,14.3,49340.0,14.425549316406247,14.421400249510292,14.44911664345738,14.482190476190477,,,
15,20180426.0,14.9,14.4,15.0,14.4,13960.0,14.662774658203123,14.58093349967353,14.531095435556034,14.537898412698413,,,
16,20180424.0,15.0,14.3,15.0,14.3,28070.0,14.831387329101565,14.720622333115687,14.616350810909484,14.599511957671956,,,
17,20180423.0,14.4,14.5,14.5,14.4,13160.0,14.615693664550781,14.613748222077124,14.577014299835033,14.572910363315696,,,
18,20180420.0,14.4,14.4,14.5,14.4,11110.0,14.507846832275389,14.542498814718083,14.54482988168321,14.549855648206938,14.524999999999997,,
19,20180419.0,14.4,14.5,14.5,14.4,44080.0,14.453923416137693,14.494999209812057,14.518497175922624,14.529874895112679,14.513095238095236,,
20,20180418.0,14.4,14.3,14.5,14.3,13070.0,14.426961708068848,14.46333280654137,14.496952234845786,14.51255824243099,14.502324263038544,,
21,20180417.0,14.4,14.4,14.4,14.2,22250.0,14.413480854034425,14.44222187102758,14.479324555782915,14.497550476773522,14.492579095130113,,
22,20180416.0,14.2,14.2,14.25,14.2,5620.0,14.306740427017212,14.36148124735172,14.428538272913293,14.457877079870384,14.464714419403437,,
23,20180413.0,14.2,14.2,14.5,14.2,16910.0,14.253370213508605,14.307654164901146,14.386985859656333,14.423493469220999,14.439503522317391,,
24,20180412.0,14.3,14.2,14.3,14.2,16710.0,14.276685106754304,14.305102776600766,14.371170248809724,14.407027673324867,14.42621747257288,,
25,20180411.0,14.2,14.2,14.2,14.2,18500.0,14.238342553377151,14.27006851773384,14.340048385389776,14.379423983548216,14.404672951375465,,
26,20180410.0,14.2,13.6,14.3,13.6,20930.0,14.219171276688575,14.246712345155892,14.314585042591634,14.35550078574179,14.385180289339704,,
27,20180409.0,14.2,13.8,14.3,13.55,46680.0,14.209585638344286,14.231141563437264,14.293751398484066,14.334767347642883,14.36754407130735,,
28,20180406.0,14.1,14.1,14.3,14.0,30820.0,14.154792819172144,14.187427708958177,14.25852387148696,14.30346503462383,14.342063683563792,,
29,20180405.0,14.0,14.0,14.2,14.0,15350.0,14.077396409586074,14.124951805972117,14.211519531216604,14.263003030007322,14.309486189891054,,
30,20180404.0,14.0,14.0,14.1,14.0,20640.0,14.03869820479304,14.083301203981412,14.173061434631766,14.227935959339678,14.280011314663332,,
31,20180403.0,14.0,14.0,14.1,14.0,33570.0,14.019349102396514,14.055534135987607,14.141595719244176,14.197544498094388,14.25334357040968,,
32,20180402.0,14.0,14.2,14.2,14.0,5550.0,14.009674551198259,14.037022757325072,14.115851043017962,14.171205231681808,14.229215611323044,,
33,20180330.0,14.1,14.1,14.2,14.1,13140.0,14.05483727559913,14.05801517155005,14.112969035196514,14.161711200790895,14.216909362625612,,
34,20180329.0,14.1,14.2,14.2,14.1,1570.0,14.077418637799564,14.072010114366698,14.110611028797146,14.153483040685444,14.205775137613648,,
35,20180328.0,14.2,14.2,14.2,13.9,19730.0,14.13870931889978,14.1146734095778,14.126863569015846,14.159685301927382,14.205225124507587,,
36,20180327.0,14.2,13.8,14.2,13.8,29060.0,14.16935465944989,14.1431156063852,14.140161101922056,14.16506059500373,14.2047274936021,,
37,20180326.0,14.2,14.0,14.3,14.0,11640.0,14.184677329724945,14.162077070923466,14.151040901572593,14.169719182336568,14.204277256116189,,
38,20180323.0,14.4,14.2,14.4,14.0,20120.0,14.292338664862472,14.241384713948976,14.196306192195758,14.200423291358359,14.222917517438455,,
39,20180322.0,14.4,14.4,14.5,13.6,29300.0,14.346169332431236,14.294256475965982,14.233341429978346,14.227033519177246,14.239782515777648,,
40,20180321.0,14.4,14.0,14.4,14.0,4230.0,14.37308466621562,14.329504317310656,14.263642988164099,14.250095716620276,14.255041323798826,,
41,20180320.0,14.8,13.95,14.8,13.95,12220.0,14.586542333107808,14.486336211540438,14.361162444861538,14.323416287737574,14.306942150103701,,
42,20180319.0,14.7,14.7,14.8,14.7,15770.0,14.643271166553903,14.55755747436029,14.422769273068532,14.373627449372565,14.344376231046205,,
