,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,5.1,5.4,5.4,5.1,7400.0,,,,,,,
1,20180517.0,4.9,4.9,4.9,4.9,100.0,5.133333333333335,,,,,,
2,20180516.0,4.7,4.6,4.7,4.6,1800.0,4.916666666666665,,,,,,
3,20180515.0,4.9,4.5,4.9,4.5,1200.0,4.908333333333332,5.0,,,,,
4,20180514.0,4.6,4.6,4.6,4.6,300.0,4.7541666666666655,4.866666666666665,,,,,
5,20180511.0,5.0,6.2,6.2,5.0,5100.0,4.877083333333332,4.9111111111111105,,,,,
6,20180510.0,5.5,5.5,5.5,5.5,100.0,5.188541666666666,5.107407407407408,,,,,
7,20180509.0,5.1,5.1,5.1,5.1,5100.0,5.1442708333333345,5.104938271604937,,,,,
8,20180508.0,5.0,4.8,5.3,4.8,4100.0,5.072135416666666,5.069958847736625,5.02,,,,
9,20180507.0,4.8,5.4,5.4,4.8,3400.0,4.936067708333333,4.97997256515775,4.98,,,,
10,20180504.0,4.7,4.7,4.7,4.7,2100.0,4.818033854166665,4.8866483767718325,4.929090909090909,,,,
11,20180503.0,4.5,4.5,4.5,4.5,100.0,4.659016927083334,4.757765584514556,4.85107438016529,,,,
12,20180502.0,4.5,4.4,4.5,4.4,3100.0,4.579508463541665,4.671843723009704,4.787242674680692,4.9071428571428575,,,
13,20180427.0,4.7,4.9,4.9,4.7,13000.0,4.639754231770834,4.681229148673136,4.7713803701932935,4.87952380952381,,,
14,20180426.0,4.3,4.6,4.6,4.3,2100.0,4.469877115885417,4.5541527657820895,4.685674848339968,4.802253968253968,,,
15,20180424.0,4.6,4.4,4.6,4.3,9600.0,4.534938557942708,4.56943517718806,4.670097603187246,4.775286772486772,,,
16,20180423.0,4.9,4.9,4.9,4.9,500.0,4.717469278971353,4.679623451458707,4.711898038971382,4.791915202821869,,,
17,20180420.0,4.9,4.3,5.1,4.3,8100.0,4.808734639485677,4.753082300972472,4.746098395522041,4.806326509112287,,,
18,20180419.0,4.7,4.9,4.9,4.5,12600.0,4.754367319742839,4.7353882006483135,4.737716869063487,4.792149641230648,4.840000000000001,,
19,20180418.0,4.8,5.4,5.4,4.8,1000.0,4.777183659871419,4.756925467098876,4.749041074688308,4.793196355733229,4.836190476190476,,
20,20180417.0,4.7,4.7,4.7,4.7,100.0,4.738591829935709,4.737950311399251,4.74012451565407,4.780770174968799,4.8232199546485255,,
21,20180412.0,5.0,5.7,5.7,5.0,800.0,4.869295914967855,4.8253002075995015,4.787374603716967,4.810000818306292,4.840056149443905,,
22,20180411.0,5.0,5.0,5.0,5.0,1100.0,4.934647957483927,4.883533471733,4.8260337666775195,4.8353340425321205,4.855288897115914,,
23,20180410.0,4.9,4.9,4.9,4.9,1700.0,4.917323978741964,4.889022314488666,4.839482172736153,4.843956170194502,4.859547097390589,,
24,20180406.0,5.0,4.9,5.0,4.9,1840.0,4.958661989370982,4.926014876325778,4.868667232238669,4.864762014168569,4.872923564305771,,
25,20180405.0,4.9,5.0,5.0,4.9,3900.0,4.929330994685492,4.917343250883852,4.874364099104366,4.869460412279428,4.875502272467126,,
26,20180404.0,5.4,5.4,5.4,5.4,100.0,5.164665497342746,5.078228833922569,4.969934262903573,4.940199023975504,4.925454436994066,,
27,20180403.0,5.1,5.1,5.1,5.1,1300.0,5.132332748671374,5.085485889281712,4.993582578739288,4.961505820778768,4.942077823947013,,
28,20180402.0,5.0,5.2,5.2,5.0,2940.0,5.066166374335687,5.056990592854475,4.99474938260487,4.966638378008268,4.947594221666344,,
29,20180330.0,5.8,5.1,5.8,4.4,11200.0,5.433083187167844,5.304660395236317,5.141158585767622,5.077753260940497,5.028775724364789,,
30,20180329.0,5.1,5.1,5.1,5.1,9400.0,5.266541593583923,5.236440263490878,5.133675206537146,5.080719492815097,5.035558988710999,,
31,20180327.0,6.0,6.0,6.0,6.0,100.0,5.633270796791961,5.490960175660585,5.291188805348573,5.203290227106417,5.127410513595667,,
