,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180511.0,1.6,1.4,1.6,1.4,8700.0,,,,,,,
1,20180504.0,1.4,1.4,1.4,1.4,100.0,1.533333333333333,,,,,,
2,20180420.0,1.3,1.3,1.3,1.3,7800.0,1.4166666666666663,,,,,,
3,20180413.0,1.2,1.2,1.2,1.2,800.0,1.308333333333333,1.42,,,,,
4,20180330.0,1.2,1.1,1.2,1.1,1100.0,1.2541666666666664,1.3466666666666665,,,,,
5,20180316.0,1.2,1.2,1.2,1.2,100.0,1.227083333333333,1.2977777777777777,,,,,
6,20180302.0,1.3,1.1,1.3,1.1,4060.0,1.263541666666667,1.2985185185185182,,,,,
7,20180223.0,1.2,1.2,1.2,1.2,20.0,1.2317708333333337,1.2656790123456787,,,,,
8,20180209.0,1.2,1.2,1.2,1.2,30.0,1.2158854166666664,1.2437860082304528,1.3199999999999998,,,,
9,20180202.0,1.2,1.2,1.2,1.2,430.0,1.2079427083333332,1.2291906721536348,1.2981818181818179,,,,
10,20180119.0,1.2,1.0,1.2,1.0,10400.0,1.2039713541666668,1.2194604481024232,1.2803305785123966,,,,
11,20180112.0,1.1,1.1,1.1,1.1,200.0,1.1519856770833334,1.1796402987349488,1.247543200601052,,,,
12,20180105.0,1.1,1.0,1.2,1.0,46400.0,1.1259928385416669,1.153093532489966,1.2207171641281331,1.2714285714285711,,,
13,20171229.0,1.1,1.1,1.1,1.1,15028.0,1.1129964192708337,1.135395688326644,1.198768588832109,1.248571428571428,,,
14,20171222.0,1.1,1.1,1.1,1.1,12660.0,1.106498209635417,1.123597125551096,1.1808106635899072,1.2287619047619045,,,
15,20171208.0,1.2,1.2,1.2,1.2,20000.0,1.1532491048177087,1.1490647503673974,1.184299633846288,1.224926984126984,,,
16,20171201.0,1.1,1.2,1.2,1.1,62430.0,1.1266245524088545,1.132709833578265,1.1689724276924172,1.2082700529100527,,,
17,20171124.0,1.1,1.1,1.1,1.1,1000.0,1.1133122762044272,1.1218065557188435,1.156431986293796,1.1938340458553791,,,
18,20171117.0,1.2,1.2,1.2,1.2,5700.0,1.1566561381022136,1.1478710371458956,1.1643534433312877,1.1946561730746619,1.23,,
19,20171027.0,1.3,1.3,1.3,1.3,10.0,1.2283280690511067,1.1985806914305968,1.18901645363469,1.208702016664707,1.2366666666666664,,
20,20171006.0,1.3,1.3,1.3,1.3,3400.0,1.2641640345255536,1.232387127620398,1.2091952802465644,1.2208750811094127,1.2426984126984126,,
21,20170922.0,1.5,1.5,1.5,1.5,500.0,1.3820820172627768,1.3215914184135984,1.26206886565628,1.258091736961491,1.2672033257747544,,
