,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20171107.0,8.5,8.5,8.5,8.5,100.0,,,,,,,
1,20171013.0,9.9,9.9,9.9,9.9,100.0,10.0,,,,,,
2,20170915.0,11.4,11.4,11.4,11.4,39.0,10.7,,,,,,
3,20170728.0,11.4,11.4,11.4,11.4,200.0,11.05,10.559999999999999,,,,,
4,20170714.0,13.3,13.3,13.3,13.3,400.0,12.175,11.473333333333331,,,,,
5,20170630.0,13.1,13.1,13.1,13.1,100.0,12.6375,12.015555555555554,,,,,
6,20170629.0,15.3,15.3,15.3,15.3,100.0,13.96875,13.11037037037037,,,,,
7,20170620.0,18.0,18.0,18.0,18.0,5200.0,15.984375,14.740246913580247,,,,,
8,20170619.0,18.0,16.0,18.0,16.0,57800.0,16.9921875,15.826831275720163,13.05,,,,
9,20170615.0,16.0,16.0,16.0,16.0,1000.0,16.49609375,15.884554183813444,13.586363636363636,,,,
10,20170613.0,15.5,15.9,15.9,15.5,14400.0,15.998046875,15.756369455875628,13.934297520661156,,,,
11,20170612.0,16.0,15.0,16.0,15.0,5400.0,15.9990234375,15.83757963725042,14.309879789631855,,,,
12,20170609.0,15.0,15.0,15.0,15.0,40.0,15.49951171875,15.558386424833612,14.435356191516973,13.785714285714286,,,
13,20170608.0,15.0,15.0,15.0,15.0,3600.0,15.249755859375002,15.372257616555741,14.538018702150254,13.94761904761905,,,
14,20170607.0,14.8,14.8,14.8,14.8,100.0,15.0248779296875,15.181505077703827,14.58565166539566,14.06126984126984,,,
15,20170606.0,12.9,12.9,12.9,12.9,40.0,13.96243896484375,14.421003385135885,14.279169544414634,13.906433862433865,,,
16,20170601.0,12.9,12.9,12.9,12.9,100.0,13.431219482421875,13.914002256757255,14.028411445430152,13.772242680776014,,,
17,20170530.0,15.1,15.1,15.1,15.1,2000.0,14.265609741210936,14.309334837838174,14.223245728079217,13.94927699000588,,,
18,20170525.0,15.0,15.0,15.0,15.0,500.0,14.632804870605469,14.53955655855878,14.36447377751936,14.089373391338428,13.935000000000004,,
19,20170523.0,15.0,15.0,15.0,15.0,2000.0,14.816402435302733,14.693037705705853,14.48002399978857,14.210790272493304,14.036428571428573,,
20,20170522.0,15.0,15.0,15.0,15.0,3000.0,14.908201217651367,14.795358470470566,14.5745650907361,14.316018236160865,14.128197278911568,,
