,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180102.0,30.3,30.3,30.3,30.3,100.0,,,,,,,
1,20171228.0,27.6,27.6,27.6,27.6,100.0,29.4,,,,,,
2,20171214.0,25.1,25.1,25.1,25.1,100.0,27.25,,,,,,
3,20171212.0,22.9,22.9,22.9,22.9,1100.0,25.075,27.24,,,,,
4,20171207.0,20.9,20.9,20.9,20.9,400.0,22.9875,25.12666666666667,,,,,
5,20171204.0,19.0,19.0,19.0,19.0,100.0,20.99375,23.084444444444447,,,,,
6,20171201.0,18.0,18.0,18.0,18.0,500.0,19.496875,21.38962962962963,,,,,
7,20171130.0,16.5,16.5,16.5,16.5,1000.0,17.9984375,19.759753086419757,,,,,
8,20171106.0,15.0,15.0,15.0,15.0,900.0,16.49921875,18.17316872427984,22.56,,,,
9,20170925.0,16.0,16.0,16.0,16.0,1000.0,16.249609374999995,17.448779149519886,21.36727272727273,,,,
10,20170922.0,16.0,16.0,16.0,16.0,3000.0,16.1248046875,16.965852766346593,20.39140495867769,,,,
11,20170921.0,15.2,15.2,15.2,15.2,4600.0,15.66240234375,16.377235177564394,19.44751314800902,,,,
12,20170919.0,13.9,13.9,13.9,13.9,100.0,14.781201171875002,15.551490118376263,18.43887439382556,20.478571428571428,,,
13,20170918.0,12.7,12.7,12.7,12.7,100.0,13.7406005859375,14.600993412250842,17.395442685857276,19.44142857142857,,,
14,20170913.0,11.6,11.6,11.6,11.6,400.0,12.67030029296875,13.600662274833894,16.341725833883224,18.395904761904763,,,
15,20170807.0,11.2,11.2,11.2,11.2,2300.0,11.935150146484375,12.800441516555926,15.406866591359002,17.436450793650792,,,
16,20170419.0,12.4,12.4,12.4,12.4,100.0,12.167575073242185,12.666961011037289,14.860163574748272,16.76492402116402,,,
17,20170404.0,11.3,10.2,11.3,10.2,1630.0,11.733787536621092,12.211307340691523,14.212861106612223,16.036267485008818,,,
18,20170329.0,11.3,11.3,11.3,11.3,200.0,11.516893768310547,11.907538227127683,13.683249996319091,15.404765153674306,17.86,,
19,20170327.0,12.5,12.5,12.5,12.5,2200.0,12.008446884155273,12.10502548475179,13.468113633351985,15.0174631331844,17.34952380952381,,
20,20170302.0,14.3,14.3,14.3,14.3,100.0,13.154223442077635,12.836683656501194,13.61936570001526,14.921801382093145,17.05909297052154,,
21,20160922.0,15.8,15.8,15.8,15.8,3200.0,14.477111721038819,13.824455771000794,14.015844663648847,15.038894531147392,16.939179354281393,,
22,20160826.0,17.5,17.5,17.5,17.5,6000.0,15.988555860519408,15.049637180667197,14.649327452076333,15.367041926994407,16.99259084434983,,
23,20160809.0,19.0,19.0,19.0,19.0,1900.0,17.494277930259706,16.366424787111463,15.440358824426086,15.851436336728487,17.183772668697465,,
24,20160725.0,21.6,21.6,21.6,21.6,900.0,19.547138965129854,18.11094985807431,16.560293583621345,16.617911491831354,17.604365747869135,,
25,20160720.0,21.6,21.6,21.6,21.6,1000.0,20.573569482564928,19.273966572049538,17.476603841144737,17.282189959587175,17.98490234331017,,
26,20160408.0,23.9,23.9,23.9,23.9,300.0,22.236784741282463,20.81597771469969,18.644494051845694,18.164564631642214,18.548244977280632,,
27,20160407.0,26.5,26.5,26.5,26.5,65.0,24.368392370641235,22.710651809799796,20.072767860601022,19.27595601408992,19.30555497944438,,
28,20151022.0,26.5,26.5,26.5,26.5,100.0,25.434196185320612,23.973767873199865,21.241355522309927,20.239161878877933,19.990740219497297,,
29,20151020.0,27.0,27.0,27.0,27.0,1600.0,26.217098092660308,24.982511915466578,22.288381790980846,21.140606961694207,20.658288770021365,,
30,20151015.0,27.0,27.0,27.0,27.0,1050.0,26.608549046330157,25.655007943644385,23.14503964716615,21.921859366801648,21.262261268114568,,
31,20151014.0,27.0,27.0,27.0,27.0,1700.0,26.80427452316508,26.103338629096253,23.845941529499576,22.59894478456143,21.80871257591318,,
32,20150930.0,26.5,26.5,26.5,26.5,50.0,26.652137261582535,26.23555908606417,24.32849761504511,23.119085479953245,22.25550185439764,,
33,20150827.0,26.5,26.5,26.5,26.5,45.0,26.576068630791266,26.32370605737611,24.72331623049145,23.56987408262614,22.659739773026434,,
34,20150821.0,26.5,26.5,26.5,26.5,90.0,26.538034315395635,26.38247070491741,25.04634964312937,23.96055753827599,23.02547884226201,,
35,20150810.0,26.5,26.5,26.5,26.5,100.0,26.519017157697817,26.42164713661161,25.310649708014942,24.299149866505857,23.356385619189442,,
36,20150730.0,26.5,26.5,26.5,26.5,400.0,26.509508578848912,26.447764757741073,25.526895215648583,24.59259655097174,23.655777464980922,,
37,20150619.0,29.8,29.8,29.8,29.8,4500.0,28.154754289424446,27.565176505160714,26.30382335825793,25.286917010842174,24.24094151593512,,
38,20150618.0,27.1,27.1,27.1,27.1,500.0,27.627377144712227,27.41011767010714,26.44858274766558,25.528661409396555,24.513232800131775,,
39,20150617.0,24.7,24.7,24.7,24.7,500.0,26.163688572356115,26.506745113404765,26.130658611726382,25.418173221477012,24.531020152500172,,
40,20150616.0,22.5,22.5,22.5,22.5,300.0,24.331844286178054,25.171163408936508,25.47053886413977,25.02908345861341,24.337589661785874,,
41,20150612.0,20.5,20.5,20.5,20.5,200.0,22.415922143089023,23.614108939291,24.566804525205267,24.425205664131624,23.97210493209198,,
42,20150611.0,18.7,18.7,18.7,18.7,500.0,20.55796107154451,21.976072626194004,23.500112793349768,23.66184490891408,23.469999700464168,,
43,20150414.0,17.0,17.0,17.0,17.0,3600.0,18.778980535772252,20.317381750796,22.318274103649806,22.773598921058863,22.85380925280092,,
44,20150319.0,17.0,17.0,17.0,17.0,200.0,17.889490267886128,19.211587833864,21.351315175713477,22.003785731584347,22.29630360967702,,
45,20150304.0,17.0,17.0,17.0,17.0,3400.0,17.444745133943066,18.474391889242668,20.56016696194739,21.336614300706437,21.79189374208873,,
46,20150127.0,17.0,17.0,17.0,17.0,200.0,17.222372566971533,17.98292792616178,19.91286387795696,20.75839906061224,21.335522909508857,,
47,20141218.0,18.7,18.7,18.7,18.7,200.0,17.961186283485766,18.22195195077452,19.692343172873883,20.483945852530606,21.08452072765087,,
48,20141016.0,18.7,18.7,18.7,18.7,2100.0,18.33059314174288,18.381301300516345,19.51191714144226,20.24608640552653,20.857423515493643,20.372000000000003,
