,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,16.0,13.5,16.0,13.5,1700.0,,,,,,,
1,20180518.0,14.0,14.0,14.0,14.0,18000.0,14.5,,,,,,
2,20180517.0,12.5,12.5,12.5,12.5,54.0,13.5,,,,,,
3,20180508.0,12.5,12.5,12.5,12.5,80.0,13.0,13.7,,,,,
4,20180507.0,11.1,13.8,13.8,11.1,205.0,12.05,12.83333333333333,,,,,
5,20180503.0,12.0,12.0,12.0,12.0,100.0,12.025,12.555555555555555,,,,,
6,20180427.0,12.0,12.0,12.0,12.0,100.0,12.0125,12.370370370370372,,,,,
7,20180426.0,11.9,11.9,11.9,11.9,391.0,11.95625,12.213580246913583,,,,,
8,20180424.0,13.9,13.9,13.9,13.9,200.0,12.928125,12.775720164609053,12.94,,,,
9,20180423.0,16.3,16.3,16.3,16.3,1.0,14.6140625,13.95048010973937,13.55090909090909,,,,
10,20180420.0,16.3,16.3,16.3,16.3,103.0,15.45703125,14.733653406492913,14.050743801652894,,,,
11,20180419.0,14.3,14.3,14.3,14.3,1.0,14.878515625,14.589102270995273,14.096063110443277,,,,
12,20180418.0,14.3,14.3,14.3,14.3,100.0,14.5892578125,14.492734847330182,14.133142544908138,13.614285714285717,,,
13,20180416.0,12.7,12.7,12.7,12.7,184.0,13.64462890625,13.895156564886788,13.872571173106657,13.492380952380957,,,
14,20180411.0,11.1,11.1,11.1,11.1,100.0,12.372314453125,12.963437709924527,13.3684673234509,13.173396825396829,,,
15,20180406.0,12.3,12.3,12.3,12.3,1000.0,12.336157226562499,12.74229180661635,13.174200537368918,13.056943915343918,,,
16,20180320.0,14.4,14.4,14.4,14.4,100.0,13.36807861328125,13.294861204410902,13.397073166938206,13.236018059964728,,,
17,20180319.0,14.4,14.4,14.4,14.4,1000.0,13.884039306640624,13.6632408029406,13.57942350022217,13.39121565196943,,,
18,20180316.0,16.899999999999995,16.899999999999995,16.899999999999995,16.899999999999995,100.0,15.392019653320313,14.742160535293731,14.183164681999953,13.859053565040174,13.620000000000003,,
19,20180314.0,14.8,14.8,14.8,14.8,219.0,15.096009826660158,14.76144035686249,14.295316557999962,13.984513089701483,13.73238095238095,,
