,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180516.0,6.7,7.3,7.5,6.5,1300.0,,,,,,,
1,20180515.0,7.0,7.599999999999999,7.599999999999999,6.3,4900.0,7.166666666666665,,,,,,
2,20180514.0,6.8,7.7,7.7,6.4,2200.0,6.983333333333332,,,,,,
3,20180511.0,6.9,7.4,7.4,6.5,2500.0,6.941666666666665,7.040000000000001,,,,,
4,20180509.0,6.9,6.9,6.9,6.9,100.0,6.920833333333332,6.993333333333335,,,,,
5,20180508.0,6.5,6.5,6.5,6.1,4600.0,6.710416666666668,6.82888888888889,,,,,
6,20180507.0,6.5,6.5,6.5,6.0,13800.0,6.6052083333333345,6.7192592592592595,,,,,
7,20180504.0,6.9,6.9,6.9,6.9,100.0,6.752604166666665,6.779506172839506,,,,,
8,20180503.0,7.4,7.4,7.4,7.4,100.0,7.076302083333333,6.986337448559671,6.94,,,,
9,20180502.0,6.5,8.099999999999998,8.099999999999998,6.5,4000.0,6.788151041666667,6.824224965706447,6.86,,,,
10,20180426.0,7.1,7.1,7.1,7.1,100.0,6.944075520833334,6.916149977137631,6.903636363636363,,,,
11,20180424.0,6.6,6.6,6.6,6.6,2500.0,6.772037760416667,6.810766651425086,6.8484297520661155,,,,
12,20180423.0,6.8,6.8,6.8,6.8,3000.0,6.786018880208333,6.807177767616725,6.839624342599548,6.885714285714285,,,
13,20180420.0,7.0,6.8,7.0,6.8,2200.0,6.8930094401041675,6.871451845077816,6.868783553035995,6.900952380952382,,,
14,20180413.0,6.8,6.8,6.8,6.8,200.0,6.846504720052082,6.847634563385212,6.856277452483996,6.887492063492063,,,
15,20180412.0,6.6,6.6,6.6,6.6,700.0,6.723252360026041,6.765089708923473,6.809681552032361,6.8491597883597874,,,
16,20180411.0,6.5,6.5,6.9,6.5,13000.0,6.61162618001302,6.676726472615649,6.753375815299204,6.802605149911818,,,
17,20180409.0,7.0,7.2,7.2,7.0,4100.0,6.8058130900065095,6.7844843150770995,6.798216576153895,6.828924463256908,,,
18,20180406.0,6.9,7.4,7.4,6.9,1400.0,6.852906545003256,6.822989543384732,6.8167226532168215,6.8384012014893205,6.86,,
19,20180330.0,7.0,7.0,7.0,7.0,100.0,6.926453272501628,6.881993028923157,6.8500458071774,6.859947707957411,6.873333333333332,,
20,20180329.0,6.5,6.5,6.5,6.5,6100.0,6.713226636250814,6.754662019282104,6.786401114963328,6.811954680229756,6.837777777777776,,
21,20180328.0,7.0,7.0,7.0,7.0,200.0,6.856613318125406,6.836441346188069,6.825237275879086,6.837027389532456,6.853227513227512,,
22,20180322.0,7.1,7.1,7.599999999999999,6.8,800.0,6.978306659062703,6.9242942307920465,6.875194134810163,6.87209040426146,6.876729654824893,,
23,20180321.0,6.8,6.8,6.8,6.8,2100.0,6.889153329531352,6.882862820528031,6.861522473935587,6.8624783503599325,6.869422068651092,,
24,20180320.0,6.8,7.1,7.2,6.8,21800.0,6.844576664765675,6.855241880352021,6.850336569583662,6.854147903645274,6.862810443065275,,
25,20180319.0,6.4,7.1,7.1,6.4,3000.0,6.622288332382838,6.703494586901348,6.768457193295723,6.7935948498259044,6.818733258011439,,
26,20180316.0,7.0,7.1,7.1,7.0,3600.0,6.811144166191418,6.802329724600898,6.810555885423772,6.821115536515784,6.835996757248446,,
27,20180315.0,7.1,7.3,7.3,7.1,800.0,6.955572083095708,6.901553149733931,6.863182088073995,6.858300131647012,6.861139923224783,,
28,20180314.0,6.8,7.3,7.3,6.8,1000.0,6.877786041547854,6.867702099822621,6.851694435696906,6.850526780760744,6.85531707339385,,
29,20180313.0,6.5,7.3,7.3,6.4,5300.0,6.688893020773928,6.745134733215081,6.787749992842924,6.803789876659313,6.821477352118246,,
30,20180312.0,6.5,7.4,7.4,6.5,11000.0,6.594446510386963,6.663423155476721,6.735431812326027,6.763284559771403,6.790860461440318,,
31,20180309.0,7.1,6.9,7.4,6.9,18000.0,6.847223255193482,6.808948770317813,6.801716937357659,6.808179951801883,6.820302322255525,,
32,20180307.0,6.9,6.9,6.9,6.9,500.0,6.873611627596741,6.839299180211876,6.819586585110812,6.820422624894965,6.827892577278808,,
33,20180306.0,6.7,6.6,6.7,6.5,9100.0,6.786805813798369,6.79286612014125,6.797843569636118,6.804366274908968,6.815712331823685,,
34,20180302.0,6.9,6.8,6.9,6.8,2000.0,6.843402906899184,6.8285774134274995,6.816417466065915,6.8171174382544395,6.823739728792858,,
35,20180301.0,6.9,7.0,7.0,6.9,3000.0,6.871701453449592,6.852384942285,6.831614290417568,6.828168446487182,6.8310026117649665,,
36,20180228.0,7.0,7.2,7.2,6.5,10100.0,6.935850726724797,6.9015899615233325,6.862229873978009,6.851079320288891,6.847097601120684,,
37,20180227.0,6.8,6.8,7.2,6.4,5400.0,6.867925363362397,6.867726641015556,6.850915351436553,6.844268744250372,6.842612115299666,,
38,20180226.0,7.1,7.4,7.4,6.5,6100.0,6.9839626816811995,6.9451510940103685,6.89620346935718,6.878366245016988,6.8671252471758875,,
39,20180223.0,7.1,7.1,7.1,7.1,100.0,7.041981340840599,6.996767396006913,6.9332573840195115,6.9079174123480565,6.889303795063899,,
40,20180222.0,6.8,6.7,6.8,6.5,2600.0,6.9209906704203,6.9311782640046085,6.9090287687432355,6.893528424034981,6.880798671724481,,
41,20180221.0,7.2,6.9,7.4,6.5,7000.0,7.060495335210149,7.020785509336406,6.96193262897174,6.934391300830319,6.911198798226911,,
42,20180213.0,6.9,6.8,6.9,6.3,7200.0,6.980247667605076,6.9805236728909374,6.950672150976877,6.929805794052944,6.910132246014824,,
43,20180212.0,6.7,6.6,6.7,6.3,6100.0,6.8401238338025365,6.887015781927292,6.905095396253809,6.89916502151255,6.890119651156269,,
44,20180209.0,5.9,6.0,6.0,5.9,1700.0,6.370061916901268,6.558010521284862,6.722350778753116,6.76594301864421,6.7958225415223374,,
45,20180208.0,6.9,6.9,6.9,6.9,100.0,6.635030958450635,6.672007014189908,6.754650637161641,6.783817282824982,6.805744204234497,,
46,20180207.0,6.6,6.4,6.6,6.4,1700.0,6.617515479225317,6.648004676126606,6.726532339495887,6.759308311781651,6.786149518116925,,
47,20180206.0,5.8,6.0,6.5,5.8,16600.0,6.208757739612658,6.365336450751068,6.558071914133,6.631400536877431,6.692230516391504,,
48,20180205.0,6.3,7.0,7.0,6.3,5400.0,6.254378869806328,6.343557633834046,6.511149747927,6.587213798627107,6.654875229116123,6.806000000000001,
49,20180202.0,6.3,6.3,6.3,6.3,100.0,6.277189434903164,6.329038422556031,6.472758884667545,6.548918625476825,6.621077588247921,6.7861568627450986,
50,20180131.0,7.4,7.3,7.4,7.3,7500.0,6.838594717451582,6.6860256150373525,6.641348178364354,6.662396142079916,6.695260675081451,6.810229142637447,
51,20180129.0,7.4,7.4,7.4,7.4,100.0,7.119297358725792,6.92401707669157,6.7792848732072,6.760743323135928,6.762378706026076,6.833357411553626,
52,20180126.0,7.1,7.1,7.1,7.1,3000.0,7.109648679362896,6.982678051127714,6.837596714442254,6.805977546717803,6.794533114975974,6.843813983649563,
53,20180123.0,7.0,7.0,7.0,7.0,15000.0,7.054824339681448,6.988452034085141,6.867124584543663,6.83184720715543,6.814101389740166,6.849938925467227,
54,20180122.0,7.1,7.1,7.1,7.1,100.0,7.077412169840724,7.025634689390095,6.909465569172089,6.86760091286804,6.841329828812532,6.859745242115572,
55,20180118.0,6.9,6.9,6.9,6.9,6500.0,6.988706084920361,6.983756459593396,6.907744556595344,6.8719207911523,6.846917464163719,6.861323860071823,
56,20180116.0,7.0,7.0,7.0,7.0,100.0,6.9943530424601805,6.989170973062265,6.92451827357801,6.88899801899866,6.861496753290983,6.8667621400690075,
57,20180115.0,7.0,6.8,7.0,6.8,700.0,6.997176521230091,6.992780648708176,6.938242223836554,6.903798283132171,6.874687538691842,6.871987154183947,
58,20180112.0,6.9,6.9,6.9,6.9,100.0,6.948588260615045,6.961853765805451,6.931289092229909,6.903291845381216,6.87709824929262,6.873085697157125,
